sitio,fecha,tra.par,no.esp.p,codigo.p,no.ind,no.flores.ind.1,no.flores.ind.2,no.flores.ind.3,no.flores.ind.4,no.flores.ind.5,no.flores.ind.6,no.flores.ind.7,no.flores.ind.8,no.flores.ind.9,no.flores.ind.10,no.flores.ind.11,no.flores.ind.12,no.flores.ind.13,no.flores.ind.14,flores.herb,flores.tot,observador,comentarios
V1,2010-10-14,T2,p0102,lap.red,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,33,33,Silvia y Nachu,.
V18,2010-10-14,.,p0043,tri.can,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,Fuera de parcela
V18,2010-10-14,P1,p0019,aca.ser,1,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,Diego,
V18,2010-10-14,P1,p0045,lar.cun,6,225,60,250,60,30,25,.,.,.,.,.,.,.,.,.,650,Diego,
V18,2010-10-14,P2,p0045,lar.cun,5,40,350,300,900,1000,.,.,.,.,.,.,.,.,.,.,2590,Diego,
V18,2010-10-14,P5,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,
V18,2010-10-14,P6,p0045,lar.cun,2,200,30,.,.,.,.,.,.,.,.,.,.,.,.,.,230,Diego,
V18,2010-10-14,P6,p0059,des.sp1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10,10,Diego,
V18,2010-10-14,T1,p0019,aca.ser,15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1008.33,Diego,No estimé flores. Uso las de P2
V18,2010-10-14,T1,p0045,lar.cun,4,2,60,12.5,10,.,.,.,.,.,.,.,.,.,.,.,84.5,Diego,
V18,2010-10-14,T1,p0002,jun.asp,1,70,.,.,.,.,.,.,.,.,.,.,.,.,.,.,70,Diego,
V18,2010-10-14,T2,p0019,aca.ser,8,500,120,50,200,100,100,200,150,.,.,.,.,.,.,.,1420,Diego,
V18,2010-10-14,T2,p0045,lar.cun,4,20,150,200,1000,.,.,.,.,.,.,.,.,.,.,.,1370,Diego,
V18,2010-10-14,T2,p0002,jun.asp,1,40,.,.,.,.,.,.,.,.,.,.,.,.,.,.,40,Diego,
V4,2010-10-14,P1,p0019,aca.ser,127,60,92,30,50,10,20,40,170,10,300,.,.,.,.,.,9931.4,Silvia y Nachu,.
V4,2010-10-14,P1,p0036,lec.het,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Silvia y Nachu,"cerrada, fijarse"
V4,2010-10-14,P1,p0059,des.sp1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,4,Silvia y Nachu,.
V4,2010-10-14,P2,p0019,aca.ser,51,400,100,150,10,60,80,.,.,.,.,.,.,.,.,.,6800,Silvia y Nachu,.
V4,2010-10-14,P2,p0025,thy.pen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,Silvia y Nachu,.
V4,2010-10-14,P2,p0027,bou.spi,1,20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20,Silvia y Nachu,.
V4,2010-10-14,P2,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,74,74,Silvia y Nachu,.
V4,2010-10-14,P2,p0059,des.sp1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,17,17,Silvia y Nachu,.
V4,2010-10-14,P2,p0102,lap.red,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8,8,Silvia y Nachu,.
V4,2010-10-14,P5,p0019,aca.ser,64,100,150,120,200,50,160,50,70,250,20,20,5,.,.,.,6373.33,Silvia y Nachu,.
V4,2010-10-14,P6,p0019,aca.ser,114,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11352.5,Silvia y Nachu,.
V4,2010-10-14,P6,p0020,hof.ere,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,3,Silvia y Nachu,.
V4,2010-10-14,P6,p0025,thy.pen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,Silvia y Nachu,.
V4,2010-10-14,P6,p0046,arj.lon,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10,10,Silvia y Nachu,.
V4,2010-10-14,T1,p0006,men.dec,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Silvia y Nachu,.
V4,2010-10-14,T1,p0019,aca.ser,51,30,10,10,110,110,5,.,.,.,.,.,.,.,.,.,2337.5,Silvia y Nachu,.
V4,2010-10-14,T1,p0025,thy.pen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,Silvia y Nachu,.
V4,2010-10-14,T1,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,Silvia y Nachu,.
V4,2010-10-14,T1,p0059,des.sp1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,6,Silvia y Nachu,.
V4,2010-10-14,T1,p0102,lap.red,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,37,37,Silvia y Nachu,.
V4,2010-10-14,T2,p0130,cri.sp1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,380,380,Silvia y Nachu,.
V4,2010-10-14,T2,p0006,men.dec,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Silvia y Nachu,.
V4,2010-10-14,T2,p0019,aca.ser,58,110,10,60,50,5,300,.,.,.,.,.,.,.,.,.,5171.67,Silvia y Nachu,.
V4,2010-10-14,T2,p0025,thy.pen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7,7,Silvia y Nachu,.
V4,2010-10-14,T2,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11,11,Silvia y Nachu,.
V4,2010-10-14,T2,p0059,des.sp1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7,7,Silvia y Nachu,.
V4,2010-10-14,T2,p0102,lap.red,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,Silvia y Nachu,.
V4,2010-10-14,T2,p0102,lap.red,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9,9,Silvia y Nachu,.
V19,2010-10-19,P1,p0018,bud.men,2,300,500,.,.,.,.,.,.,.,.,.,.,.,.,.,800,Diego,
V19,2010-10-19,P1,p0019,aca.ser,6,30,15,10,10,5,10,.,.,.,.,.,.,.,.,.,80,Diego,
V19,2010-10-19,P1,p0019,aca.ser,72,150,100,150,120,100,60,.,.,.,.,.,.,.,.,.,8160,Diego,
V19,2010-10-19,P1,p0045,lar.cun,7,6,40,80,100,300,40,200,.,.,.,.,.,.,.,.,766,Diego,
V19,2010-10-19,P1,p0046,arj.lon,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12,12,Diego,
V19,2010-10-19,P1,p0002,jun.asp,1,30,.,.,.,.,.,.,.,.,.,.,.,.,.,.,30,Diego,
V19,2010-10-19,P2,p0006,men.dec,2,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,2,Diego,
V19,2010-10-19,P2,p0019,aca.ser,4,80,60,25,30,.,.,.,.,.,.,.,.,.,.,.,195,Diego,
V19,2010-10-19,P2,p0045,lar.cun,5,1000,500,600,60,1300,.,.,.,.,.,.,.,.,.,.,3460,Diego,
V19,2010-10-19,P2,p0101,hof.er2,1,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,Diego,
V19,2010-10-19,P2,p0046,arj.lon,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,44,44,Diego,
V19,2010-10-19,P2,p0002,jun.asp,1,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8,Diego,
V19,2010-10-19,P5,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,Diego,
V19,2010-10-19,P5,p0006,men.dec,26,1,1,2,3,1,2,2,6,3,1,.,.,.,.,.,57.2,Diego,
V19,2010-10-19,P5,p0101,hof.er2,5,2,1,2,2,1,.,.,.,.,.,.,.,.,.,.,8,Diego,
V19,2010-10-19,P6,p0006,men.dec,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Diego,
V19,2010-10-19,P6,p0019,aca.ser,5,50,20,10,30,50,.,.,.,.,.,.,.,.,.,.,160,Diego,
V19,2010-10-19,P6,p0045,lar.cun,2,200,400,.,.,.,.,.,.,.,.,.,.,.,.,.,600,Diego,
V19,2010-10-19,P6,p0057,ero.cic,.,.,400,.,.,.,.,.,.,.,.,.,.,.,.,3,3,Diego,
V19,2010-10-19,P6,p0059,des.sp1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10,10,Diego,
V19,2010-10-19,P6,p0101,hof.er2,10,2,2,2,2,2,3,3,2,1,4,.,.,.,.,.,23,Diego,
V19,2010-10-19,T1,p0019,aca.ser,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,487.5,Diego,No estimé flores. Uso las de P2
V19,2010-10-19,T1,p0019,aca.ser,1,100,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,Diego,
V19,2010-10-19,T1,p0026,alo.gra,2,70,20,.,.,.,.,.,.,.,.,.,.,.,.,.,90,Diego,
V19,2010-10-19,T1,p0045,lar.cun,3,200,100,5,.,.,.,.,.,.,.,.,.,.,.,.,305,Diego,
V19,2010-10-19,T1,p0101,hof.er2,3,4,4,1,.,.,.,.,.,.,.,.,.,.,.,.,9,Diego,
V19,2010-10-19,T1,p0046,arj.lon,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,54,54,Diego,
V19,2010-10-19,T1,p0015,cer.arv,.,2,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,
V19,2010-10-19,T2,p0006,men.dec,6,3,2,1,1,1,2,.,.,.,.,.,.,.,.,.,10,Diego,
V19,2010-10-19,T2,p0009,sen.aph,1,25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,25,Diego,
V19,2010-10-19,T2,p0018,bud.men,1,60,.,.,.,.,.,.,.,.,.,.,.,.,.,.,60,Diego,
V19,2010-10-19,T2,p0019,aca.ser,11,100,130,60,80,40,.,.,.,.,.,.,.,.,.,.,902,Diego,
V19,2010-10-19,T2,p0101,hof.er2,3,1,1,1,.,.,.,.,.,.,.,.,.,.,.,.,3,Diego,
V1,2010-10-22,.,p0009,sen.aph,5,6,20,44,1,215,.,.,.,.,.,.,.,.,.,.,286,Nachu y Nydia,fuera parcela
V1,2010-10-22,.,p0034,lar.div,4,5,9,1,47,.,.,.,.,.,.,.,.,.,.,.,62,Nachu y Nydia,fuera parcela
V1,2010-10-22,P1,p0021,sch.fas,1,30,.,.,.,.,.,.,.,.,.,.,.,.,.,.,30,Nydia,
V1,2010-10-22,P1,p0026,alo.gra,1,70,.,.,.,.,.,.,.,.,.,.,.,.,.,.,70,Nydia,
V1,2010-10-22,P1,p0034,lar.div,3,20,24,2,.,.,.,.,.,.,.,.,.,.,.,.,46,Nydia,
V1,2010-10-22,P1,p0035,lar.nit,3,8,26,1.32,.,.,.,.,.,.,.,.,.,.,.,.,35.32,Nydia,
V1,2010-10-22,P1,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,181,181,Nydia,
V1,2010-10-22,P2,p0009,sen.aph,2,8,5,.,.,.,.,.,.,.,.,.,.,.,.,.,13,Nydia,
V1,2010-10-22,P2,p0019,aca.ser,62,48,270,60,123,340,.,.,.,.,.,.,.,.,.,.,10428.4,Nydia,
V1,2010-10-22,P2,p0021,sch.fas,2,130,340,.,.,.,.,.,.,.,.,.,.,.,.,.,470,Nydia,
V1,2010-10-22,P2,p0025,thy.pen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,42,42,Nydia,
V1,2010-10-22,P2,p0046,arj.lon,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,496,496,Nydia,
V1,2010-10-22,P2,p0050,hys.jas,1,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,Nydia,
V1,2010-10-22,P2,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,Nydia,
V1,2010-10-22,P5,p0006,men.dec,1,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,Nachu,
V1,2010-10-22,P5,p0007,lyc.ten,1,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,Nachu,
V1,2010-10-22,P5,p0034,lar.div,3,5.1,10,25.2,.,.,.,.,.,.,.,.,.,.,.,.,40.3,Nachu,
V1,2010-10-22,P5,p0059,des.sp1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,50,50,Nachu,
V1,2010-10-22,P6,p0006,men.dec,45,1,3,2,2,6,2,5,4,.,.,.,.,.,.,.,140.63,Nachu,
V1,2010-10-22,P6,p0009,sen.aph,2,3,3,.,.,.,.,.,.,.,.,.,.,.,.,.,6,Nachu,
V1,2010-10-22,P6,p0019,aca.ser,36,70,5,10,30,80,.,.,.,.,.,.,.,.,.,.,1404,Nachu,
V1,2010-10-22,P6,p0025,thy.pen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8,8,Nachu,
V1,2010-10-22,P6,p0051,mon.aph,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Nachu,
V1,2010-10-22,P6,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7,7,Nachu,
V1,2010-10-22,P6,p0101,hof.er2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,4,Nachu,
V1,2010-10-22,T1,p0006,men.dec,43,1,3,1,1,2,.,.,.,.,.,.,.,.,.,.,68.8,Nydia,
V1,2010-10-22,T1,p0009,sen.aph,2,3.75,18,.,.,.,.,.,.,.,.,.,.,.,.,.,21.75,Nydia,
V1,2010-10-22,T1,p0019,aca.ser,92,34,5,6,57,30,.,.,.,.,.,.,.,.,.,.,2428.8,Nydia,
V1,2010-10-22,T1,p0025,thy.pen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,40,40,Nydia,
V1,2010-10-22,T1,p0050,hys.jas,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,5,Nydia,
V1,2010-10-22,T1,p0051,mon.aph,1,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,Nydia,
V1,2010-10-22,T1,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,85,85,Nydia,
V1,2010-10-22,T1,p0101,hof.er2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,28,28,Nydia,
V1,2010-10-22,T2,p0006,men.dec,6,2,1,1,1,.,.,.,.,.,.,.,.,.,.,.,7.5,Nydia,
V1,2010-10-22,T2,p0019,aca.ser,29,53,2,12,17,78,.,.,.,.,.,.,.,.,.,.,939.6,Nydia,
V1,2010-10-22,T2,p0021,sch.fas,1,1.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.5,Nydia,
V1,2010-10-22,T2,p0025,thy.pen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8,8,Nydia,
V1,2010-10-22,T2,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22,22,Nydia,
V1,2010-10-22,T2,p0102,lap.red,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20,20,Nydia,18 blancas y 2 azules
V18,2010-10-22,P5,p0006,men.dec,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,
V18,2010-10-22,P5,p0054,Lar.div,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,
V18,2010-10-22,P5,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,
V18,2010-10-22,P5,p0059,des.sp1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,
V4,2010-10-22,P1,p0019,aca.ser,83,32,19,9,48,6,.,.,.,.,.,.,.,.,.,.,1892.4,Nydia,
V4,2010-10-22,P1,p0025,thy.pen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19,19,Nydia,
V4,2010-10-22,P1,p0034,lar.div,2,13,3,.,.,.,.,.,.,.,.,.,.,.,.,.,16,Nydia,
V4,2010-10-22,P1,p0036,lec.het,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Nydia,
V4,2010-10-22,P1,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,39,39,Nydia,
V4,2010-10-22,P1,p0059,des.sp1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,54,54,Nydia,
V4,2010-10-22,P1,p0102,lap.red,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,6,Nydia,azul
V4,2010-10-22,P2,p0130,cri.sp1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,46,46,Nydia,
V4,2010-10-22,P2,p0019,aca.ser,60,54,132,2070,1120,530,.,.,.,.,.,.,.,.,.,.,46872,Nydia,
V4,2010-10-22,P2,p0021,sch.fas,2,10000,1110,.,.,.,.,.,.,.,.,.,.,.,.,.,11110,Nydia,
V4,2010-10-22,P2,p0034,lar.div,2,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,2,Nydia,
V4,2010-10-22,P2,p0046,arj.lon,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10,10,Nydia,
V4,2010-10-22,P2,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,107,107,Nydia,
V4,2010-10-22,P2,p0059,des.sp1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,119,119,Nydia,
V4,2010-10-22,P2,p0102,lap.red,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,23,23,Nydia,azul
V4,2010-10-22,T1,p0006,men.dec,1,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,Nydia,
V4,2010-10-22,T1,p0019,aca.ser,39,190,7,49,4,11,.,.,.,.,.,.,.,.,.,.,2035.8,Nydia,
V4,2010-10-22,T1,p0025,thy.pen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,Nydia,
V4,2010-10-22,T1,p0034,lar.div,1,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,Nydia,
V4,2010-10-22,T1,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,42,42,Nydia,
V4,2010-10-22,T1,p0059,des.sp1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,123,123,Nydia,
V4,2010-10-22,T1,p0102,lap.red,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,181,181,Nydia,blanca
V4,2010-10-22,T2,p0130,cri.sp1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,197,197,Nydia,
V4,2010-10-22,T2,p0006,men.dec,35,2,2,1,1,2,.,.,.,.,.,.,.,.,.,.,56,Nydia,
V4,2010-10-22,T2,p0019,aca.ser,126,300,2230,179,15,174,.,.,.,.,.,.,.,.,.,.,73029.6,Nydia,
V4,2010-10-22,T2,p0025,thy.pen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12,12,Nydia,
V4,2010-10-22,T2,p0034,lar.div,3,1,1,1,.,.,.,.,.,.,.,.,.,.,.,.,3,Nydia,
V4,2010-10-22,T2,p0047,dyp.gla,2,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,2,Nydia,Revisar numero de flores a partir de promedios
V4,2010-10-22,T2,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,72,72,Nydia,
V4,2010-10-22,T2,p0059,des.sp1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,34,34,Nydia,
V4,2010-10-22,T2,p0085,med.lup,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,4,Nydia,
V4,2010-10-22,T2,p0102,lap.red,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,25,25,Nydia,azul
V4 ,2010-10-22,P5,p0006,men.dec,2,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,2,Nachu,
V4 ,2010-10-22,P5,p0019,aca.ser,31,1,3,7,60,80,.,.,.,.,.,.,.,.,.,.,936.2,Nachu,
V4 ,2010-10-22,P5,p0025,thy.pen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,Nachu,
V4 ,2010-10-22,P5,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,Nachu,
V4 ,2010-10-22,P5,p0059,des.sp1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,4,Nachu,
V4 ,2010-10-22,P5,p0102,lap.red,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,Nachu,azul
V4 ,2010-10-22,P6,p0130,cri.sp1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,5,Nydia,
V4 ,2010-10-22,P6,p0006,men.dec,12,1,1,1,1,2,.,.,.,.,.,.,.,.,.,.,14.4,Nydia,
V4 ,2010-10-22,P6,p0019,aca.ser,214,7,18,143,5,10,.,.,.,.,.,.,.,.,.,.,7832.4,Nydia,
V4 ,2010-10-22,P6,p0025,thy.pen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,6,Nydia,
V4 ,2010-10-22,P6,p0025,thy.pen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7,7,Nydia,
V4 ,2010-10-22,P6,p0046,arj.lon,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96,96,Nydia,
V4 ,2010-10-22,P6,p0050,hys.jas,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,Nydia,
V4 ,2010-10-22,P6,p0101,hof.er2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16,16,Nydia,
V1,2010-10-28,P1,p0021,sch.fas,2,90,281.25,.,.,.,.,.,.,.,.,.,.,.,.,.,371.25,Silvia ,
V1,2010-10-28,P1,p0026,alo.gra,1,90,.,.,.,.,.,.,.,.,.,.,.,.,.,.,90,Silvia ,
V1,2010-10-28,P1,p0034,lar.div,5,15,175,600,360,3.2,.,.,.,.,.,.,.,.,.,.,1153.2,Silvia ,
V1,2010-10-28,P1,p0035,lar.nit,1,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7,Silvia ,
V1,2010-10-28,P1,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,70,70,Silvia ,
V1,2010-10-28,P2,p0006,men.dec,12,1,2,4,4,1,.,.,.,.,.,.,.,.,.,.,28.8,Silvia ,
V1,2010-10-28,P2,p0009,sen.aph,5,6,4,3.75,5,1,.,.,.,.,.,.,.,.,.,.,19.75,Silvia ,
V1,2010-10-28,P2,p0019,aca.ser,20,32,5,19,5,60,.,.,.,.,.,.,.,.,.,.,484,Silvia ,
V1,2010-10-28,P2,p0021,sch.fas,2,60,30,.,.,.,.,.,.,.,.,.,.,.,.,.,90,Silvia ,
V1,2010-10-28,P2,p0025,thy.pen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,99,99,Silvia ,
V1,2010-10-28,P2,p0034,lar.div,2,12.5,11,.,.,.,.,.,.,.,.,.,.,.,.,.,23.5,Silvia ,
V1,2010-10-28,P2,p0038,pro.fle,1,450,.,.,.,.,.,.,.,.,.,.,.,.,.,.,450,Silvia ,
V1,2010-10-28,P2,p0046,arj.lon,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,150,150,Silvia ,
V1,2010-10-28,P5,p0034,lar.div,14,16,10,12,5,110,400,.,.,.,.,.,.,.,.,.,1290.33,Nachu,
V1,2010-10-28,P5,p0059,des.sp1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,6,Nachu,
V1,2010-10-28,P6,p0003,zuc.pun,1,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7,Nachu,
V1,2010-10-28,P6,p0006,men.dec,64,1,10,2,1,21,4,7,1,.,.,.,.,.,.,.,376,Nachu,
V1,2010-10-28,P6,p0009,sen.aph,5,4,30,7,13,2,.,.,.,.,.,.,.,.,.,.,56,Nachu,
V1,2010-10-28,P6,p0019,aca.ser,14,20,50,70,120,.,.,.,.,.,.,.,.,.,.,.,910,Nachu,
V1,2010-10-28,P6,p0051,mon.aph,1,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10,Nachu,
V1,2010-10-28,P6,p0025,thy.pen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18,18,Nachu,
V1,2010-10-28,T1,p0006,men.dec,57,7,1,1,3,1,1,9,.,.,.,.,.,.,.,.,187.29,Silvia ,
V1,2010-10-28,T1,p0007,lyc.ten,1,12,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12,Silvia ,
V1,2010-10-28,T1,p0009,sen.aph,4,66,6,3,44,.,.,.,.,.,.,.,.,.,.,.,119,Silvia ,
V1,2010-10-28,T1,p0019,aca.ser,19,2,4,25,2,14,.,.,.,.,.,.,.,.,.,.,178.6,Silvia ,
V1,2010-10-28,T1,p0025,thy.pen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,37,37,Silvia ,
V1,2010-10-28,T1,p0050,hys.jas,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,4,Silvia ,
V1,2010-10-28,T1,p0051,mon.aph,1,48,.,.,.,.,.,.,.,.,.,.,.,.,.,.,48,Silvia ,
V1,2010-10-28,T1,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,Silvia ,
V1,2010-10-28,T2,p0006,men.dec,27,1,2,4,1,2,4,.,.,.,.,.,.,.,.,.,63,Nachu,
V1,2010-10-28,T2,p0019,aca.ser,22,5,100,10,60,70,.,.,.,.,.,.,.,.,.,.,1078,Nachu,
V1,2010-10-28,T2,p0034,lar.div,8,1,44,1,25,.,.,.,.,.,.,.,.,.,.,.,142,Nachu,
V1,2010-10-28,T2,p0043,tri.can,1,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Nachu,
V1,2010-10-28,T2,p0056,phr.sp1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,Nachu,
V1,2010-10-28,T2,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,Nachu,
V1,2010-10-28,T2,p0025,thy.pen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,Nachu,
V18,2010-10-28,P1,p0043,tri.can,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Diego,
V18,2010-10-28,P2,p0034,lar.div,2,700,300,.,.,.,.,.,.,.,.,.,.,.,.,.,1000,Diego,
V18,2010-10-28,P2,p0043,tri.can,2,1,2,.,.,.,.,.,.,.,.,.,.,.,.,.,3,Diego,
V18,2010-10-28,P5,p0034,lar.div,5,30,30,10,30,400,.,.,.,.,.,.,.,.,.,.,500,Diego,
V18,2010-10-28,P5,p0043,tri.can,2,1,2,.,.,.,.,.,.,.,.,.,.,.,.,.,3,Diego,
V18,2010-10-28,P6,p0034,lar.div,3,1,3,60,.,.,.,.,.,.,.,.,.,.,.,.,64,Diego,
V18,2010-10-28,P6,p0043,tri.can,1,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,Diego,
V18,2010-10-28,P6,p0059,des.sp1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20,20,Diego,
V18,2010-10-28,T1,p0006,men.dec,4,1,4,1,2,.,.,.,.,.,.,.,.,.,.,.,8,Diego,
V18,2010-10-28,T1,p0019,aca.ser,6,10,20,50,20,3,200,.,.,.,.,.,.,.,.,.,303,Diego,
V18,2010-10-28,T1,p0045,lar.cun,2,3,30,.,.,.,.,.,.,.,.,.,.,.,.,.,33,Diego,
V18,2010-10-28,T2,p0019,aca.ser,7,40,200,80,50,50,40,40,.,.,.,.,.,.,.,.,500,Diego,
V19,2010-10-28,P1,p0018,bud.men,1,500,.,.,.,.,.,.,.,.,.,.,.,.,.,.,500,Diego,
V19,2010-10-28,P1,p0019,aca.ser,60,200,100,100,200,400,.,.,.,.,.,.,.,.,.,.,12000,Diego,
