sitio,cuadrante,fecha,no.esp.p,codigo.p,genero.p,especie.p,no.indiv,flores.prom.indiv,gpflor.ind,flores.tot,gp.tot
V2,F4,2007-11-06,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,530,5,20654,2650,54733100
V2,F5,2007-11-06,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,51,5,20654,255,5266770
V4,F2,2007-11-06,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,1,5,20654,5,103270
V4,F4,2007-11-06,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,1,5,20654,5,103270
V4,F5,2007-11-06,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,50,5,20654,250,5163500
V1,F1,2007-11-13,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,10,5,20654,50,1032700
V1,F2,2007-11-13,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,5,5,20654,25,516350
V1,F5,2007-11-13,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,10,5,20654,50,1032700
V2,F1,2007-11-13,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,25,5,20654,125,2581750
V2,F2,2007-11-13,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,14,5,20654,70,1445780
V2,F3,2007-11-13,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,45,5,20654,225,4647150
V2,F4,2007-11-13,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,35,5,20654,175,3614450
V2,F5,2007-11-13,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,15,5,20654,75,1549050
V4,F1,2007-11-13,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,6,5,20654,30,619620
V4,F4,2007-11-13,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,2,5,20654,10,206540
V4,F5,2007-11-13,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,18,5,20654,90,1858860
V1,F2,2007-11-20,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,7,5,20654,35,722890
V1,F4,2007-11-20,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,10,5,20654,50,1032700
V2,F1,2007-11-20,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,22,5,20654,110,2271940
V2,F3,2007-11-20,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,24,5,20654,120,2478480
V2,F4,2007-11-20,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,55,5,20654,275,5679850
V2,F5,2007-11-20,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,5,5,20654,25,516350
V4,F1,2007-11-20,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,16,5,20654,80,1652320
V4,F4,2007-11-20,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,6,5,20654,30,619620
V4,F5,2007-11-20,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,10,5,20654,50,1032700
V1,F2,2007-11-27,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,10,5,20654,50,1032700
V1,F4,2007-11-27,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,2,5,20654,10,206540
V2,F1,2007-11-27,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,11,5,20654,55,1135970
V2,F2,2007-11-27,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,1,5,20654,5,103270
V2,F3,2007-11-27,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,2,5,20654,10,206540
V2,F5,2007-11-27,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,5,5,20654,25,516350
V4,F4,2007-11-27,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,1,5,20654,5,103270
V1,F2,2007-12-04,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,2,5,20654,10,206540
V1,F3,2007-12-04,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,1,5,20654,5,103270
V1,F4,2007-12-04,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,1,5,20654,5,103270
V2,F3,2007-12-04,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,10,5,20654,50,1032700
V2,F4,2007-12-04,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,2,5,20654,10,206540
V2,F1,2007-12-11,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,1,5,20654,5,103270
V2,F3,2007-12-11,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,5,5,20654,25,516350
V1,F3,2007-10-19,p0026,alo.gra,Aloyssia ,gratissima ,1,2505,1984,2505,4969920
V4,F3,2007-10-19,p0026,alo.gra,Aloyssia ,gratissima ,1,2505,1984,2505,4969920
V1,F1,2007-10-23,p0026,alo.gra,Aloyssia ,gratissima ,2,915,1984,1830,3630720
V1,F2,2007-10-23,p0026,alo.gra,Aloyssia ,gratissima ,1,915,1984,915,1815360
V1,F4,2007-10-29,p0032,con.mic,Condalia,microphylla,1,2003,138802,2003,278020406
V1,F5,2007-10-29,p0032,con.mic,Condalia,microphylla,1,2003,138802,2003,278020406
V2,F1,2007-10-29,p0032,con.mic,Condalia,microphylla,4,2003,138802,8012,1112081624
V2,F2,2007-10-29,p0032,con.mic,Condalia,microphylla,1,2003,138802,2003,278020406
V2,F3,2007-10-29,p0032,con.mic,Condalia,microphylla,1,2003,138802,2003,278020406
V2,F4,2007-10-29,p0032,con.mic,Condalia,microphylla,3,2003,138802,6009,834061218
V4,F2,2007-10-29,p0032,con.mic,Condalia,microphylla,3,2003,138802,6009,834061218
V4,F3,2007-10-29,p0032,con.mic,Condalia,microphylla,1,2003,138802,2003,278020406
V4,F5,2007-10-29,p0032,con.mic,Condalia,microphylla,2,2003,138802,4006,556040812
V1,F3,2007-11-06,p0032,con.mic,Condalia,microphylla,1,1294,138802,1294,179609788
V1,F4,2007-11-06,p0032,con.mic,Condalia,microphylla,4,1294,138802,5176,718439152
V1,F5,2007-11-06,p0032,con.mic,Condalia,microphylla,1,1294,138802,1294,179609788
V2,F1,2007-11-06,p0032,con.mic,Condalia,microphylla,3,1294,138802,3882,538829364
V2,F2,2007-11-06,p0032,con.mic,Condalia,microphylla,1,1294,138802,1294,179609788
V2,F3,2007-11-06,p0032,con.mic,Condalia,microphylla,3,1294,138802,3882,538829364
V2,F4,2007-11-06,p0032,con.mic,Condalia,microphylla,3,1294,138802,3882,538829364
V1,F4,2007-11-13,p0032,con.mic,Condalia,microphylla,1,50,138802,50,6940100
V1,F5,2007-11-13,p0032,con.mic,Condalia,microphylla,1,50,138802,50,6940100
V2,F1,2007-11-13,p0032,con.mic,Condalia,microphylla,3,50,138802,150,20820300
V2,F2,2007-11-13,p0032,con.mic,Condalia,microphylla,7,50,138802,350,48580700
V2,F4,2007-11-13,p0032,con.mic,Condalia,microphylla,3,50,138802,150,20820300
V2,F1,2007-11-20,p0032,con.mic,Condalia,microphylla,1,50,138802,50,6940100
V1,F1,2007-10-23,p0034,lar.div,Larrea,divaricata,1,4,1027210,4,4108840
V1,F2,2007-10-23,p0034,lar.div,Larrea,divaricata,2,4,1027210,8,8217680
V1,F3,2007-10-23,p0034,lar.div,Larrea,divaricata,1,4,1027210,4,4108840
V1,F1,2007-10-29,p0034,lar.div,Larrea,divaricata,5,83,1027210,415,426292150
V1,F2,2007-10-29,p0034,lar.div,Larrea,divaricata,5,83,1027210,415,426292150
V1,F3,2007-10-29,p0034,lar.div,Larrea,divaricata,4,83,1027210,332,341033720
V1,F5,2007-10-29,p0034,lar.div,Larrea,divaricata,3,83,1027210,249,255775290
V2,F1,2007-10-29,p0034,lar.div,Larrea,divaricata,11,83,1027210,913,937842730
V2,F2,2007-10-29,p0034,lar.div,Larrea,divaricata,3,83,1027210,249,255775290
V4,F1,2007-10-29,p0034,lar.div,Larrea,divaricata,4,83,1027210,332,341033720
V4,F2,2007-10-29,p0034,lar.div,Larrea,divaricata,6,83,1027210,498,511550580
V4,F3,2007-10-29,p0034,lar.div,Larrea,divaricata,1,83,1027210,83,85258430
V4,F4,2007-10-29,p0034,lar.div,Larrea,divaricata,8,83,1027210,664,682067440
V4,F5,2007-10-29,p0034,lar.div,Larrea,divaricata,2,83,1027210,166,170516860
V1,F1,2007-11-06,p0034,lar.div,Larrea,divaricata,10,89,1027210,890,914216900
V1,F2,2007-11-06,p0034,lar.div,Larrea,divaricata,16,89,1027210,1424,1462747040
V1,F3,2007-11-06,p0034,lar.div,Larrea,divaricata,7,89,1027210,623,639951830
V1,F5,2007-11-06,p0034,lar.div,Larrea,divaricata,3,89,1027210,267,274265070
V2,F1,2007-11-06,p0034,lar.div,Larrea,divaricata,5,89,1027210,445,457108450
V2,F2,2007-11-06,p0034,lar.div,Larrea,divaricata,3,89,1027210,267,274265070
V2,F3,2007-11-06,p0034,lar.div,Larrea,divaricata,1,89,1027210,89,91421690
V2,F5,2007-11-06,p0034,lar.div,Larrea,divaricata,2,89,1027210,178,182843380
V2,F5,2007-11-06,p0034,lar.div,Larrea,divaricata,1,89,1027210,89,91421690
V4,F1,2007-11-06,p0034,lar.div,Larrea,divaricata,10,89,1027210,890,914216900
V4,F2,2007-11-06,p0034,lar.div,Larrea,divaricata,11,89,1027210,979,1005638590
V4,F3,2007-11-06,p0034,lar.div,Larrea,divaricata,11,89,1027210,979,1005638590
V4,F4,2007-11-06,p0034,lar.div,Larrea,divaricata,9,89,1027210,801,822795210
V4,F5,2007-11-06,p0034,lar.div,Larrea,divaricata,9,89,1027210,801,822795210
V1,F1,2007-11-13,p0034,lar.div,Larrea,divaricata,7,243,1027210,1701,1747284210
V1,F2,2007-11-13,p0034,lar.div,Larrea,divaricata,22,243,1027210,5346,5491464660
V1,F3,2007-11-13,p0034,lar.div,Larrea,divaricata,9,243,1027210,2187,2246508270
V1,F5,2007-11-13,p0034,lar.div,Larrea,divaricata,2,243,1027210,486,499224060
V2,F1,2007-11-13,p0034,lar.div,Larrea,divaricata,11,243,1027210,2673,2745732330
V2,F2,2007-11-13,p0034,lar.div,Larrea,divaricata,9,243,1027210,2187,2246508270
V2,F3,2007-11-13,p0034,lar.div,Larrea,divaricata,3,243,1027210,729,748836090
V2,F4,2007-11-13,p0034,lar.div,Larrea,divaricata,2,243,1027210,486,499224060
V2,F5,2007-11-13,p0034,lar.div,Larrea,divaricata,4,243,1027210,972,998448120
V4,F1,2007-11-13,p0034,lar.div,Larrea,divaricata,11,243,1027210,2673,2745732330
V4,F2,2007-11-13,p0034,lar.div,Larrea,divaricata,13,243,1027210,3159,3244956390
V4,F3,2007-11-13,p0034,lar.div,Larrea,divaricata,8,243,1027210,1944,1996896240
V4,F4,2007-11-13,p0034,lar.div,Larrea,divaricata,9,243,1027210,2187,2246508270
V4,F5,2007-11-13,p0034,lar.div,Larrea,divaricata,6,243,1027210,1458,1497672180
V1,F1,2007-11-20,p0034,lar.div,Larrea,divaricata,6,98,1027210,588,603999480
V1,F2,2007-11-20,p0034,lar.div,Larrea,divaricata,12,98,1027210,1176,1207998960
V1,F3,2007-11-20,p0034,lar.div,Larrea,divaricata,4,98,1027210,392,402666320
V1,F5,2007-11-20,p0034,lar.div,Larrea,divaricata,4,98,1027210,392,402666320
V2,F1,2007-11-20,p0034,lar.div,Larrea,divaricata,15,98,1027210,1470,1509998700
V2,F2,2007-11-20,p0034,lar.div,Larrea,divaricata,5,98,1027210,490,503332900
V2,F3,2007-11-20,p0034,lar.div,Larrea,divaricata,1,98,1027210,98,100666580
V2,F4,2007-11-20,p0034,lar.div,Larrea,divaricata,1,98,1027210,98,100666580
V2,F5,2007-11-20,p0034,lar.div,Larrea,divaricata,3,98,1027210,294,301999740
V4,F1,2007-11-20,p0034,lar.div,Larrea,divaricata,18,98,1027210,1764,1811998440
V4,F2,2007-11-20,p0034,lar.div,Larrea,divaricata,12,98,1027210,1176,1207998960
V4,F3,2007-11-20,p0034,lar.div,Larrea,divaricata,13,98,1027210,1274,1308665540
V4,F4,2007-11-20,p0034,lar.div,Larrea,divaricata,5,98,1027210,490,503332900
V4,F5,2007-11-20,p0034,lar.div,Larrea,divaricata,11,98,1027210,1078,1107332380
V1,F1,2007-11-27,p0034,lar.div,Larrea,divaricata,1,7,1027210,7,7190470
V1,F2,2007-11-27,p0034,lar.div,Larrea,divaricata,5,7,1027210,35,35952350
V1,F3,2007-11-27,p0034,lar.div,Larrea,divaricata,2,7,1027210,14,14380940
V1,F5,2007-11-27,p0034,lar.div,Larrea,divaricata,3,7,1027210,21,21571410
V2,F1,2007-11-27,p0034,lar.div,Larrea,divaricata,5,7,1027210,35,35952350
V2,F2,2007-11-27,p0034,lar.div,Larrea,divaricata,1,7,1027210,7,7190470
V2,F5,2007-11-27,p0034,lar.div,Larrea,divaricata,1,7,1027210,7,7190470
V4,F1,2007-11-27,p0034,lar.div,Larrea,divaricata,1,7,1027210,7,7190470
V1,F2,2007-12-04,p0034,lar.div,Larrea,divaricata,1,14,1027210,14,14380940
V1,F3,2007-12-04,p0034,lar.div,Larrea,divaricata,1,14,1027210,14,14380940
V1,26,2007-10-02,p0035,lar.nit,Larrea,nitida,1,14,266865,14,3736110
V1,F3,2007-10-19,p0035,lar.nit,Larrea,nitida,3,200,266865,600,160119000
V1,F5,2007-10-19,p0035,lar.nit,Larrea,nitida,6,200,266865,1200,320238000
V4,F1,2007-10-19,p0035,lar.nit,Larrea,nitida,1,200,266865,200,53373000
V1,F1,2007-10-23,p0035,lar.nit,Larrea,nitida,1,92,266865,92,24551580
V1,F2,2007-10-23,p0035,lar.nit,Larrea,nitida,3,92,266865,276,73654740
V1,F3,2007-10-23,p0035,lar.nit,Larrea,nitida,5,92,266865,460,122757900
V1,F1,2007-10-29,p0035,lar.nit,Larrea,nitida,2,0,266865,0,0
V1,F5,2007-10-19,p0036,lec.het,Lecanophora,heterophylla,1,1,264524,1,264524
V4,F5,2007-10-19,p0036,lec.het,Lecanophora,heterophylla,2,1,264524,2,529048
V4,F1,2007-10-23,p0036,lec.het,Lecanophora,heterophylla,2,1,264524,2,529048
V1,F4,2007-10-29,p0036,lec.het,Lecanophora,heterophylla,3,1,264524,3,793572
V1,F5,2007-10-29,p0036,lec.het,Lecanophora,heterophylla,1,1,264524,1,264524
V2,F1,2007-10-29,p0036,lec.het,Lecanophora,heterophylla,2,1,264524,2,529048
V2,F4,2007-10-29,p0036,lec.het,Lecanophora,heterophylla,1,1,264524,1,264524
V4,F4,2007-10-29,p0036,lec.het,Lecanophora,heterophylla,1,1,264524,1,264524
V4,F5,2007-11-20,p0036,lec.het,Lecanophora,heterophylla,1,1,264524,1,264524
V1,F1,2007-11-20,p0037,opu.sul,Opuntia,sulphurea,1,0,23359091,0,0
V2,F1,2007-11-20,p0037,opu.sul,Opuntia,sulphurea,5,0,23359091,0,0
V2,F2,2007-11-20,p0037,opu.sul,Opuntia,sulphurea,6,0,23359091,0,0
V2,F4,2007-11-20,p0037,opu.sul,Opuntia,sulphurea,1,0,23359091,0,0
V4,F1,2007-11-20,p0037,opu.sul,Opuntia,sulphurea,1,0,23359091,0,0
V1,F3,2007-11-27,p0037,opu.sul,Opuntia,sulphurea,1,1,23359091,1,23359091
V2,F1,2007-11-27,p0037,opu.sul,Opuntia,sulphurea,8,1,23359091,8,186872728
V2,F2,2007-11-27,p0037,opu.sul,Opuntia,sulphurea,19,1,23359091,19,443822729
V2,F4,2007-11-27,p0037,opu.sul,Opuntia,sulphurea,4,1,23359091,4,93436364
V2,F5,2007-11-27,p0037,opu.sul,Opuntia,sulphurea,2,1,23359091,2,46718182
V4,F1,2007-11-27,p0037,opu.sul,Opuntia,sulphurea,2,1,23359091,2,46718182
V4,F5,2007-11-27,p0037,opu.sul,Opuntia,sulphurea,1,1,23359091,1,23359091
V2,F1,2007-12-04,p0037,opu.sul,Opuntia,sulphurea,12,1,23359091,12,280309092
V2,F2,2007-12-04,p0037,opu.sul,Opuntia,sulphurea,7,1,23359091,7,163513637
V2,F3,2007-12-04,p0037,opu.sul,Opuntia,sulphurea,1,1,23359091,1,23359091
V2,F5,2007-12-04,p0037,opu.sul,Opuntia,sulphurea,3,1,23359091,3,70077273
V4,F1,2007-12-04,p0037,opu.sul,Opuntia,sulphurea,1,1,23359091,1,23359091
V2,F1,2007-12-11,p0037,opu.sul,Opuntia,sulphurea,1,1,23359091,1,23359091
V2,F2,2007-12-11,p0037,opu.sul,Opuntia,sulphurea,4,1,23359091,4,93436364
V2,F3,2007-12-11,p0037,opu.sul,Opuntia,sulphurea,1,1,23359091,1,23359091
V2,F4,2007-12-11,p0037,opu.sul,Opuntia,sulphurea,1,1,23359091,1,23359091
V2,F5,2007-12-11,p0037,opu.sul,Opuntia,sulphurea,1,1,23359091,1,23359091
V1,F2,2007-11-06,p0038,pro.fle,Prosopis,flexuosa,2,1,29864844,2,59729688
V1,F5,2007-11-06,p0038,pro.fle,Prosopis,flexuosa,1,1,29864844,1,29864844
V2,F1,2007-11-06,p0038,pro.fle,Prosopis,flexuosa,1,1,29864844,1,29864844
V1,F2,2007-11-13,p0038,pro.fle,Prosopis,flexuosa,2,6,29864844,12,358378128
V1,F5,2007-11-13,p0038,pro.fle,Prosopis,flexuosa,5,6,29864844,30,895945320
V2,F2,2007-11-13,p0038,pro.fle,Prosopis,flexuosa,3,6,29864844,18,537567192
V2,F4,2007-11-13,p0038,pro.fle,Prosopis,flexuosa,1,6,29864844,6,179189064
V1,F1,2007-11-20,p0038,pro.fle,Prosopis,flexuosa,1,52,29864844,52,1552971888
V1,F2,2007-11-20,p0038,pro.fle,Prosopis,flexuosa,3,52,29864844,156,4658915664
V1,F5,2007-11-20,p0038,pro.fle,Prosopis,flexuosa,3,52,29864844,156,4658915664
V2,F2,2007-11-20,p0038,pro.fle,Prosopis,flexuosa,7,52,29864844,364,10870803216
V2,F4,2007-11-20,p0038,pro.fle,Prosopis,flexuosa,2,52,29864844,104,3105943776
V1,F2,2007-11-27,p0038,pro.fle,Prosopis,flexuosa,1,97,29864844,97,2896889868
V1,F4,2007-11-27,p0038,pro.fle,Prosopis,flexuosa,1,97,29864844,97,2896889868
V1,F5,2007-11-27,p0038,pro.fle,Prosopis,flexuosa,3,97,29864844,291,8690669604
V2,F2,2007-11-27,p0038,pro.fle,Prosopis,flexuosa,7,97,29864844,679,20278229076
V2,F4,2007-11-27,p0038,pro.fle,Prosopis,flexuosa,1,97,29864844,97,2896889868
V4,F4,2007-11-27,p0038,pro.fle,Prosopis,flexuosa,1,97,29864844,97,2896889868
V1,F2,2007-12-04,p0038,pro.fle,Prosopis,flexuosa,2,14,29864844,28,836215632
V1,F5,2007-12-04,p0038,pro.fle,Prosopis,flexuosa,2,14,29864844,28,836215632
V2,F1,2007-12-04,p0038,pro.fle,Prosopis,flexuosa,1,14,29864844,14,418107816
V2,F2,2007-12-04,p0038,pro.fle,Prosopis,flexuosa,6,14,29864844,84,2508646896
V1,F2,2007-11-27,p0042,spa.jun,Spartium,junceum,1,113,390278,113,44101414
V4,F1,2007-12-04,p0043,tri.can,Trichocereus,candicans,1,1,119100002,1,119100002
V4,F2,2007-12-04,p0043,tri.can,Trichocereus,candicans,1,1,119100002,1,119100002
V4,F1,2007-11-27,p0044,cap.ata,Capparis,atamisquea,1,163,332639,163,54220157
V4,F4,2007-10-19,p0045,lar.cun,Larrea,cuneifolia,3,135,343333,405,139049865
V4,F4,2007-10-23,p0045,lar.cun,Larrea,cuneifolia,6,135,343333,810,278099730
V4,F4,2007-11-06,p0045,lar.cun,Larrea,cuneifolia,3,135,343333,405,139049865
V1,F3,2007-11-20,p0047,dyp.gla,Dipyrena ,glaberrima,1,309,55952,309,17289168
V4,F3,2007-11-20,p0047,dyp.gla,Dipyrena ,glaberrima,2,309,55952,618,34578336
V1,F3,2007-11-27,p0047,dyp.gla,Dipyrena ,glaberrima,1,309,55952,309,17289168
V1,F3,2007-12-04,p0047,dyp.gla,Dipyrena ,glaberrima,2,309,55952,618,34578336
V4,F3,2007-10-19,p0048,fab.pec,Fabiana ,peckii,1,309,.,.,.
V1,2,2007-10-02,p0049,fum.cap,Fumaria ,capreolata,2,22,11667,44,513348
V1,22,2007-10-02,p0049,fum.cap,Fumaria ,capreolata,2,22,11667,44,513348
V1,28,2007-10-02,p0049,fum.cap,Fumaria ,capreolata,3,22,11667,66,770022
V1,32,2007-10-02,p0049,fum.cap,Fumaria ,capreolata,2,22,11667,44,513348
V1,34,2007-10-02,p0049,fum.cap,Fumaria ,capreolata,5,22,11667,110,1283370
V1,F5,2007-10-19,p0049,fum.cap,Fumaria ,capreolata,7,22,11667,154,1796718
V1,F1,2007-10-23,p0049,fum.cap,Fumaria ,capreolata,15,22,11667,330,3850110
V1,F2,2007-10-23,p0049,fum.cap,Fumaria ,capreolata,1,22,11667,22,256674
V1,F1,2007-10-23,p0050,hys.jas,Hysterionica,jassionoide,10,11,988235,110,108705850
V1,F2,2007-10-23,p0050,hys.jas,Hysterionica,jassionoide,1,11,988235,11,10870585
V1,F3,2007-10-23,p0050,hys.jas,Hysterionica,jassionoide,1,11,988235,11,10870585
V1,F4,2007-10-23,p0050,hys.jas,Hysterionica,jassionoide,2,11,988235,22,21741170
V1,F1,2007-10-29,p0050,hys.jas,Hysterionica,jassionoide,30,11,988235,330,326117550
V1,F2,2007-10-29,p0050,hys.jas,Hysterionica,jassionoide,13,11,988235,143,141317605
V1,F3,2007-10-29,p0050,hys.jas,Hysterionica,jassionoide,5,11,988235,55,54352925
V1,F5,2007-10-29,p0050,hys.jas,Hysterionica,jassionoide,2,11,988235,22,21741170
V2,F1,2007-10-29,p0050,hys.jas,Hysterionica,jassionoide,1,11,988235,11,10870585
V2,F2,2007-10-29,p0050,hys.jas,Hysterionica,jassionoide,1,11,988235,11,10870585
V1,F1,2007-11-06,p0050,hys.jas,Hysterionica,jassionoide,7,11,988235,77,76094095
V1,F2,2007-11-06,p0050,hys.jas,Hysterionica,jassionoide,5,11,988235,55,54352925
V1,F3,2007-11-06,p0050,hys.jas,Hysterionica,jassionoide,5,11,988235,55,54352925
V1,F4,2007-11-06,p0050,hys.jas,Hysterionica,jassionoide,3,11,988235,33,32611755
V1,F5,2007-11-06,p0050,hys.jas,Hysterionica,jassionoide,2,11,988235,22,21741170
V2,F5,2007-11-06,p0050,hys.jas,Hysterionica,jassionoide,10,11,988235,110,108705850
V4,F3,2007-11-06,p0050,hys.jas,Hysterionica,jassionoide,6,11,988235,66,65223510
V1,F1,2007-11-13,p0050,hys.jas,Hysterionica,jassionoide,44,11,988235,484,478305740
V1,F2,2007-11-13,p0050,hys.jas,Hysterionica,jassionoide,15,11,988235,165,163058775
V1,F3,2007-11-13,p0050,hys.jas,Hysterionica,jassionoide,2,11,988235,22,21741170
V1,F5,2007-11-13,p0050,hys.jas,Hysterionica,jassionoide,2,11,988235,22,21741170
V2,F1,2007-11-13,p0050,hys.jas,Hysterionica,jassionoide,3,11,988235,33,32611755
V2,F5,2007-11-13,p0050,hys.jas,Hysterionica,jassionoide,7,11,988235,77,76094095
V4,F1,2007-11-13,p0050,hys.jas,Hysterionica,jassionoide,5,11,988235,55,54352925
V4,F2,2007-11-13,p0050,hys.jas,Hysterionica,jassionoide,2,11,988235,22,21741170
V4,F3,2007-11-13,p0050,hys.jas,Hysterionica,jassionoide,9,11,988235,99,97835265
V4,F4,2007-11-13,p0050,hys.jas,Hysterionica,jassionoide,6,11,988235,66,65223510
V4,F5,2007-11-13,p0050,hys.jas,Hysterionica,jassionoide,5,11,988235,55,54352925
V1,F1,2007-11-20,p0050,hys.jas,Hysterionica,jassionoide,58,11,988235,638,630493930
V1,F2,2007-11-20,p0050,hys.jas,Hysterionica,jassionoide,2,11,988235,22,21741170
V1,F3,2007-11-20,p0050,hys.jas,Hysterionica,jassionoide,7,11,988235,77,76094095
V1,F4,2007-11-20,p0050,hys.jas,Hysterionica,jassionoide,2,11,988235,22,21741170
V2,F1,2007-11-20,p0050,hys.jas,Hysterionica,jassionoide,5,11,988235,55,54352925
V2,F3,2007-11-20,p0050,hys.jas,Hysterionica,jassionoide,4,11,988235,44,43482340
V2,F4,2007-11-20,p0050,hys.jas,Hysterionica,jassionoide,1,11,988235,11,10870585
V2,F5,2007-11-20,p0050,hys.jas,Hysterionica,jassionoide,19,11,988235,209,206541115
V1,F1,2007-11-27,p0050,hys.jas,Hysterionica,jassionoide,17,11,988235,187,184799945
V1,F2,2007-11-27,p0050,hys.jas,Hysterionica,jassionoide,3,11,988235,33,32611755
V1,F3,2007-11-27,p0050,hys.jas,Hysterionica,jassionoide,2,11,988235,22,21741170
V1,F4,2007-11-27,p0050,hys.jas,Hysterionica,jassionoide,1,11,988235,11,10870585
V1,F5,2007-11-27,p0050,hys.jas,Hysterionica,jassionoide,4,11,988235,44,43482340
V4,F5,2007-11-27,p0050,hys.jas,Hysterionica,jassionoide,1,11,988235,11,10870585
V1,F1,2007-10-29,p0051,mon.aph,Monttea ,aphylla ,1,93,71296,93,6630528
V4,F4,2007-10-29,p0051,mon.aph,Monttea ,aphylla ,1,93,71296,93,6630528
V1,F1,2007-11-06,p0051,mon.aph,Monttea ,aphylla ,1,93,71296,93,6630528
V1,F1,2007-11-13,p0051,mon.aph,Monttea ,aphylla ,1,93,71296,93,6630528
V4,F4,2007-11-20,p0051,mon.aph,Monttea ,aphylla ,1,93,71296,93,6630528
V1,F5,2007-10-23,p0054,sph.min,Spharealcea,miniata,1,3,147222,3,441666
V4,F4,2007-10-23,p0054,sph.min,Spharealcea,miniata,3,3,147222,9,1324998
V1,F2,2007-10-29,p0054,sph.min,Spharealcea,miniata,3,3,147222,9,1324998
V1,F2,2007-10-29,p0054,sph.min,Spharealcea,miniata,1,3,147222,3,441666
V1,F4,2007-10-29,p0054,sph.min,Spharealcea,miniata,4,3,147222,12,1766664
V1,F5,2007-10-29,p0054,sph.min,Spharealcea,miniata,1,3,147222,3,441666
V2,F2,2007-10-29,p0054,sph.min,Spharealcea,miniata,1,3,147222,3,441666
V2,F3,2007-10-29,p0054,sph.min,Spharealcea,miniata,2,3,147222,6,883332
V2,F4,2007-10-29,p0054,sph.min,Spharealcea,miniata,3,3,147222,9,1324998
V4,F4,2007-10-29,p0054,sph.min,Spharealcea,miniata,10,3,147222,30,4416660
V4,F5,2007-10-29,p0054,sph.min,Spharealcea,miniata,6,3,147222,18,2649996
V1,F2,2007-11-06,p0054,sph.min,Spharealcea,miniata,1,3,147222,3,441666
V1,F3,2007-11-06,p0054,sph.min,Spharealcea,miniata,1,3,147222,3,441666
V1,F4,2007-11-06,p0054,sph.min,Spharealcea,miniata,2,3,147222,6,883332
V2,F5,2007-11-06,p0054,sph.min,Spharealcea,miniata,2,3,147222,6,883332
V4,F1,2007-11-06,p0054,sph.min,Spharealcea,miniata,4,3,147222,12,1766664
V4,F4,2007-11-06,p0054,sph.min,Spharealcea,miniata,7,3,147222,21,3091662
V4,F5,2007-11-06,p0054,sph.min,Spharealcea,miniata,4,3,147222,12,1766664
V4,F3,2007-11-20,p0054,sph.min,Spharealcea,miniata,3,3,147222,9,1324998
V1,1,2007-10-02,p0057,ero.cic,Erodium ,cicatarium,4,4,5625,16,90000
V1,2,2007-10-02,p0057,ero.cic,Erodium ,cicatarium,15,4,5625,60,337500
V1,7,2007-10-02,p0057,ero.cic,Erodium ,cicatarium,6,4,5625,24,135000
V1,9,2007-10-02,p0057,ero.cic,Erodium ,cicatarium,5,4,5625,20,112500
V1,10,2007-10-02,p0057,ero.cic,Erodium ,cicatarium,1,4,5625,4,22500
V1,11,2007-10-02,p0057,ero.cic,Erodium ,cicatarium,2,4,5625,8,45000
V1,22,2007-10-02,p0057,ero.cic,Erodium ,cicatarium,5,4,5625,20,112500
V1,34,2007-10-02,p0057,ero.cic,Erodium ,cicatarium,2,4,5625,8,45000
