sitio,cuadrante,fecha,no.esp.p,codigo.p,genero.p,especie.p,no.indiv,no.flores,flores.prom.indiv,gpflor.ind,flores.tot,gp.tot
V3,3,2006-11-20,p0038,pro.fle,Prosopis,flexuosa,1,,153,29864844,153,4569321132
V3,6,2006-11-20,p0037,opu.sul,Opuntia,sulphurea,1,,3,23359091,3,70077273
V3,9,2006-11-20,p0034,lar.div,Larrea,divaricata,2,,44,1027210,88,90394480
V3,11,2006-11-20,p0034,lar.div,Larrea,divaricata,1,,44,1027210,44,45197240
V3,11,2006-11-20,p0037,opu.sul,Opuntia,sulphurea,1,,3,23359091,3,70077273
V3,12,2006-11-20,p0034,lar.div,Larrea,divaricata,2,,44,1027210,88,90394480
V3,12,2006-11-20,p0037,opu.sul,Opuntia,sulphurea,2,,3,23359091,6,140154546
V3,13,2006-11-20,p0034,lar.div,Larrea,divaricata,1,,44,1027210,44,45197240
V3,13,2006-11-20,p0037,opu.sul,Opuntia,sulphurea,1,,3,23359091,3,70077273
V3,14,2006-11-20,p0006,men.dec,Menodora ,decemfida ,1,,13,18889,13,245557
V3,15,2006-11-20,p0037,opu.sul,Opuntia,sulphurea,1,,3,23359091,3,70077273
V3,16,2006-11-20,p0006,men.dec,Menodora ,decemfida ,1,,13,18889,13,245557
V3,19,2006-11-20,p0034,lar.div,Larrea,divaricata,1,,44,1027210,44,45197240
V3,19,2006-11-20,p0003,zuc.pun,Zuccagnia ,punctata ,1,,198,17037,198,3373326
V3,21,2006-11-20,p0034,lar.div,Larrea,divaricata,1,,44,1027210,44,45197240
V3,23,2006-11-20,p0034,lar.div,Larrea,divaricata,1,,44,1027210,44,45197240
V3,24,2006-11-20,p0034,lar.div,Larrea,divaricata,1,,44,1027210,44,45197240
V3,30,2006-11-20,p0006,men.dec,Menodora ,decemfida ,1,,13,18889,13,245557
V4,1,2006-11-20,p0034,lar.div,Larrea,divaricata,1,,44,1027210,44,45197240
V4,2,2006-11-20,p0037,opu.sul,Opuntia,sulphurea,1,,3,23359091,3,70077273
V4,3,2006-11-20,p0034,lar.div,Larrea,divaricata,1,,44,1027210,44,45197240
V4,4,2006-11-20,p0034,lar.div,Larrea,divaricata,1,,44,1027210,44,45197240
V4,4,2006-11-20,p0037,opu.sul,Opuntia,sulphurea,1,,3,23359091,3,70077273
V4,6,2006-11-20,p0034,lar.div,Larrea,divaricata,2,,44,1027210,88,90394480
V4,7,2006-11-20,p0037,opu.sul,Opuntia,sulphurea,1,,3,23359091,3,70077273
V4,8,2006-11-20,p0034,lar.div,Larrea,divaricata,1,,44,1027210,44,45197240
V4,8,2006-11-20,p0037,opu.sul,Opuntia,sulphurea,1,,3,23359091,3,70077273
V4,9,2006-11-20,p0037,opu.sul,Opuntia,sulphurea,1,,3,23359091,3,70077273
V4,11,2006-11-20,p0037,opu.sul,Opuntia,sulphurea,2,,3,23359091,6,140154546
V4,12,2006-11-20,p0034,lar.div,Larrea,divaricata,1,,44,1027210,44,45197240
V4,13,2006-11-20,p0034,lar.div,Larrea,divaricata,1,,44,1027210,44,45197240
V4,13,2006-11-20,p0037,opu.sul,Opuntia,sulphurea,1,,3,23359091,3,70077273
V4,14,2006-11-20,p0034,lar.div,Larrea,divaricata,1,,44,1027210,44,45197240
V4,15,2006-11-20,p0034,lar.div,Larrea,divaricata,1,,44,1027210,44,45197240
V4,15,2006-11-20,p0037,opu.sul,Opuntia,sulphurea,1,,3,23359091,3,70077273
V4,17,2006-11-20,p0034,lar.div,Larrea,divaricata,1,,44,1027210,44,45197240
V4,18,2006-11-20,p0034,lar.div,Larrea,divaricata,1,,44,1027210,44,45197240
V4,18,2006-11-20,p0037,opu.sul,Opuntia,sulphurea,1,,3,23359091,3,70077273
V4,19,2006-11-20,p0037,opu.sul,Opuntia,sulphurea,1,,3,23359091,3,70077273
V4,24,2006-11-20,p0037,opu.sul,Opuntia,sulphurea,1,,3,23359091,3,70077273
V4,28,2006-11-20,p0037,opu.sul,Opuntia,sulphurea,2,,3,23359091,6,140154546
V4,29,2006-11-20,p0006,men.dec,Menodora ,decemfida ,2,,13,18889,26,491114
V4,29,2006-11-20,p0037,opu.sul,Opuntia,sulphurea,1,,3,23359091,3,70077273
V4,30,2006-11-20,p0037,opu.sul,Opuntia,sulphurea,1,,3,23359091,3,70077273
V4,31,2006-11-20,p0037,opu.sul,Opuntia,sulphurea,1,,3,23359091,3,70077273
V4,39,2006-11-20,p0034,lar.div,Larrea,divaricata,1,,44,1027210,44,45197240
V1,2,2006-11-29,p0003,zuc.pun,Zuccagnia ,punctata ,1,,198,17037,198,3373326
V1,8,2006-11-29,p0034,lar.div,Larrea,divaricata,1,,44,1027210,44,45197240
V1,10,2006-11-29,p0038,pro.fle,Prosopis,flexuosa,1,,153,29864844,153,4569321132
V1,18,2006-11-29,p0034,lar.div,Larrea,divaricata,1,,44,1027210,44,45197240
V2,3,2006-11-29,p0034,lar.div,Larrea,divaricata,1,,44,1027210,44,45197240
V2,3,2006-11-29,p0038,pro.fle,Prosopis,flexuosa,1,,153,29864844,153,4569321132
V2,13,2006-11-29,p0037,opu.sul,Opuntia,sulphurea,12,,3,23359091,36,840927276
V2,37,2006-11-29,p0037,opu.sul,Opuntia,sulphurea,1,,3,23359091,3,70077273
V3,3,2006-11-29,p0038,pro.fle,Prosopis,flexuosa,1,,153,29864844,153,4569321132
V3,9,2006-11-29,p0034,lar.div,Larrea,divaricata,1,,44,1027210,44,45197240
V3,11,2006-11-29,p0034,lar.div,Larrea,divaricata,1,,44,1027210,44,45197240
V3,11,2006-11-29,p0037,opu.sul,Opuntia,sulphurea,2,,3,23359091,6,140154546
V3,12,2006-11-29,p0037,opu.sul,Opuntia,sulphurea,4,,3,23359091,12,280309092
V3,15,2006-11-29,p0037,opu.sul,Opuntia,sulphurea,1,,3,23359091,3,70077273
V3,17,2006-11-29,p0006,men.dec,Menodora ,decemfida ,3,,13,18889,39,736671
V3,19,2006-11-29,p0034,lar.div,Larrea,divaricata,1,,44,1027210,44,45197240
V3,31,2006-11-29,p0037,opu.sul,Opuntia,sulphurea,1,,3,23359091,3,70077273
V4,1,2006-11-29,p0037,opu.sul,Opuntia,sulphurea,1,,3,23359091,3,70077273
V4,2,2006-11-29,p0037,opu.sul,Opuntia,sulphurea,1,,3,23359091,3,70077273
V4,4,2006-11-29,p0037,opu.sul,Opuntia,sulphurea,4,,3,23359091,12,280309092
V4,5,2006-11-29,p0037,opu.sul,Opuntia,sulphurea,6,,3,23359091,18,420463638
V4,6,2006-11-29,p0037,opu.sul,Opuntia,sulphurea,4,,3,23359091,12,280309092
V4,7,2006-11-29,p0037,opu.sul,Opuntia,sulphurea,3,,3,23359091,9,210231819
V4,8,2006-11-29,p0037,opu.sul,Opuntia,sulphurea,2,,3,23359091,6,140154546
V4,9,2006-11-29,p0037,opu.sul,Opuntia,sulphurea,2,,3,23359091,6,140154546
V4,10,2006-11-29,p0037,opu.sul,Opuntia,sulphurea,8,,3,23359091,24,560618184
V4,11,2006-11-29,p0037,opu.sul,Opuntia,sulphurea,1,,3,23359091,3,70077273
V4,12,2006-11-29,p0037,opu.sul,Opuntia,sulphurea,1,,3,23359091,3,70077273
V4,13,2006-11-29,p0037,opu.sul,Opuntia,sulphurea,6,,3,23359091,18,420463638
V4,15,2006-11-29,p0037,opu.sul,Opuntia,sulphurea,2,,3,23359091,6,140154546
V4,16,2006-11-29,p0037,opu.sul,Opuntia,sulphurea,2,,3,23359091,6,140154546
V4,19,2006-11-29,p0037,opu.sul,Opuntia,sulphurea,1,,3,23359091,3,70077273
V4,20,2006-11-29,p0037,opu.sul,Opuntia,sulphurea,4,,3,23359091,12,280309092
V4,24,2006-11-29,p0037,opu.sul,Opuntia,sulphurea,1,,3,23359091,3,70077273
V4,29,2006-11-29,p0006,men.dec,Menodora ,decemfida ,1,,13,18889,13,245557
V4,29,2006-11-29,p0037,opu.sul,Opuntia,sulphurea,10,,3,23359091,30,700772730
V4,30,2006-11-29,p0037,opu.sul,Opuntia,sulphurea,1,,3,23359091,3,70077273
V4,32,2006-11-29,p0037,opu.sul,Opuntia,sulphurea,1,,3,23359091,3,70077273
V4,38,2006-11-29,p0037,opu.sul,Opuntia,sulphurea,1,,3,23359091,3,70077273
.,8,2007-01-19,p0011,lyc.chi,Lycium ,chilense ,1,,8,120247,8,961976
V1,1,2007-01-19,p0026,alo.gra,Aloyssia ,gratissima ,1,,915,1984,915,1815360
V1,3,2007-01-19,p0009,sen.aph,Senna ,aphylla ,1,,134,103318,134,13844612
V1,4,2007-01-19,p0026,alo.gra,Aloyssia ,gratissima ,2,,915,1984,1830,3630720
V1,7,2007-01-19,p0026,alo.gra,Aloyssia ,gratissima ,2,,915,1984,1830,3630720
V1,11,2007-01-19,p0026,alo.gra,Aloyssia ,gratissima ,2,,915,1984,1830,3630720
V1,11,2007-01-19,p0039,pro.cun,Proustia,cuneifolia,2,,4750,149931,9500,1424344500
V1,12,2007-01-19,p0026,alo.gra,Aloyssia ,gratissima ,2,,915,1984,1830,3630720
V1,12,2007-01-19,p0011,lyc.chi,Lycium ,chilense ,1,,8,120247,8,961976
V1,13,2007-01-19,p0026,alo.gra,Aloyssia ,gratissima ,1,,915,1984,915,1815360
V1,13,2007-01-19,p0011,lyc.chi,Lycium ,chilense ,1,,8,120247,8,961976
V1,14,2007-01-19,p0026,alo.gra,Aloyssia ,gratissima ,2,,915,1984,1830,3630720
V1,15,2007-01-19,p0026,alo.gra,Aloyssia ,gratissima ,1,,915,1984,915,1815360
V1,16,2007-01-19,p0011,lyc.chi,Lycium ,chilense ,2,,8,120247,16,1923952
V1,17,2007-01-19,p0011,lyc.chi,Lycium ,chilense ,1,,8,120247,8,961976
V1,19,2007-01-19,p0011,lyc.chi,Lycium ,chilense ,1,,8,120247,8,961976
V1,19,2007-01-19,p0039,pro.cun,Proustia,cuneifolia,1,,4750,149931,4750,712172250
V1,22,2007-01-19,p0075,lyc.sp1,Lycium ,sp.,1,,6,.,6,.
V1,24,2007-01-19,p0075,lyc.sp1,Lycium ,sp.,1,,6,.,6,.
V1,25,2007-01-19,p0039,pro.cun,Proustia,cuneifolia,1,,4750,149931,4750,712172250
V1,27,2007-01-19,p0039,pro.cun,Proustia,cuneifolia,1,,4750,149931,4750,712172250
V1,28,2007-01-19,p0075,lyc.sp1,Lycium ,sp.,1,,6,.,6,.
V1,30,2007-01-19,p0026,alo.gra,Aloyssia ,gratissima ,1,,915,1984,915,1815360
V1,31,2007-01-19,p0006,men.dec,Menodora ,decemfida ,1,,13,18889,13,245557
V1,36,2007-01-19,p0027,bou.spi,Bougainvillea  ,spinosa ,1,,320,.,320,.
V1,37,2007-01-19,p0039,pro.cun,Proustia,cuneifolia,1,,4750,149931,4750,712172250
V1,38,2007-01-19,p0026,alo.gra,Aloyssia ,gratissima ,1,,915,1984,915,1815360
V1,40,2007-01-19,p0026,alo.gra,Aloyssia ,gratissima ,1,,915,1984,915,1815360
V2,7,2007-01-19,p0026,alo.gra,Aloyssia ,gratissima ,1,,915,1984,915,1815360
V2,32,2007-01-19,p0039,pro.cun,Proustia,cuneifolia,1,,4750,149931,4750,712172250
V3,22,2007-01-19,p0039,pro.cun,Proustia,cuneifolia,1,,4750,149931,4750,712172250
V3,31,2007-01-19,p0039,pro.cun,Proustia,cuneifolia,1,,100,149931,100,14993100
