sitio,fecha,tra.par,no.esp.p,codigo.p,genero.p,especie.p,no.ind,no.flores.ind.1,no.flores.ind.2,no.flores.ind.3,no.flores.ind.4,no.flores.ind.5,no.flores.ind.6,no.flores.ind.7,no.flores.ind.8,no.flores.ind.9,no.flores.ind.10,no.flores.ind.11,no.flores.ind.12,no.flores.ind.13,no.flores.ind.14,flores.herb,flores.tot,observador,comentarios
V4,2011-11-01,P2,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,Nydia,
V4,2011-11-01,P5,p0032,con.mic,Condalia,microphylla,1,100,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,Nydia,mucho pimpollo
V4,2011-11-01,P6,p0056,phr.pac,Pyrrhocactus,pachacoensis,1,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,Nydia,pimpollos
V4,2011-11-01,T1,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Nydia,
V4,2011-11-01,T2,p0034,lar.div,Larrea,divaricata,1,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,Nydia,
V4,2011-11-01,T2,p0006,men.dec,Menodora ,decemfida ,8,14,1,6,5,2,1,2,2,.,.,.,.,.,.,.,33,Nydia,
V1,2011-11-08,P1,p0034,lar.div,Larrea,divaricata,9,15,6,5000,3000,3500,700,120,6000,40,.,.,.,.,.,.,18381,Nydia,
V1,2011-11-08,P2,p0034,lar.div,Larrea,divaricata,4,50,28,34,36,.,.,.,.,.,.,.,.,.,.,.,148,Nydia,
V1,2011-11-08,P2,p0006,men.dec,Menodora ,decemfida ,12,1,2,1,1,1,3,4,5,1,1,6,10,.,.,.,36,Nydia,
V1,2011-11-08,P2,p0009,sen.aph,Senna ,aphylla ,4,26,30,15,2,.,.,.,.,.,.,.,.,.,.,.,73,Nydia,
V1,2011-11-08,P2,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10,10,Nydia,
V1,2011-11-08,P2,p0003,zuc.pun,Zuccagnia ,punctata ,1,40,.,.,.,.,.,.,.,.,.,.,.,.,.,.,40,Nydia,
V1,2011-11-08,P5,p0034,lar.div,Larrea,divaricata,5,4000,25,100,500,200,.,.,.,.,.,.,.,.,.,.,4825,Nydia,
V1,2011-11-08,P6,p0006,men.dec,Menodora ,decemfida ,10,1,1,5,1,1,7,1,2,2,2,.,.,.,.,.,23,Nydia,
V1,2011-11-08,P6,p0051,mon.aph,Monttea ,aphylla ,1,86,.,.,.,.,.,.,.,.,.,.,.,.,.,.,86,Nydia,
V1,2011-11-08,P6,p0003,zuc.pun,Zuccagnia ,punctata ,7,40,15,1800,7300,6,15,1200,.,.,.,.,.,.,.,.,10376,Nydia,
V1,2011-11-08,T1,p0006,men.dec,Menodora ,decemfida ,7,1,4,3,1,1,3,2,.,.,.,.,.,.,.,.,15,Nydia,
V1,2011-11-08,T1,p0051,mon.aph,Monttea ,aphylla ,1,70,.,.,.,.,.,.,.,.,.,.,.,.,.,.,70,Nydia,
V1,2011-11-08,T1,p0009,sen.aph,Senna ,aphylla ,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7,7,Nydia,
V1,2011-11-08,T2,p0032,con.mic,Condalia,microphylla,1,300000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,300000,Nydia,
V1,2011-11-08,T2,p0034,lar.div,Larrea,divaricata,8,45,130,16,4,36,65,1,12,.,.,.,.,.,.,.,309,Nydia,
V1,2011-11-08,T2,p0006,men.dec,Menodora ,decemfida ,1,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,Nydia,
V1,2011-11-08,T2,p0003,zuc.pun,Zuccagnia ,punctata ,1,725,.,.,.,.,.,.,.,.,.,.,.,.,.,.,725,Nydia,
V4,2011-11-08,P1,p0032,con.mic,Condalia,microphylla,1,180,.,.,.,.,.,.,.,.,.,.,.,.,.,.,180,Nydia,
V4,2011-11-08,P1,p0034,lar.div,Larrea,divaricata,5,10,7,6,23,17,.,.,.,.,.,.,.,.,.,.,63,Nydia,
V4,2011-11-08,P1,p0003,zuc.pun,Zuccagnia ,punctata ,3,36,18,1560,.,.,.,.,.,.,.,.,.,.,.,.,1614,Nydia,
V4,2011-11-08,P2,p0032,con.mic,Condalia,microphylla,1,450000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,450000,Nydia,
V4,2011-11-08,P2,p0034,lar.div,Larrea,divaricata,4,5,17,4,70,.,.,.,.,.,.,.,.,.,.,.,96,Nydia,
V4,2011-11-08,P2,p0006,men.dec,Menodora ,decemfida ,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Nydia,
V4,2011-11-08,P5,p0032,con.mic,Condalia,microphylla,1,20000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20000,Nydia,
V4,2011-11-08,P5,p0034,lar.div,Larrea,divaricata,11,5,1,23,28,20,4,12,3,120,100,8,.,.,.,.,324,Nydia,
V4,2011-11-08,P5,p0006,men.dec,Menodora ,decemfida ,3,5,12,6,.,.,.,.,.,.,.,.,.,.,.,.,23,Nydia,
V4,2011-11-08,P5,p0003,zuc.pun,Zuccagnia ,punctata ,3,900,12,130,.,.,.,.,.,.,.,.,.,.,.,.,1042,Nydia,
V4,2011-11-08,P6,p0003,zuc.pun,Zuccagnia ,punctata ,6,300,600,20,500,10,5,.,.,.,.,.,.,.,.,.,1435,Nydia,
V4,2011-11-08,T1,p0034,lar.div,Larrea,divaricata,11,15,95,44,6,8,65,7,4,60,50,.,.,.,.,.,389.4,Nydia,
V4,2011-11-08,T2,p0034,lar.div,Larrea,divaricata,4,2,150,14,35,.,.,.,.,.,.,.,.,.,.,.,201,Nydia,
V4,2011-11-08,T2,p0006,men.dec,Menodora ,decemfida ,8,4,1,1,10,13,6,8,8,.,.,.,.,.,.,.,51,Nydia,
V4,2011-11-08,T2,p0038,pro.fle,Prosopis,flexuosa,1,120,.,.,.,.,.,.,.,.,.,.,.,.,.,.,120,Nydia,1 vaina con 120 flores
V1,2011-11-18,P1,p0034,lar.div,Larrea,divaricata,10,50,10,40,100,100,5.5,8,16,40,144,.,.,.,.,.,513.5,Diego y Jule,
V1,2011-11-18,P1,p0035,lar.nit,Larrea,nitida,1,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,Diego y Jule,no coinciden numeros de libreta diego con los de planilla papel
V1,2011-11-18,P2,p0032,con.mic,Condalia,microphylla,1,100,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,Diego y Jule,muchas marchitas
V1,2011-11-18,P2,p0034,lar.div,Larrea,divaricata,4,19.5,9,74,30,.,.,.,.,.,.,.,.,.,.,.,132.5,Diego y Jule,
V1,2011-11-18,P2,p0006,men.dec,Menodora ,decemfida ,2,1,3,.,.,.,.,.,.,.,.,.,.,.,.,.,4,Diego y Jule,
V1,2011-11-18,P2,p0009,sen.aph,Senna ,aphylla ,1,26,.,.,.,.,.,.,.,.,.,.,.,.,.,.,26,Diego y Jule,
V1,2011-11-18,P2,p0003,zuc.pun,Zuccagnia ,punctata ,2,800,200,20,.,.,.,.,.,.,.,.,.,.,.,.,680,Diego y Jule,
V1,2011-11-18,P5,p0034,lar.div,Larrea,divaricata,9,75,33.3333333333,80,20,40,105,13,11,130,.,.,.,.,.,.,507.3333333333,Diego y Jule,
V1,2011-11-18,P6,p0006,men.dec,Menodora ,decemfida ,17,2,9,2,1,1,4,1,2,3,3,.,.,.,.,.,47.6,Diego y Jule,
V1,2011-11-18,P6,p0009,sen.aph,Senna ,aphylla ,2,2,13,.,.,.,.,.,.,.,.,.,.,.,.,.,15,Diego y Jule,no coinciden numeros de libreta diego con los de planilla papel
V1,2011-11-18,P6,p0003,zuc.pun,Zuccagnia ,punctata ,2,40,150,300,90,,,,,,,,.,.,.,.,290,Diego y Jule,
V1,2011-11-18,T1,p0006,men.dec,Menodora ,decemfida ,3,1,13,2,.,.,.,.,.,.,.,.,.,.,.,.,16,Diego y Jule,no coinciden numeros de libreta diego con los de planilla papel
V1,2011-11-18,T1,p0051,mon.aph,Monttea ,aphylla ,1,15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,Diego y Jule,
V1,2011-11-18,T1,p0009,sen.aph,Senna ,aphylla ,1,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,Diego y Jule,
V1,2011-11-18,T1,p0003,zuc.pun,Zuccagnia ,punctata ,4,40,75,26.6666666667,60,.,.,.,.,.,.,.,.,.,.,.,201.6666666667,Diego y Jule,no coinciden numeros de libreta diego con los de planilla papel
V1,2011-11-18,T2,p0032,con.mic,Condalia,microphylla,1,50,.,.,.,.,.,.,.,.,.,.,.,.,.,.,50,Diego y Jule,muchas marchitas. no coinciden numeros de libreta diego con los de planilla papel
V1,2011-11-18,T2,p0034,lar.div,Larrea,divaricata,8,25,22.5,25,20,55,30,50,45,.,.,.,.,.,.,.,272.5,Diego y Jule,no coinciden numeros de libreta diego con los de planilla papel
V1,2011-11-18,T2,p0003,zuc.pun,Zuccagnia ,punctata ,3,50,5,50,.,.,.,.,.,.,.,.,.,.,.,.,105,Diego y Jule,no coinciden numeros de libreta diego con los de planilla papel
V4,2011-11-18,P1,p0034,lar.div,Larrea,divaricata,5,35,2,3,3,6,.,.,.,.,.,.,.,.,.,.,49,Diego y Jule,
V4,2011-11-18,P1,p0037,opu.sul,Opuntia,sulphurea,5,1,1,1,3,3,.,.,.,.,.,.,.,.,.,.,9,Diego y Jule,
V4,2011-11-18,P1,p0054,sph.min,Sphaeralcea,miniata,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Diego y Jule,
V4,2011-11-18,P1,p0003,zuc.pun,Zuccagnia ,punctata ,3,700,22,200,.,.,.,.,.,.,.,.,.,.,.,.,922,Diego y Jule,
V4,2011-11-18,P2,p0032,con.mic,Condalia,microphylla,1,400,.,.,.,.,.,.,.,.,.,.,.,.,.,.,400,Diego y Jule,
V4,2011-11-18,P2,p0034,lar.div,Larrea,divaricata,4,23,3,6,12,.,.,.,.,.,.,.,.,.,.,.,44,Diego y Jule,
V4,2011-11-18,P2,p0006,men.dec,Menodora ,decemfida ,3,4,2,1,.,.,.,.,.,.,.,.,.,.,.,.,7,Diego y Jule,
V4,2011-11-18,P2,p0037,opu.sul,Opuntia,sulphurea,1,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,Diego y Jule,
V4,2011-11-18,P5,p0034,lar.div,Larrea,divaricata,6,10,5,30,15,10,10,90,.,.,.,.,.,.,.,.,145.7142857143,Diego y Jule,
V4,2011-11-18,P5,p0006,men.dec,Menodora ,decemfida ,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Diego y Jule,
V4,2011-11-18,P5,p0037,opu.sul,Opuntia,sulphurea,4,2,1,3,2,.,.,.,.,.,.,.,.,.,.,.,8,Diego y Jule,
V4,2011-11-18,P5,p0003,zuc.pun,Zuccagnia ,punctata ,4,37.5,125,90,150,.,.,.,.,.,.,.,.,.,.,.,402.5,Diego y Jule,no coinciden numeros de libreta diego con los de planilla papel
V4,2011-11-18,P6,p0034,lar.div,Larrea,divaricata,1,11,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11,Diego y Jule,
V4,2011-11-18,P6,p0006,men.dec,Menodora ,decemfida ,6,3,1,2,2,1,1,.,.,.,.,.,.,.,.,.,10,Diego y Jule,
V4,2011-11-18,P6,p0037,opu.sul,Opuntia,sulphurea,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Diego y Jule,
V4,2011-11-18,P6,p0003,zuc.pun,Zuccagnia ,punctata ,13,2500,112.5,350,12,6,2000,120,400,100,200,150,15,12.5,.,.,5978,Diego y Jule,no coinciden numeros de libreta diego con los de planilla papel
V4,2011-11-18,T1,p0034,lar.div,Larrea,divaricata,8,20,8,6,10,5,25,20,5,.,.,.,.,.,.,.,99,Diego y Jule,no coinciden numeros de libreta diego con los de planilla papel
V4,2011-11-18,T1,p0132,zep.fil,Zephyranthus,aff. filifolia,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Diego y Jule,
V4,2011-11-18,T2,p0034,lar.div,Larrea,divaricata,5,1,2,6,9,25.5,.,.,.,.,.,.,.,.,.,.,43.5,Diego y Jule,
V4,2011-11-18,T2,p0006,men.dec,Menodora ,decemfida ,6,2,3,3,1,1,1,.,.,.,.,.,.,.,.,.,11,Diego y Jule,
V4,2011-11-18,T2,p0037,opu.sul,Opuntia,sulphurea,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Diego y Jule,
V1,2011-11-22,P1,p0034,lar.div,Larrea,divaricata,2,50,5,.,.,.,.,.,.,.,.,.,.,.,.,.,55,Nydia,
V1,2011-11-22,P2,p0034,lar.div,Larrea,divaricata,4,30,1,2,10,.,.,.,.,.,.,.,.,.,.,.,43,Nydia,
V1,2011-11-22,P2,p0006,men.dec,Menodora ,decemfida ,4,1,1,2,1,.,.,.,.,.,.,.,.,.,.,.,5,Nydia,
V1,2011-11-22,P2,p0037,opu.sul,Opuntia,sulphurea,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Nydia,
V1,2011-11-22,P2,p0038,pro.fle,Prosopis,flexuosa,2,200,16,.,.,.,.,.,.,.,.,.,.,.,.,.,216,Nydia,2 vainas con 200 flores y 8 vainas con 8 flores cada una
V1,2011-11-22,P2,p0003,zuc.pun,Zuccagnia ,punctata ,2,22000,496,.,.,.,.,.,.,.,.,.,.,.,.,.,22496,Nydia,
V1,2011-11-22,P5,p0034,lar.div,Larrea,divaricata,6,4,120,30,15,46,320,.,.,.,.,.,.,.,.,.,535,Nydia,
V1,2011-11-22,P6,p0034,lar.div,Larrea,divaricata,1,23,.,.,.,.,.,.,.,.,.,.,.,.,.,.,23,Nydia,
V1,2011-11-22,P6,p0006,men.dec,Menodora ,decemfida ,7,1,1,5,1,2,1,3,.,.,.,.,.,.,.,.,14,Nydia,
V1,2011-11-22,P6,p0037,opu.sul,Opuntia,sulphurea,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Nydia,
V1,2011-11-22,P6,p0009,sen.aph,Senna ,aphylla ,1,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,Nydia,
V1,2011-11-22,T1,p0006,men.dec,Menodora ,decemfida ,2,1,2,.,.,.,.,.,.,.,.,.,.,.,.,.,3,Nydia,
V1,2011-11-22,T1,p0051,mon.aph,Monttea ,aphylla ,1,16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16,Nydia,
V1,2011-11-22,T1,p0009,sen.aph,Senna ,aphylla ,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Nydia,
V1,2011-11-22,T1,p0003,zuc.pun,Zuccagnia ,punctata ,3,250,17,1000,.,.,.,.,.,.,.,.,.,.,.,.,1267,Nydia,
V1,2011-11-22,T2,p0032,con.mic,Condalia,microphylla,1,500,.,.,.,.,.,.,.,.,.,.,.,.,.,.,500,Nydia,
V1,2011-11-22,T2,p0034,lar.div,Larrea,divaricata,10,12,170,30,10,5,65,60,36,45,12,.,.,.,.,.,445,Nydia,
V1,2011-11-22,T2,p0038,pro.fle,Prosopis,flexuosa,1,40,.,.,.,.,.,.,.,.,.,.,.,.,.,.,40,Nydia,1 vaina con 40 flores
V1,2011-11-22,T2,p0003,zuc.pun,Zuccagnia ,punctata ,3,28,120,150,.,.,.,.,.,.,.,.,.,.,.,.,298,Nydia,
V18,2011-11-22,P1,p0032,con.mic,Condalia,microphylla,1,500,.,.,.,.,.,.,.,.,.,.,.,.,.,.,500,Diego,
V18,2011-11-22,P1,p0003,zuc.pun,Zuccagnia ,punctata ,6,100,400,30,200,300,1700,.,.,.,.,.,.,.,.,.,2730,Diego,
V18,2011-11-22,P2,.,.,.,.,2,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,2,Diego,"decía rho.men, pero no existe"
V18,2011-11-22,P2,p0036,lec.het,Lecanophora,heterophylla,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Diego,
V18,2011-11-22,P2,p0003,zuc.pun,Zuccagnia ,punctata ,7,133.3333333333,1000,1000,500,200,300,50,.,.,.,.,.,.,.,.,3183.3333333333,Diego,
V18,2011-11-22,P5,p0034,lar.div,Larrea,divaricata,1,20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20,Diego,
V18,2011-11-22,P5,p0037,opu.sul,Opuntia,sulphurea,2,2,1,.,.,.,.,.,.,.,.,.,.,.,.,.,3,Diego,
V18,2011-11-22,P5,p0003,zuc.pun,Zuccagnia ,punctata ,2,2,50,20,.,.,.,.,.,.,.,.,.,.,.,.,48,Diego,
V18,2011-11-22,P6,p0045,lar.cun,Larrea,cuneifolia,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Diego,
V18,2011-11-22,P6,p0038,pro.fle,Prosopis,flexuosa,2,15,50,.,.,.,.,.,.,.,.,.,.,.,.,.,65,Diego,inflorescencias
V18,2011-11-22,P6,p0003,zuc.pun,Zuccagnia ,punctata ,1,2000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2000,Diego,
V18,2011-11-22,T1,p0032,con.mic,Condalia,microphylla,1,1000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1000,Diego,
V18,2011-11-22,T1,p0038,pro.fle,Prosopis,flexuosa,1,100,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,Diego,inflorescencias
V18,2011-11-22,T1,p0003,zuc.pun,Zuccagnia ,punctata ,4,50,100,400,400,100,33.3333333333,.,.,.,.,.,.,.,.,.,722.2222222222,Diego,
V18,2011-11-22,T2,p0037,opu.sul,Opuntia,sulphurea,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Diego,
V18,2011-11-22,T2,p0003,zuc.pun,Zuccagnia ,punctata ,14,75,50,50,30,50,50,100,100,37.5,500,.,.,.,.,.,1459.5,Diego,
V19,2011-11-22,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,"fuera parcela; decía rho.men, pero no existe"
V19,2011-11-22,.,p0037,opu.sul,Opuntia,sulphurea,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,fuera parcela
V19,2011-11-22,P1,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,
V19,2011-11-22,P2,p0006,men.dec,Menodora ,decemfida ,52,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,187.2,Diego,
V19,2011-11-22,P5,p0006,men.dec,Menodora ,decemfida ,1,2,1,1,8,3,1,2,4,.,.,.,.,.,.,.,2.75,Diego,
V19,2011-11-22,P6,.,.,.,.,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Diego,"decía rho.men, pero no existe"
V19,2011-11-22,P6,p0129,hya.arg,Hyalis,argentea,1,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,Diego,
V19,2011-11-22,P6,p0006,men.dec,Menodora ,decemfida ,20,6,2,6,8,10,1,8,3,13,2,.,.,.,.,.,118,Diego,
V19,2011-11-22,T1,p0006,men.dec,Menodora ,decemfida ,12,1,6,3,4,2,1,10,3,2,11,10,3,.,.,.,56,Diego,
V19,2011-11-22,T2,p0006,men.dec,Menodora ,decemfida ,4,1,5,3,1,.,.,.,.,.,.,.,.,.,.,.,10,Diego,
V4,2011-11-22,P1,p0032,con.mic,Condalia,microphylla,1,19,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19,Nydia,
V4,2011-11-22,P1,p0034,lar.div,Larrea,divaricata,4,4,5,5,8,.,.,.,.,.,.,.,.,.,.,.,22,Nydia,
V4,2011-11-22,P1,p0037,opu.sul,Opuntia,sulphurea,1,3,2,2,.,.,.,.,.,.,.,.,.,.,.,.,2.3333333333,Nydia,
V4,2011-11-22,P1,p0132,zep.fil,Zephyranthus,aff. filifolia,4,1,1,1,1,.,.,.,.,.,.,.,.,.,.,.,4,Nydia,
V4,2011-11-22,P1,p0003,zuc.pun,Zuccagnia ,punctata ,3,90,5,150,.,.,.,.,.,.,.,.,.,.,.,.,245,Nydia,
V4,2011-11-22,P2,p0032,con.mic,Condalia,microphylla,2,650,250,.,.,.,.,.,.,.,.,.,.,.,.,.,900,Nydia,
V4,2011-11-22,P2,p0034,lar.div,Larrea,divaricata,2,3,4,.,.,.,.,.,.,.,.,.,.,.,.,.,7,Nydia,
V4,2011-11-22,P2,p0006,men.dec,Menodora ,decemfida ,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Nydia,
V4,2011-11-22,P5,p0032,con.mic,Condalia,microphylla,1,30000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,30000,Nydia,
V4,2011-11-22,P5,p0034,lar.div,Larrea,divaricata,2,6,10,.,.,.,.,.,.,.,.,.,.,.,.,.,16,Nydia,
V4,2011-11-22,P5,p0037,opu.sul,Opuntia,sulphurea,7,3,2,1,1,4,7,3,.,.,.,.,.,.,.,.,21,Nydia,
V4,2011-11-22,P5,p0003,zuc.pun,Zuccagnia ,punctata ,2,200,75,.,.,.,.,.,.,.,.,.,.,.,.,.,275,Nydia,
V4,2011-11-22,P6,p0032,con.mic,Condalia,microphylla,1,8600,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8600,Nydia,
V4,2011-11-22,P6,p0006,men.dec,Menodora ,decemfida ,4,3,2,2,2,.,.,.,.,.,.,.,.,.,.,.,9,Nydia,
V4,2011-11-22,P6,p0037,opu.sul,Opuntia,sulphurea,2,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,2,Nydia,
V4,2011-11-22,P6,p0003,zuc.pun,Zuccagnia ,punctata ,6,8000,100,3500,200,370,200,.,.,.,.,.,.,.,.,.,12370,Nydia,
V4,2011-11-22,T1,p0034,lar.div,Larrea,divaricata,6,4,8,3,10,32,13,.,.,.,.,.,.,.,.,.,70,Nydia,
V4,2011-11-22,T1,p0037,opu.sul,Opuntia,sulphurea,2,1,2,.,.,.,.,.,.,.,.,.,.,.,.,.,3,Nydia,
V4,2011-11-22,T1,p0132,zep.fil,Zephyranthus,aff. filifolia,2,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,2,Nydia,
V4,2011-11-22,T2,p0034,lar.div,Larrea,divaricata,3,12,7,75,.,.,.,.,.,.,.,.,.,.,.,.,94,Nydia,
V4,2011-11-22,T2,p0006,men.dec,Menodora ,decemfida ,3,1,1,1,.,.,.,.,.,.,.,.,.,.,.,.,3,Nydia,
V4,2011-11-22,T2,p0037,opu.sul,Opuntia,sulphurea,2,1,3,.,.,.,.,.,.,.,.,.,.,.,.,.,4,Nydia,
V1,2011-11-29,P2,p0019,aca.ser,Acantholippia ,seriphioides ,2,100,40,.,.,.,.,.,.,.,.,.,.,.,.,.,140,Diego,
V1,2011-11-29,P2,p0004,hel.don,Helenium ,donianum ,1,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,Diego y Jule,
V1,2011-11-29,P2,p0034,lar.div,Larrea,divaricata,1,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10,Diego,
V1,2011-11-29,P2,p0006,men.dec,Menodora ,decemfida ,4,3,2,1,1,.,.,.,.,.,.,.,.,.,.,.,7,Diego,
V1,2011-11-29,P2,p0038,pro.fle,Prosopis,flexuosa,1,20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20,Diego,inflorescencias
V1,2011-11-29,P2,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,23,23,Diego,
V1,2011-11-29,P2,p0003,zuc.pun,Zuccagnia ,punctata ,1,90,.,.,.,.,.,.,.,.,.,.,.,.,.,.,90,Diego,
V1,2011-11-29,P5,p0034,lar.div,Larrea,divaricata,5,15,5,60,1,2,.,.,.,.,.,.,.,.,.,.,83,Diego,
V1,2011-11-29,P5,p0037,opu.sul,Opuntia,sulphurea,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Diego,
V1,2011-11-29,P5,p0127,sol.kur,Solanum,kurtzianum,3,1,3,1,.,.,.,.,.,.,.,.,.,.,.,.,5,Diego,flor blanca
V1,2011-11-29,P6,p0006,men.dec,Menodora ,decemfida ,6,1,5,1,2,1,5,.,.,.,.,.,.,.,.,.,15,Diego,
V1,2011-11-29,P6,p0051,mon.aph,Monttea ,aphylla ,1,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10,Diego,
V1,2011-11-29,P6,p0038,pro.fle,Prosopis,flexuosa,3,4,7,400,.,.,.,.,.,.,.,.,.,.,.,.,411,Diego,inflorescencias
V1,2011-11-29,P6,p0009,sen.aph,Senna ,aphylla ,5,6,5,20,30,5,.,.,.,.,.,.,.,.,.,.,66,Diego,
V1,2011-11-29,P6,p0003,zuc.pun,Zuccagnia ,punctata ,4,40,30,10,40,.,.,.,.,.,.,.,.,.,.,.,120,Diego,
V1,2011-11-29,T1,p0019,aca.ser,Acantholippia ,seriphioides ,1,30,.,.,.,.,.,.,.,.,.,.,.,.,.,.,30,Diego,
V1,2011-11-29,T1,p0006,men.dec,Menodora ,decemfida ,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Diego,
V1,2011-11-29,T1,p0009,sen.aph,Senna ,aphylla ,5,3,3,3,6,20,.,.,.,.,.,.,.,.,.,.,35,Diego,
V1,2011-11-29,T1,p0003,zuc.pun,Zuccagnia ,punctata ,2,100,12,116.6666666667,50,.,.,.,.,.,.,.,.,.,.,.,139.3333333333,Diego,
V1,2011-11-29,T2,p0034,lar.div,Larrea,divaricata,8,80,40,15,20,20,16.6666666667,20,10,.,.,.,.,.,.,.,221.6666666667,Diego,
V1,2011-11-29,T2,p0038,pro.fle,Prosopis,flexuosa,1,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,Diego,inflorescencias
V1,2011-11-29,T2,p0003,zuc.pun,Zuccagnia ,punctata ,4,10,35,45,100,.,.,.,.,.,.,.,.,.,.,.,190,Diego,
V18,2011-11-29,P1,p0100,ech.leu,Echinopsis,leucantha,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Diego,
V18,2011-11-29,P1,p0045,lar.cun,Larrea,cuneifolia,1,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,Diego,
V18,2011-11-29,P1,p0034,lar.div,Larrea,divaricata,2,120,25,.,.,.,.,.,.,.,.,.,.,.,.,.,145,Diego,
V18,2011-11-29,P1,p0003,zuc.pun,Zuccagnia ,punctata ,4,10,63,2,20,40,.,.,.,.,.,.,.,.,.,.,108,Diego,
V18,2011-11-29,P2,p0004,hel.don,Helenium ,donianum,1,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,Diego,
V18,2011-11-29,P2,p0034,lar.div,Larrea,divaricata,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Diego,
V18,2011-11-29,P2,p0036,lec.het,Lecanophora,heterophylla,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Diego,
V18,2011-11-29,P2,p0007,lyc.ten,Lycium ,tenuispinosum  ,2,6,9,.,.,.,.,.,.,.,.,.,.,.,.,.,15,Diego,
V18,2011-11-29,P2,p0009,sen.aph,Senna ,aphylla ,1,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,Diego,
V18,2011-11-29,P2,p0127,sol.kur,Solanum,kurtzianum,1,16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16,Diego,
V18,2011-11-29,P2,p0012,ver.bon,Verbena,bonariensis ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,140,140,Diego,
