Genero.especie,Nombre_aceptado_GBIF,Nombre_aceptado_rWCVP,Nombre_aceptado_WFO,Comparacion_tres_fuentes,Detalle_comparacion
Crocus.cancellatus,Crocus cancellatus,Crocus cancellatus,Crocus cancellatus,Coinciden,Coinciden las tres fuentes
Crocus.laevigatus,Crocus laevigatus,Crocus laevigatus,Crocus laevigatus,Coinciden,Coinciden las tres fuentes
Croomia.japonica,Croomia japonica,Croomia japonica,Croomia japonica,Coinciden,Coinciden las tres fuentes
Crotalaria.sagittalis,Crotalaria sagittalis,Crotalaria sagittalis,Crotalaria sagittalis,Coinciden,Coinciden las tres fuentes
Crotalaria.incana,Crotalaria incana,Crotalaria incana,Crotalaria incana,Coinciden,Coinciden las tres fuentes
Crotalaria.verrucosa,Crotalaria verrucosa,Crotalaria verrucosa,Crotalaria verrucosa,Coinciden,Coinciden las tres fuentes
Croton.grangeroides,,Croton grangerioides,Croton grangerioides,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Croton.flavens,Croton flavens,Croton flavens,Croton flavens,Coinciden,Coinciden las tres fuentes
Croton.scouleri,Croton scouleri,Croton scouleri,Croton scouleri,Coinciden,Coinciden las tres fuentes
Croton.hirtus,Croton hirtus,Croton hirtus,Croton hirtus,Coinciden,Coinciden las tres fuentes
Croton.fothergillifolius,Croton fothergillifolius,Croton fothergillifolius,Croton fothergillifolius,Coinciden,Coinciden las tres fuentes
Crupina.crupinastrum,Crupina crupinastrum,Crupina crupinastrum,Crupina crupinastrum,Coinciden,Coinciden las tres fuentes
Cryptocarpus.pyriformis,Cryptocarpus pyriformis,Cryptocarpus pyriformis,Cryptocarpus pyriformis,Coinciden,Coinciden las tres fuentes
Cryptotaenia.japonica,Cryptotaenia japonica,Cryptotaenia japonica,Cryptotaenia japonica,Coinciden,Coinciden las tres fuentes
Cryptotaenia.canadensis,Cryptotaenia canadensis,Cryptotaenia canadensis,Cryptotaenia canadensis,Coinciden,Coinciden las tres fuentes
Cucurbita.melopepo,Cucurbita melopepo,Cucurbita melopepo,Cucurbita melopepo,Coinciden,Coinciden las tres fuentes
Cucurbita.pepo,Cucurbita pepo,Cucurbita pepo,Cucurbita pepo,Coinciden,Coinciden las tres fuentes
Cuphea.o'donellii,Cuphea odonellii,Cuphea odonellii,Cuphea odonellii,Coinciden,Coinciden las tres fuentes
Cuphea.petiolata,Cuphea petiolata,,Cuphea sessiliflora,Revisar,Falta resultado en una o más fuentes
Cuphea.fruticosa,Cuphea fruticosa,,Cuphea fruticosa,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Cuphea.racemosa,Cuphea racemosa,Cuphea racemosa,Cuphea racemosa,Coinciden,Coinciden las tres fuentes
Cuscuta.glomerata,Cuscuta glomerata,Cuscuta glomerata,Cuscuta glomerata,Coinciden,Coinciden las tres fuentes
Cuscuta.cephalanthi,Cuscuta cephalanthi,Cuscuta cephalanthi,Cuscuta cephalanthi,Coinciden,Coinciden las tres fuentes
Cybianthus.quelchii,Cybianthus quelchii,Cybianthus quelchii,Cybianthus quelchii,Coinciden,Coinciden las tres fuentes
Cyclamen.graecum,Cyclamen graecum,Cyclamen graecum,Cyclamen graecum,Coinciden,Coinciden las tres fuentes
Cynanchum.ascyrifolium,Vincetoxicum ascyrifolium,Vincetoxicum ascyrifolium,Vincetoxicum ascyrifolium,Coinciden,Coinciden las tres fuentes
Cynanchum.diemii,Diplolepis diemii,Diplolepis diemii,Diplolepis diemii,Coinciden,Coinciden las tres fuentes
Cynara.cardunculus,Cynara cardunculus,Cynara cardunculus,Cynara cardunculus,Coinciden,Coinciden las tres fuentes
Cynoglossum.creticum,Cynoglossum creticum,Cynoglossum creticum,Cynoglossum creticum,Coinciden,Coinciden las tres fuentes
Cynoglossum.officinale,Cynoglossum officinale,Cynoglossum officinale,Cynoglossum officinale,Coinciden,Coinciden las tres fuentes
Cypella.herbertii,Cypella herbertii,Cypella herbertii,Cypella herbertii,Coinciden,Coinciden las tres fuentes
Cypripedium.guttatum.,Cypripedium guttatum,Cypripedium guttatum,Cypripedium guttatum,Coinciden,Coinciden las tres fuentes
Cypripedium.parviflorum.pubescens,Cypripedium parviflorum var. pubescens,Cypripedium parviflorum var. pubescens,Cypripedium parviflorum,Revisar,Coinciden GBIF y rWCVP; WFO es diferente
Cypripedium.acaule,Cypripedium acaule,Cypripedium acaule,Cypripedium acaule,Coinciden,Coinciden las tres fuentes
Cyrilla.racemiflora,Cyrilla racemiflora,Cyrilla racemiflora,Cyrilla racemiflora,Coinciden,Coinciden las tres fuentes
Cytisus.monspessulanus,Genista monspessulana,Genista monspessulana,Genista monspessulana,Coinciden,Coinciden las tres fuentes
Cytisus.grandiflorus,Cytisus grandiflorus,Cytisus grandiflorus,Cytisus grandiflorus,Coinciden,Coinciden las tres fuentes
Cytisus.scoparius,Cytisus scoparius,Cytisus scoparius,Cytisus scoparius,Coinciden,Coinciden las tres fuentes
Daphne.gnidium,Daphne gnidium,Daphne gnidium,Daphne gnidium,Coinciden,Coinciden las tres fuentes
Daphnopsis.americana,Daphnopsis americana,Daphnopsis americana,Daphnopsis americana,Coinciden,Coinciden las tres fuentes
Darwiniothamnus.tenuifolius,Erigeron tenuifolius,Erigeron darwinii,Erigeron tenuifolius,Revisar,Coinciden GBIF y WFO; rWCVP es diferente
Dasyphora.fruticosa,,Dasiphora fruticosa,Dasiphora fruticosa,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Datura.stramonium,Datura stramonium,Datura stramonium,Datura stramonium,Coinciden,Coinciden las tres fuentes
Datura.tatula,Datura stramonium var. tatula,Datura stramonium,Datura stramonium,Revisar,Coinciden rWCVP y WFO; GBIF es diferente
Daucus.carota.carota,Daucus carota subsp. carota,,Daucus carota,Revisar,Falta resultado en una o más fuentes
Daucus.guttatus,Daucus guttatus,Daucus guttatus,Daucus guttatus,Coinciden,Coinciden las tres fuentes
Daucus.carota,Daucus carota,Daucus carota,Daucus carota,Coinciden,Coinciden las tres fuentes
Deckenia.nobilis,Deckenia nobilis,Deckenia nobilis,Deckenia nobilis,Coinciden,Coinciden las tres fuentes
Declieuxia.fruticosa,Declieuxia fruticosa,Declieuxia fruticosa,Declieuxia fruticosa,Coinciden,Coinciden las tres fuentes
Delphinium.peregrinum,Delphinium peregrinum,Delphinium peregrinum,Delphinium peregrinum,Coinciden,Coinciden las tres fuentes
Delphinium.tricorne,Delphinium tricorne,Delphinium tricorne,Delphinium tricorne,Coinciden,Coinciden las tres fuentes
Delphinium.scopulorum,Delphinium scopulorum,Delphinium scopulorum,Delphinium scopulorum,Coinciden,Coinciden las tres fuentes
Dendropanax.trifidus,Dendropanax trifidus,Dendropanax trifidus,Dendropanax trifidus,Coinciden,Coinciden las tres fuentes
Dendropanax.arboreus.,Dendropanax arboreus,Dendropanax arboreus,Dendropanax arboreus,Coinciden,Coinciden las tres fuentes
Dendropanax.sp1.M.PL.040,,,,Revisar,Sin resultados en las tres fuentes
Dentaria.laciniata,Cardamine concatenata,Cardamine concatenata,Cardamine concatenata,Coinciden,Coinciden las tres fuentes
Desmodium.adscendens,Grona adscendens,Grona adscendens,Grona adscendens,Coinciden,Coinciden las tres fuentes
Desmodium.canescens,Desmodium canescens,Desmodium canescens,Desmodium canescens,Coinciden,Coinciden las tres fuentes
Desmodium.paniculatum,Desmodium paniculatum,Desmodium paniculatum,Desmodium paniculatum,Coinciden,Coinciden las tres fuentes
Desmodium.bracteosum,Desmodium cuspidatum,Desmodium cuspidatum,Desmodium cuspidatum,Coinciden,Coinciden las tres fuentes
Desmodium.sessilifolium,Desmodium sessilifolium,Desmodium sessilifolium,Desmodium sessilifolium,Coinciden,Coinciden las tres fuentes
Desmodium.grandiflorum,Hylodesmum glutinosum,Hylodesmum glutinosum,Hylodesmum glutinosum,Coinciden,Coinciden las tres fuentes
Desmodium.marilandicum,Desmodium marilandicum,Desmodium marilandicum,Desmodium marilandicum,Coinciden,Coinciden las tres fuentes
Desmodium.canadense,Desmodium canadense,Desmodium canadense,Desmodium canadense,Coinciden,Coinciden las tres fuentes
Desmodium.dillenii,Desmodium dillenii,Desmodium glabellum,Desmodium glabellum,Revisar,Coinciden rWCVP y WFO; GBIF es diferente
Desmodium.illinoense,Desmodium illinoense,Desmodium illinoense,Desmodium illinoense,Coinciden,Coinciden las tres fuentes
Desmodium.podocarpum,Desmodium podocarpum,,Desmodium hookerianum,Revisar,Falta resultado en una o más fuentes
Desmodium.barbatum,Grona barbata,Grona barbata,Grona barbata,Coinciden,Coinciden las tres fuentes
Deutzia.maximowicziana,Deutzia maximowicziana,Deutzia maximowicziana,Deutzia maximowicziana,Coinciden,Coinciden las tres fuentes
Deutzia.scabra,Deutzia scabra,Deutzia scabra,Deutzia scabra,Coinciden,Coinciden las tres fuentes
Deutzia.gracilis,Deutzia gracilis,Deutzia gracilis,Deutzia gracilis,Coinciden,Coinciden las tres fuentes
Deutzia.naseana,Deutzia naseana,Deutzia naseana,Deutzia naseana,Coinciden,Coinciden las tres fuentes
Deutzia.crenata,Deutzia crenata,Deutzia crenata,Deutzia crenata,Coinciden,Coinciden las tres fuentes
Dianthera.americana,Dianthera americana,,Dianthera americana,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Dianthus.superbus,Dianthus superbus,Dianthus superbus,Dianthus superbus,Coinciden,Coinciden las tres fuentes
Dianthus.superbus.longicalycinus,Dianthus longicalyx,Dianthus longicalyx,Dianthus longicalyx,Coinciden,Coinciden las tres fuentes
Dianthus.caryophillus,Dianthus caryophyllus,Dianthus caryophyllus,Dianthus caryophyllus,Coinciden,Coinciden las tres fuentes
Diapensia.lapponica,Diapensia lapponica,Diapensia lapponica,Diapensia lapponica,Coinciden,Coinciden las tres fuentes
Dicella.bracteosa,Dicella bracteosa,Dicella bracteosa,Dicella bracteosa,Coinciden,Coinciden las tres fuentes
Dicentra.canadensis,Dicentra canadensis,Dicentra canadensis,Dicentra canadensis,Coinciden,Coinciden las tres fuentes
Dicentra.cucullaria,Dicentra cucullaria,Dicentra cucullaria,Dicentra cucullaria,Coinciden,Coinciden las tres fuentes
Digitalis.purpurea,Digitalis purpurea,Digitalis purpurea,Digitalis purpurea,Coinciden,Coinciden las tres fuentes
Digitaria.ciliaris,Digitaria ciliaris,,Digitaria ciliaris,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Digomphia.laurifolia,Digomphia laurifolia,,,Revisar,Falta resultado en una o más fuentes
Dillenia.suffruticosa,Dillenia suffruticosa,Dillenia suffruticosa,Dillenia suffruticosa,Coinciden,Coinciden las tres fuentes
Dillenia.ferruginea,Dillenia ferruginea,Dillenia ferruginea,Dillenia ferruginea,Coinciden,Coinciden las tres fuentes
Diodia.multiflora,Spermacoce multiflora,Spermacoce multiflora,Spermacoce multiflora,Coinciden,Coinciden las tres fuentes
Diodia.radula,Hexasepalum radulum,Hexasepalum radulum,Hexasepalum radulum,Coinciden,Coinciden las tres fuentes
Dioscorea.asclepiadea,Dioscorea asclepiadea,Dioscorea asclepiadea,Dioscorea asclepiadea,Coinciden,Coinciden las tres fuentes
Diospyros.revaughanii,Diospyros revaughanii,Diospyros revaughanii,Diospyros revaughanii,Coinciden,Coinciden las tres fuentes
Diospyros.virginiana,Diospyros virginiana,Diospyros virginiana,Diospyros virginiana,Coinciden,Coinciden las tres fuentes
Diospyros.seychellarum,Diospyros boiviniana,Diospyros boiviniana,Diospyros boiviniana,Coinciden,Coinciden las tres fuentes
Diospyrus.japonica,,Diospyros japonica,Diospyros japonica,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Diplopterys.pubipetala,Diplopterys pubipetala,Diplopterys pubipetala,Diplopterys pubipetala,Coinciden,Coinciden las tres fuentes
Dipsacus.japonicus,Dipsacus japonicus,Dipsacus japonicus,Dipsacus japonicus,Coinciden,Coinciden las tres fuentes
Dipsacus.sylvestris,Dipsacus sylvestris,Dipsacus fullonum,Dipsacus fullonum,Revisar,Coinciden rWCVP y WFO; GBIF es diferente
Dirca.palustris,Dirca palustris,Dirca palustris,Dirca palustris,Coinciden,Coinciden las tres fuentes
Discaria.nana,Discaria nana,Ochetophila nana,Ochetophila nana,Revisar,Coinciden rWCVP y WFO; GBIF es diferente
Discaria.trinervis,Discaria trinervis,Ochetophila trinervis,Ochetophila trinervis,Revisar,Coinciden rWCVP y WFO; GBIF es diferente
Discaria.toumatou,Discaria toumatou,Discaria toumatou,Discaria toumatou,Coinciden,Coinciden las tres fuentes
Discaria.longispina,Discaria americana,Discaria americana,Discaria americana,Coinciden,Coinciden las tres fuentes
Disporum.sessile,Disporum sessile,Disporum sessile,Disporum sessile,Coinciden,Coinciden las tres fuentes
Dittrichia.graveolens,Dittrichia graveolens,Dittrichia graveolens,Dittrichia graveolens,Coinciden,Coinciden las tres fuentes
Dodecatheon.meadia,Dodecatheon meadia,Primula meadia,Primula meadia,Revisar,Coinciden rWCVP y WFO; GBIF es diferente
Dodonaea.viscosa,Dodonaea viscosa,Dodonaea viscosa,Dodonaea viscosa,Coinciden,Coinciden las tres fuentes
Donatia.novae-zelandiae,Donatia novae-zelandiae,Donatia novae-zelandiae,Donatia novae-zelandiae,Coinciden,Coinciden las tres fuentes
Doratoxylon.apetalum,Doratoxylon apetalum,Doratoxylon apetalum,Doratoxylon apetalum,Coinciden,Coinciden las tres fuentes
Doratoxylon.apetalum.var.diphyllum,Doratoxylon apetalum var. diphyllum,Doratoxylon apetalum,,Revisar,Falta resultado en una o más fuentes
Dorychnium.pentaphylum,,Lotus dorycnium,Lotus dorycnium,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Draba.sp1.M.PL.020,,,,Revisar,Sin resultados en las tres fuentes
Draba.lactea,Draba lactea,Draba lactea,Draba lactea,Coinciden,Coinciden las tres fuentes
Draba.cinerea,Draba cinerea,Draba cinerea,Draba cinerea,Coinciden,Coinciden las tres fuentes
Draba.oblongata,Draba oblongata,,Draba oblongata,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Draba.bellii,Draba corymbosa,Draba corymbosa,Draba corymbosa,Coinciden,Coinciden las tres fuentes
Draba.aurea,Draba aurea,,Draba aurea,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Draba.gilliesii,Draba gilliesii,Draba gilliesii,Draba gilliesii,Coinciden,Coinciden las tres fuentes
Draba.arctica,Draba arctica,Draba arctica,Draba arctica,Coinciden,Coinciden las tres fuentes
Draba.tenuis,Hornungia procumbens,Hornungia procumbens subsp. procumbens,Hornungia procumbens,Revisar,Coinciden GBIF y WFO; rWCVP es diferente
Dracaena.reflexa.var.angustifolia,Dracaena reflexa var. angustifolia,Dracaena reflexa var. angustifolia,Dracaena reflexa var. angustifolia,Coinciden,Coinciden las tres fuentes
Dracaena.concinna,Dracaena concinna,,Dracaena concinna,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Dracaena.reflexa,Dracaena reflexa,Dracaena reflexa,Dracaena reflexa,Coinciden,Coinciden las tres fuentes
Dracophyllum.pronum,Dracophyllum pronum,Dracophyllum pronum,Dracophyllum pronum,Coinciden,Coinciden las tres fuentes
Dracuphyllum.acerosum,,Dracophyllum acerosum,Dracophyllum acerosum,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Drapetes.dieffenbachii,Kelleria dieffenbachii,Kelleria dieffenbachii,Kelleria dieffenbachii,Coinciden,Coinciden las tres fuentes
Dryas.integrifolia,Dryas integrifolia,Dryas integrifolia,Dryas integrifolia,Coinciden,Coinciden las tres fuentes
Dryas.octopetala,Dryas octopetala,Dryas octopetala,Dryas octopetala,Coinciden,Coinciden las tres fuentes
Dryas.sp1.M.PL.014,,,,Revisar,Sin resultados en las tres fuentes
Drymocallis.fissa,Drymocallis fissa,Drymocallis fissa,Drymocallis fissa,Coinciden,Coinciden las tres fuentes
Duchesnea.chrysantha,Potentilla wallichiana,Potentilla hebiichigo,Potentilla hebiichigo,Revisar,Coinciden rWCVP y WFO; GBIF es diferente
Ebenus.sibthorpii,Ebenus sibthorpii,Ebenus sibthorpii,Ebenus sibthorpii,Coinciden,Coinciden las tres fuentes
Ecballium.elaterium,Ecballium elaterium,Ecballium elaterium,Ecballium elaterium,Coinciden,Coinciden las tres fuentes
Echinocystis.lobata,Echinocystis lobata,Echinocystis lobata,Echinocystis lobata,Coinciden,Coinciden las tres fuentes
Echinops.setifer,Echinops setifer,Echinops setifer,Echinops setifer,Coinciden,Coinciden las tres fuentes
Echinops.microcephalus,Echinops microcephalus,Echinops microcephalus,Echinops microcephalus,Coinciden,Coinciden las tres fuentes
Echium.plantagineum,Echium plantagineum,,Echium plantagineum,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Echium.bonnetii,Echium bonnetii,Echium bonnetii,Echium bonnetii,Coinciden,Coinciden las tres fuentes
Echium.angustifolium,Echium angustifolium,,Echium angustifolium,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Echium.wildpretii,Echium wildpretii,Echium wildpretii,Echium wildpretii,Coinciden,Coinciden las tres fuentes
Echium.aculeatum,Echium aculeatum,Echium aculeatum,Echium aculeatum,Coinciden,Coinciden las tres fuentes
Echium.vulgare,Echium vulgare,Echium vulgare,Echium vulgare,Coinciden,Coinciden las tres fuentes
Edgeworthia.chrysantha,Edgeworthia chrysantha,Edgeworthia chrysantha,Edgeworthia chrysantha,Coinciden,Coinciden las tres fuentes
Ehretia.tinifolia,Ehretia tinifolia,Ehretia tinifolia,Ehretia tinifolia,Coinciden,Coinciden las tres fuentes
Elaeagnus.multiflora,Elaeagnus multiflora,Elaeagnus multiflora,Elaeagnus multiflora,Coinciden,Coinciden las tres fuentes
Elaeagnus.montana,Elaeagnus montana,Elaeagnus montana,Elaeagnus montana,Coinciden,Coinciden las tres fuentes
Elaeocarpus.japonicus,Elaeocarpus japonicus,,Elaeocarpus japonicus,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Elaeocarpus.sylvestris,Elaeocarpus sylvestris,Elaeocarpus sylvestris,Elaeocarpus sylvestris,Coinciden,Coinciden las tres fuentes
Elephantella.groenlandica,Pedicularis groenlandica,Pedicularis groenlandica,Pedicularis groenlandica,Coinciden,Coinciden las tres fuentes
Ellisia.nyctelaea,,Ellisia nyctelea,Ellisia nyctelea,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Embelia.angustifolia,Embelia angustifolia,Embelia angustifolia,Embelia angustifolia,Coinciden,Coinciden las tres fuentes
Embothrium.coccineum,Embothrium coccineum,Embothrium coccineum,Embothrium coccineum,Coinciden,Coinciden las tres fuentes
Empetrum.nigrum,Empetrum nigrum,Empetrum nigrum,Empetrum nigrum,Coinciden,Coinciden las tres fuentes
Encelia.hispida,Encelia hispida,Encelia hispida,Encelia hispida,Coinciden,Coinciden las tres fuentes
Enkianthus.perulatus,Enkianthus perulatus,Enkianthus perulatus,Enkianthus perulatus,Coinciden,Coinciden las tres fuentes
Enkianthus.campanulatus,Enkianthus campanulatus,Enkianthus campanulatus,Enkianthus campanulatus,Coinciden,Coinciden las tres fuentes
Epacris.microphylla,Epacris microphylla,,Epacris microphylla,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Epacris.petrophila,Epacris petrophila,Epacris petrophila,Epacris petrophila,Coinciden,Coinciden las tres fuentes
Epidendrum.ibaguense,Epidendrum ibaguense,Epidendrum ibaguense,Epidendrum ibaguense,Coinciden,Coinciden las tres fuentes
Epilobium.latifolium,,,Epilobium latifolium,Revisar,Falta resultado en una o más fuentes
Epilobium.sp1.M.PL.029,,,,Revisar,Sin resultados en las tres fuentes
Epilobium.sp1.M.PL.028,,,,Revisar,Sin resultados en las tres fuentes
Epilobium.gunnianum,Epilobium gunnianum,Epilobium gunnianum,Epilobium gunnianum,Coinciden,Coinciden las tres fuentes
Epilobium.hirsutum,Epilobium hirsutum,Epilobium hirsutum,Epilobium hirsutum,Coinciden,Coinciden las tres fuentes
Epilobium.nivale.,Epilobium nivale,Epilobium nivale,Epilobium nivale,Coinciden,Coinciden las tres fuentes
Epilobium.sp1.M.PL.014,,,,Revisar,Sin resultados en las tres fuentes
Epilobium.angustifolium,,Epilobium angustifolium,Epilobium angustifolium,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Epilobium.montanum,Epilobium montanum,,Epilobium montanum,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Epimedium.grandiflorum,Epimedium grandiflorum,Epimedium grandiflorum,Epimedium grandiflorum,Coinciden,Coinciden las tres fuentes
Epimedium.diphyllum,Epimedium diphyllum,Epimedium diphyllum,Epimedium diphyllum,Coinciden,Coinciden las tres fuentes
Epistephium.duckei,Epistephium duckei,Epistephium duckei,Epistephium duckei,Coinciden,Coinciden las tres fuentes
Equium.sabulicola,,Echium sabulicola,Echium sabulicola,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Erechthites.hieracifolia,,Erechtites hieraciifolius,Erechtites hieracifolia,Revisar,Falta resultado en una o más fuentes
Erica.ciliaris,Erica ciliaris,,Erica ciliaris,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Erica.arborea,Erica arborea,,Erica arborea,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Erica.tetralix,Erica tetralix,Erica tetralix,Erica tetralix,Coinciden,Coinciden las tres fuentes
Erica.manipuliflora,Erica manipuliflora,Erica manipuliflora,Erica manipuliflora,Coinciden,Coinciden las tres fuentes
Erigenia.bulbosa,Erigenia bulbosa,Erigenia bulbosa,Erigenia bulbosa,Coinciden,Coinciden las tres fuentes
Erigeron.ramosus,,,Erigeron divergens,Revisar,Falta resultado en una o más fuentes
Erigeron.macranthus,,Erigeron speciosus,Erigeron speciosus,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Erigeron.canadensis,Erigeron canadensis,Erigeron canadensis,Erigeron canadensis,Coinciden,Coinciden las tres fuentes
Erigeron.pulchellus,Erigeron pulchellus,,Erigeron pulchellus,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Erigeron.uniflorus,Erigeron uniflorus,Erigeron uniflorus,Erigeron uniflorus,Coinciden,Coinciden las tres fuentes
Erigeron.eriocephalus,Erigeron eriocephalus,,Erigeron eriocephalus,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Erigeron.philadelphicus,Erigeron philadelphicus,,Erigeron philadelphicus,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Erigeron.annuus,Erigeron annuus,Erigeron annuus,Erigeron annuus,Coinciden,Coinciden las tres fuentes
Erigeron.compositus,Erigeron compositus,Erigeron compositus,Erigeron compositus,Coinciden,Coinciden las tres fuentes
Erigeron.sp1.M.PL.014,,,,Revisar,Sin resultados en las tres fuentes
Erigeron.andicola,Erigeron andicola,Erigeron andicola,Erigeron andicola,Coinciden,Coinciden las tres fuentes
Eriobotrya.japonica,Rhaphiolepis bibas,Eriobotrya japonica,Eriobotrya japonica,Revisar,Coinciden rWCVP y WFO; GBIF es diferente
Eriopsis.biloba,Eriopsis biloba,Eriopsis biloba,Eriopsis biloba,Coinciden,Coinciden las tres fuentes
Erodium.cicutarium,Erodium cicutarium,Erodium cicutarium,Erodium cicutarium,Coinciden,Coinciden las tres fuentes
Erodium.malacoides,Erodium malacoides,Erodium malacoides,Erodium malacoides,Coinciden,Coinciden las tres fuentes
Eruca.vesicaria,Eruca vesicaria,Eruca vesicaria,Eruca vesicaria,Coinciden,Coinciden las tres fuentes
Eryngium.stenophyllum,Eryngium stenophyllum,Eryngium stenophyllum,Eryngium stenophyllum,Coinciden,Coinciden las tres fuentes
Eryngium.horridum,Eryngium horridum,Eryngium horridum,Eryngium horridum,Coinciden,Coinciden las tres fuentes
Eryngium.campestre,Eryngium campestre,Eryngium campestre,Eryngium campestre,Coinciden,Coinciden las tres fuentes
Eryngium.yuccifolium,Eryngium yuccifolium,Eryngium yuccifolium,Eryngium yuccifolium,Coinciden,Coinciden las tres fuentes
Eryngium.floribundum,Eryngium floribundum,Eryngium floribundum,Eryngium floribundum,Coinciden,Coinciden las tres fuentes
Eryngium.nudicaule,Eryngium nudicaule,Eryngium nudicaule,Eryngium nudicaule,Coinciden,Coinciden las tres fuentes
Erysimum.scoparium,Erysimum scoparium,Erysimum scoparium,Erysimum scoparium,Coinciden,Coinciden las tres fuentes
Erysimum.asperum,Erysimum asperum,Erysimum asperum,Erysimum asperum,Coinciden,Coinciden las tres fuentes
Erysimum.sp1.M.PL.014,,,,Revisar,Sin resultados en las tres fuentes
Erysimum.pallasii,Erysimum pallasii,Erysimum redowskii,Erysimum pallasii,Revisar,Coinciden GBIF y WFO; rWCVP es diferente
Erysimum.cheiranthoides,Erysimum cheiranthoides,Erysimum cheiranthoides,Erysimum cheiranthoides,Coinciden,Coinciden las tres fuentes
Erythronium.albidum,Erythronium albidum,Erythronium albidum,Erythronium albidum,Coinciden,Coinciden las tres fuentes
Erythronium.umbilicatum,Erythronium umbilicatum,Erythronium umbilicatum,Erythronium umbilicatum,Coinciden,Coinciden las tres fuentes
Erythrospermum.monticolum,Erythrospermum monticola,Erythrospermum monticola,Erythrospermum monticola,Coinciden,Coinciden las tres fuentes
Erythroxylum.macrocarpum,Erythroxylum macrocarpum,Erythroxylum macrocarpum,Erythroxylum macrocarpum,Coinciden,Coinciden las tres fuentes
Erythroxylum.sechellarum,Erythroxylum sechellarum,Erythroxylum sechellarum,Erythroxylum sechellarum,Coinciden,Coinciden las tres fuentes
Eucryphia.cordifolia,Eucryphia cordifolia,Eucryphia cordifolia,Eucryphia cordifolia,Coinciden,Coinciden las tres fuentes
Eugenia.orbiculata,Eugenia orbiculata,Eugenia orbiculata,Eugenia orbiculata,Coinciden,Coinciden las tres fuentes
Eulophus.americanus,Perideridia americana,Perideridia americana,Perideridia americana,Coinciden,Coinciden las tres fuentes
Euodia.chapelieri.var.chapelieri,,Melicope chapelieri var. chapelieri,Macphersonia chapelieri,Revisar,Falta resultado en una o más fuentes
Euodia.obtusifolia.ssp.gigas.var.gigas,,,Melicope obtusifolia,Revisar,Falta resultado en una o más fuentes
Euodia.chapelieri,Melicope chapelieri,Melicope chapelieri,Melicope chapelieri,Coinciden,Coinciden las tres fuentes
Euodia.meliifolia,Tetradium glabrifolium,Tetradium glabrifolium,Tetradium glabrifolium,Coinciden,Coinciden las tres fuentes
Euodia.obtusifolia,,,Melicope obtusifolia,Revisar,Falta resultado en una o más fuentes
Euonymus.sieboldianus,Euonymus hamiltonianus,Euonymus hamiltonianus,Euonymus hamiltonianus,Coinciden,Coinciden las tres fuentes
Euonymus.fo.rtunei,,Euonymus fortunei,Euonymus fortunei,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Euonymus.alatus,Euonymus alatus,,Euonymus alatus,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Euonymus.macropterus,Euonymus macropterus,Euonymus macropterus,Euonymus macropterus,Coinciden,Coinciden las tres fuentes
Eupatorium.lanigerum,Gyptis lanigera,Gyptis lanigera,Gyptis lanigera,Coinciden,Coinciden las tres fuentes
Eupatorium.bupleurifolium,Campovassouria cruciata,Campovassouria cruciata,Campovassouria cruciata,Coinciden,Coinciden las tres fuentes
Eupatorium.chinense.sachalinense,Eupatorium glehnii,,Eupatorium chinense,Revisar,Falta resultado en una o más fuentes
Eupatorium.cannabinum,Eupatorium cannabinum,Eupatorium cannabinum,Eupatorium cannabinum,Coinciden,Coinciden las tres fuentes
Eupatorium.macrocephalum,Campuloclinium macrocephalum,Campuloclinium macrocephalum,Campuloclinium macrocephalum,Coinciden,Coinciden las tres fuentes
Eupatorium.tenacetifolium,,Gyptis tanacetifolia,Gyptis tanacetifolia,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Eupatorium.serotinum,Eupatorium serotinum,Eupatorium serotinum,Eupatorium serotinum,Coinciden,Coinciden las tres fuentes
