"plantas","Agathidinae.sp","Ahasverus.advena.Waltle","Allograpta.nasuta.Marquart","Apis.mellifera.Linnaeus","Atherigona.orientalis.Schiner","Brachymyrmex.sp","Calopsilia.florella.Fabricius","Campopleginae.sp1","Cerambycidae.sp1","Cerambycidae.sp2","Cerambycidae.sp3","Ceratitis.roas.Karsch","Chaetocnema.sp1","Cheloninae.sp1","Cheloninae.sp3","Chrysomya.megacephala.Fabricius","Cixiidae.sp1","Cixiidae.sp2","Cotesia.sp1","Cratopus.psittacus.Faimaire","Cryptocephalinae.sp1","Dasytinae.sp1","Dioxyna.sororcula.Wiedemann","Diptera.sp2","Diptera.sp3","Dysauxes.florida.Joan","Episyrphus.sp.near.circularis.Hull","Eristalinus.flaveolus.Bigot","Eumolpinae.sp2","Eumolpinae.sp3","Eurytonidae.sp1","Fannia.pusio.Wiedemann","Gelechioidea.sp1","Gelechioidea.sp2","Gelechioidea.sp3","Goniurellia.or.Dectodes.sp","Graphomya.maculata.Scopoli","Henotesia.narcissus.Fabricius","Hippotion.eson.Cramer","Homoneura.sp2","Homoneura.sp3","Hydrotaea.fuliginosa.Robineau.Desvoidy","Ischiodon.aegyptius.Wiedemann","Lecithoceridae.sp1","Leptotes.pirithous.Linnaeus","Limnophora.quaterna.Loew","Lygaeidae.sp2","Lygaeidae.sp3","Lygaeidae.sp5","Lygistorrhina.sp","Macroglossum.milvus.Boisduval","Mauritiborium.undulatus","Melanagromyza.sojae.Zehntner","Melanostoma.annulipes.Macquart","Melanostoma.bituberculatum.Loew","Miridae.sp1","Mordellidae.sp1","Mordellidae.sp2","Mordellidae.sp3","Musca.confiscata.Speiser","Musca.domestica.Linnaeus","Nacoleia.sp1","Nacoleia.sp2","Nitidulidae.sp1","Nyctemera.insulare.Boisduval","Ophyra.capensis.Wiedemann","Orchisia.costata.Meigen","Ornidia.obesa.Fabricius","Orthellia.albigena.Stein","Pachycerina.crinicornis.Thomson","Palexorista.sp1","Panara.naso.Fabricius","Paragus.borbonicus.Macquart","Pelecophora.intemipta.All","Phalanta.phalantha.Drury","Pheidole.megacephala.Fabricius","Phelsuma.cepediana.Merrem","Phorinia.sp","Polistes.hebraeus.Fabricius","Psyllidae.sp2","Sapromyza.sp.near..nudiuscula.Lamb","Sarcophaga.arno.Curran","Scatopsidae.sp","Scirtidae.sp1","Scirtidae.sp2","Scolia.carniflex.Coquillett","Scopariinae.sp","Simulium.Byssodon.sp2","Siphona.sp","Stomorhina.lunata.Fabricius","Stomoxys.calcitrans.Linnaeus","Stomoxys.niger.Macquart","Syritta.bulbus.Walker","Syritta.nigrofemorata.Macquart","Syritta.spnear.abyssinica.Rondani","Technomyrmex.albipes.Smith","Thelairodrino.sp","Thysanoplusia.orichalcea.Fabricius","Villa.unifasciata.Macquart","Zosterops.mauritianus.Gmelin"
"Psiadia.terebinthina",0,0.0317460317,0.2777777778,1.0095238095,0,3.5964912281,0,0,0.1631016043,0,0,0.3333333333,2.7408080808,0,0,0.1555555556,0,0,0,0,0,0,1.0987012987,0,0,2.8716450216,0.0222222222,0,0,0,0,0,0,0.0526315789,0,0.2818181818,0,0,0,0,0,0,0,0.3333333333,0.1,0,0,0,2.1571428571,0.4333333333,0,0.2428571429,0,0.4285714286,0.08,0.0317460317,0.0714285714,0,0,0,0.08,1.3,0.619047619,0,0,0.3333333333,0.3333333333,0.05,0,0.8261904762,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0571428571,0,0,0,3.3122145828,0.8484848485,0.9285714286,0.4,0.2333333333,0,0.0588235294,0,0,0.8634920635,0
"Psidium.cattleianum",0,0,1.05,1.8,0,0,0,0,0,0,0,0,5.480952381,0,0,0.5,0,0,0,0,0,0,0.2,0,0,0,0,0.9523809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0.2222222222,0,0,0,0,0,0,0,0,0,0,0.7222222222,0,0,0,0,0,0,0,0,3.2,0
"Rubus.alcefolius",0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0
"Sideroxylon.cinereum",0,0,0.075,8.8642059695,0,0,0,0,0,0,0,0,0.08,0,0,0.4078571429,0,0,0,0,0,0,0,0,0,0.18,0.0333333333,0.0583333333,0,0,0,3.0355627706,0,0.08,0,0,0,0.3028571429,0,0,0.08,0,0,0.08,0,0.08,0,0,0,0,0,0,0.025,0.4109090909,0,0,0,0,0,0,0.77,0.0333333333,0.05,0,0,0.28,0,0,0.4652631579,0.2095238095,0,0,0.1428571429,0,0,0,0,0.025,0.0666666667,0,0.1428571429,0.04,0,0,0,0,0.08,0,0,1.4245021645,0.6251082251,0.4392344498,0,0,0,0,0,0,0,0.1159090909
"Sideroxylon.puberulum",0,0,0,6.1423809524,0.0571428571,0.25,0,0,0,0,0,0,0,0,0,0.195,0,0,0,0,0,0,0,0,0,0.1142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0,0,0,0,0,0,0,0,0,0,0.3,0.05,0,0,0,0,0,0,0,0.025,0,0.0888888889,0,0,0,0,0,0,0.0666666667,0,0,0,0,0,0,0,0,0,0,0.6566666667,0.35,0,0,0,0,0,0,0,0,0
"Smilax.anceps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stillingia.lineata.ssp.lineata",0,1.6333333333,6.0333333333,0,0,9,0,0,1,0,0.6666666667,0,74.4666666667,0,0,7,0,0,0,0.6666666667,0,0,0,0,0,0,0.5,0.8,0,0,0,2.75,0,0,0,0,0,0,0,0,0,0,1,0,0.3333333333,0,0,0,0,1.3333333333,0,1.4,0,0,1,0,0,2,0,0.4,16.1333333333,0.6666666667,0,0,0,10,0,0,0.9,28.5,0,0,0.9166666667,0.4,0,0,0,1.4333333333,0,0,0,1,0,0,0,0,0,0.4,0,3.8333333333,0,0,0,2.9,1.5833333333,13.2,0,0,2.1,0
"Syzygium.commersonii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4857142857,0,0,0,0.25
"Syzygium.coriaceum",0,0,0,0,0,2.6685714286,0,0,0,0,0,0,1.7420634921,0,0,0.1111111111,0,0,0,0,0,0,0,0,0,0,0,0.1428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8333333333,0.1916666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111111,0,0,0,0,0,0,0,0,0,0,0,0.0666666667,0,0,0,0,0,0.32,0,0,0.0588235294,0
"Syzygium.glomeratum",0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Syzygium.petrinese",0,0,0,1.512605042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5283613445,0,0,0,0,0.1428571429,0,0.1666666667,0,0,0,0,0,0,0,0,0.2222222222,0,0,0,0,0.1176470588,0,0,0,0,0,0,0,0.1176470588,0,0,0,0,0,0,0,0,0,0
"Tabernaemontana.persicarifolia",0,0,0,0,0,0,0,0,0,0,0,0,0.8571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8255494505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
"Toddalia.asiatica",0,0,0.0909090909,0,0,0.1111111111,0,0,0,0,0,0,6.4266666667,0,0,0.1818181818,0,0,0,0,0,0,0.3333333333,0,0,1.9884848485,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.5236363636,0,0,0,0,0,0,0,0.2222222222,0,0,0,0,0,0,0,1.2622222222,0,0,0,0,0,0,0,0,0.25,0,0.08,0,0,0,0,0,0,0,0,0.9272727273,0,0,0,0,0,2.0833333333,0,0,0,0
"Tristhema.mauritiana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"Trochetia.blackburniana",0,0,0,4.1666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Turraea.rigida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6666666667,0,0,0,0
"Warneckea.trinervis",0,0,0,0.290952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wikstroemia.indica",0,0,0,0,0,0,0,0,0,0,0,0,0.6444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Xylopia.lamarckii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
