site,year,date,codigo.p,no.esp.p,codigo.i,no.esp.i,obs.time,no.fl.obs,no.fl.visit,observer
V1,2011,2011-11-04,sen.pin,p0022,str.eur,i0131,09:16,30,1,enzo
V1,2011,2011-10-25,sen.pin,p0022,str.eur,i0131,11:25,112,1,silvia
V1,2011,2011-11-11,sen.pin,p0022,pir.com,i0132,12:52,350,1,silvia
V1,2011,2011-10-18,sen.pin,p0022,pir.com,i0132,13:40,100,4,nachu
V4,2011,2011-11-11,sen.pin,p0022,cop.ari,i0044,12:13,40,3,enzo
V1,2008,2008-10-31,sen.pin,p0022,aug.sp,i0228,13:51:00,200,2,Nachu
V1,2011,2011-11-08,sen.pin,p0022,cop.ari,i0044,11:55,90,15,nachu
V4,2008,2008-12-02,sen.pin,p0022,NA,NA,11:47:00,15,0,Nachu
V1,2009,2009-11-30,sen.pin,p0022,cos.chi,i0077,11:43:00,60,1,Nachu
V1,2011,2011-11-04,sen.pin,p0022,cop.ari,i0044,09:07,42,5,nachu
V4,2008,2008-11-18,sen.pin,p0022,tac.sp10,i0191,11:24:00,14,2,Nachu
V1,2011,2011-11-01,sen.pin,p0022,meg.gom,i0308,12:11,23,1,nachu
V4,2011,2011-11-08,sen.pin,p0022,tac.sp10,i0191,09:43,44,1,nachu
V1,2011,2011-10-14,sen.pin,p0022,cop.ari,i0044,11:53,36,2,nachu
V4,2008,2008-10-31,sen.pin,p0022,tac.sp15,i0196,12:00:00,38,1,Nachu
V1,2011,2011-10-18,sen.pin,p0022,pir.com,i0132,13:45,200,1,nachu
V1,2011,2011-12-13,sen.pin,p0022,cam.pun,i0128,12:20,230,1,silvia
V1,2011,2011-10-18,sen.pin,p0022,pir.com,i0132,13:45,200,1,nachu
V1,2011,2011-11-11,sen.pin,p0022,tat.aut,i0076,12:52,350,1,silvia
V1,2011,2011-11-01,sen.pin,p0022,cop.sp2,i0052,11:56,40,1,enzo
V1,2011,2011-11-11,sen.pin,p0022,dia.pat,i0164,12:45,44,1,silvia
V1,2011,2011-09-13,sen.pin,p0022,cop.ari,i0044,09:44,19,1,silvia
V1,2009,2009-11-25,sen.pin,p0022,vill.sp1,i0114,12:25:00,500,1,nachu
V1,2011,2011-10-28,sen.pin,p0022,dih.sp1,i0031,10:15,15,1,silvia
V1,2011,2011-11-11,sen.pin,p0022,tac.sp8,i0188,12:52,350,4,silvia
V2,2006,2007-01-19,sen.pin,p0022,NA,NA,09:05,3,0,Nachu
V4,2011,2011-10-21,sen.pin,p0022,NA,NA,13:40,5,3,nachu
V1,2009,2009-11-05,sen.pin,p0022,lepid3,i0079,12:03:00,7,1,Nachu
V1,2011,2011-11-01,sen.pin,p0022,exo.sp1,i0068,11:56,40,1,enzo
V1,2011,2011-11-18,sen.pin,p0022,cha.sp1,i0062,13:19,120,3,silvia
V1,2011,2011-11-11,sen.pin,p0022,dia.pat,i0164,12:45,44,1,silvia
V4,2011,NA,sen.pin,p0022,tat.aut,i0076,12:21,100,1,julian
V4,2011,2011-11-01,sen.pin,p0022,amm.sp1,i0126,09:44,28,4,nachu
V1,2009,2009-11-18,sen.pin,p0022,NA,NA,09:42:00,100,0,Nachu
V1,2011,2011-10-14,sen.pin,p0022,cop.ari,i0044,11:53,36,1,nachu
V4,2008,2008-10-17,sen.pin,p0022,NA,NA,14:28:00,10,0,Nachu
V1,2011,2011-10-18,sen.pin,p0022,cop.ari,i0044,13:40,100,1,nachu
V1,2011,2011-10-18,sen.pin,p0022,str.eur,i0131,13:45,200,1,nachu
V1,2008,2008-11-11,sen.pin,p0022,NA,NA,11:31:00,130,0,Nachu
V1,2008,2008-11-11,sen.pin,p0022,amm.sp1,i0126,11:25:00,49,1,Nachu
V1,2011,2011-10-18,sen.pin,p0022,pir.com,i0132,13:45,200,1,nachu
V1,2011,2011-11-11,sen.pin,p0022,pir.com,i0132,12:52,350,1,silvia
V1,2011,2011-12-06,sen.pin,p0022,cop.ari,i0044,09:50:00,250,1,silvia
V4,2011,2011-11-01,sen.pin,p0022,amm.sp1,i0126,09:44,28,1,nachu
V1,2011,2011-10-18,sen.pin,p0022,cos.chi,i0077,13:40,100,1,nachu
V1,2009,2009-10-28,sen.pin,p0022,NA,NA,12:23:00,4,0,nachu
V1,2011,2011-11-04,sen.pin,p0022,cae.sp1,i0022,09:07,42,5,nachu
V1,2011,2011-11-22,sen.pin,p0022,NA,NA,12:40,23,0,silvia
V1,2011,2011-10-18,sen.pin,p0022,NA,NA,13:40,100,1,nachu
V1,2011,2011-11-04,sen.pin,p0022,cop.ari,i0044,09:07,42,5,nachu
V1,2010,2010-11-26,sen.pin,p0022,cop.ari,i0044,11:01:00,40,4,Nachu
V1,2011,2011-11-01,sen.pin,p0022,syr.sp1,i0045,11:56,40,1,enzo
V1,2011,2011-10-18,sen.pin,p0022,cop.ari,i0044,13:45,200,3,nachu
V1,2008,2008-11-04,sen.pin,p0022,amm.sp1,i0126,12:00:00,9,1,Nachu
V1,2011,2011-10-18,sen.pin,p0022,cop.ari,i0044,13:45,200,3,nachu
V1,2011,2011-10-18,sen.pin,p0022,cop.sp2,i0052,13:45,200,1,nachu
V1,2011,2011-10-18,sen.pin,p0022,pir.com,i0132,13:45,200,1,nachu
V1,2011,2011-10-14,sen.pin,p0022,cop.ari,i0044,11:53,36,2,nachu
V1,2011,2011-10-28,sen.pin,p0022,cop.ari,i0044,08:53,20,2,enzo
V1,2011,2011-10-18,sen.pin,p0022,cop.sp2,i0052,13:45,200,1,nachu
V1,2011,2011-12-06,sen.pin,p0022,tac.sp10,i0191,09:50:00,250,1,silvia
V1,2011,2011-11-04,sen.pin,p0022,NA,NA,09:50,11,0,silvia
V1,2011,2011-10-18,sen.pin,p0022,cop.ari,i0044,13:40,100,3,nachu
V1,2011,2011-10-21,sen.pin,p0022,cop.ari,i0044,10:10,12,1,nachu
V1,2008,2008-10-28,sen.pin,p0022,tac.sp15,i0196,11:05:00,13,1,Nachu
V1,2011,2011-11-11,sen.pin,p0022,tac.sp10,i0191,12:10,40,2,nachu
V1,2011,2011-11-08,sen.pin,p0022,cop.ari,i0044,11:55,90,11,nachu
V1,2011,2011-10-28,sen.pin,p0022,cop.ari,i0044,08:53,20,1,enzo
V1,2009,2009-11-30,sen.pin,p0022,NA,NA,11:50:00,80,0,Nachu
V1,2006,2006-11-20,sen.pin,p0022,NA,NA,14:00,45,0,Erica
V1,2011,2011-12-02,sen.pin,p0022,tat.aut,i0076,12:08,120,1,nachu
V1,2009,2009-11-05,sen.pin,p0022,neu.sp1,i0216,12:03:00,7,1,Nachu
V1,2008,2008-11-04,sen.pin,p0022,cam.pun,i0128,12:00:00,9,1,Nachu
V1,2011,2011-10-25,sen.pin,p0022,cop.ari,i0044,11:25,112,1,silvia
V1,2011,2011-10-18,sen.pin,p0022,cop.ari,i0044,13:45,200,2,nachu
V1,2011,2011-11-01,sen.pin,p0022,cop.sp2,i0052,11:56,40,1,enzo
V4,2011,2011-11-11,sen.pin,p0022,tac.sp10,i0191,12:13,40,5,enzo
V1,2011,2011-11-11,sen.pin,p0022,cop.ari,i0044,12:52,350,1,silvia
V1,2009,2009-10-14,sen.pin,p0022,NA,NA,12:48:00,2,0,nachu
V4,2008,2008-10-31,sen.pin,p0022,cop.ari,i0044,12:00:00,38,3,Nachu
V1,2011,2011-10-18,sen.pin,p0022,str.eur,i0131,13:45,200,1,nachu
V1,2011,2011-10-28,sen.pin,p0022,meg.jor,i0298,10:34,44,2,silvia
V1,2011,2011-11-08,sen.pin,p0022,cop.ari,i0044,11:55,90,2,nachu
V1,2011,2011-11-11,sen.pin,p0022,cop.ari,i0044,12:52,350,1,silvia
V4,2011,NA,sen.pin,p0022,cop.ari,i0044,12:21,100,11,julian
V1,2008,2008-11-04,sen.pin,p0022,neu.sp1,i0216,11:31:00,53,1,Nachu
V1,2008,2008-10-24,sen.pin,p0022,NA,NA,13:22:00,6,0,Nachu
V1,2011,2011-12-02,sen.pin,p0022,dih.sp1,i0031,12:16,63,2,silvia
V1,2011,2011-10-18,sen.pin,p0022,cop.ari,i0044,13:45,200,1,nachu
V1,2011,2011-11-11,sen.pin,p0022,pir.com,i0132,12:52,350,1,silvia
V1,2011,2011-11-04,sen.pin,p0022,cop.ari,i0044,09:07,42,6,nachu
V1,2011,2011-10-28,sen.pin,p0022,cop.ari,i0044,08:53,20,2,enzo
V1,2008,2008-10-28,sen.pin,p0022,neu.sp1,i0216,11:05:00,13,1,Nachu
V1,2011,2011-11-11,sen.pin,p0022,cop.ari,i0044,12:52,350,1,silvia
V1,2011,2011-11-01,sen.pin,p0022,syr.sp1,i0045,11:56,40,1,enzo
V1,2011,2011-10-28,sen.pin,p0022,cop.ari,i0044,08:53,20,5,enzo
V1,2010,2010-11-26,sen.pin,p0022,cos.chi,i0077,11:01:00,40,2,Nachu
V4,2009,2009-10-19,sen.pin,p0022,neu.sp1,i0216,12:46:00,13,1,rocio
V1,2011,2011-11-04,sen.pin,p0022,cop.ari,i0044,09:07,42,5,nachu
V1,2011,2011-10-28,sen.pin,p0022,meg.jor,i0298,08:45,26,1,nachu
V4,2009,2009-11-18,cle.mon,p0023,NA,NA,12:37:00,50,0,Nachu
V4,2007,2007-11-08,cle.mon,p0023,bombil3,i0069,16:23,36,2,Nachu
V4,2007,2007-12-04,cle.mon,p0023,cop.sp2,i0052,11:00,150,1,Nachu
V1,2008,2008-11-21,cle.mon,p0023,aug.sp,i0228,09:10:00,30,1,Nachu
V4,2009,2009-12-02,cle.mon,p0023,tac.sp10,i0191,10:35:00,70,1,Nachu
V1,2008,2008-11-21,cle.mon,p0023,bombil11,i0207,09:10:00,30,1,Nachu
V1,2011,2011-11-11,cle.mon,p0023,cha.sp1,i0062,11:54,31,3,nachu
V4,2011,2011-11-25,cle.mon,p0023,NA,NA,09:32,300,0,silvia
V1,2011,2011-12-02,cle.mon,p0023,coleop4,i0322,12:05,31,1,silvia
V1,2008,2008-11-21,cle.mon,p0023,bombil11,i0207,09:10:00,30,1,Nachu
V4,2007,2007-11-27,cle.mon,p0023,NA,NA,10:50,150,0,Nachu
V4,2009,2009-11-11,cle.mon,p0023,NA,NA,11:58:00,40,0,Nachu
V1,2011,2011-11-18,cle.mon,p0023,tac.sp8,i0188,09:11,73,1,silvia
V4,2007,2007-12-04,cle.mon,p0023,vill.sp1,i0114,11:00,150,1,Nachu
V4,2011,2011-11-11,cle.mon,p0023,bombil10,i0206,10:10,13,2,enzo
V1,2011,2011-11-18,cle.mon,p0023,bombil10,i0206,09:11,73,1,silvia
V1,2011,2011-11-18,cle.mon,p0023,amm.sp1,i0126,09:11,73,1,silvia
V4,2010,2010-11-26,cle.mon,p0023,NA,NA,9:17:00,24,0,Nachu
V4,2007,2007-12-04,cle.mon,p0023,amm.sp1,i0126,11:08,NA,6,Erica
V4,2011,2011-11-11,cle.mon,p0023,bombil10,i0206,10:10,13,3,enzo
V4,2006,2006-11-20,cle.mon,p0023,NA,NA,12:02,70,0,Diego
V1,2008,2008-11-11,cle.mon,p0023,NA,NA,09:46:00,10,0,Nachu
V2,2006,2006-11-13,cle.mon,p0023,NA,NA,11:07,50,0,Diego
V4,2011,2011-11-11,cle.mon,p0023,tac.sp10,i0191,10:10,13,1,enzo
V4,2011,2011-11-22,cle.mon,p0023,vill.sp1,i0114,10:30,600,1,silvia
V4,2007,2007-12-04,cle.mon,p0023,cop.ari,i0044,11:00,150,1,Nachu
V4,2007,2007-12-04,cle.mon,p0023,cop.ari,i0044,11:00,150,1,Nachu
V4,2011,2011-11-22,cle.mon,p0023,NA,NA,10:07,30,0,silvia
V4,2009,2009-12-11,cle.mon,p0023,tac.sp1,i0038,13:43:00,50,2,Rocio
V4,2011,2011-11-22,cle.mon,p0023,bombil10,i0206,10:30,600,1,silvia
V4,2007,2007-11-08,cle.mon,p0023,cha.sp1,i0062,16:23,36,2,Nachu
V4,2011,2011-10-28,cle.mon,p0023,bombil10,i0206,13:25,3,2,nachu
V4,2007,2007-12-04,cle.mon,p0023,vill.sp1,i0114,11:08,NA,2,Erica
V4,2009,2009-11-30,cle.mon,p0023,vill.sp1,i0114,11:17:00,150,2,Nachu
V4,2011,2011-11-11,cle.mon,p0023,bombil10,i0206,10:10,13,2,enzo
V4,2007,2007-12-04,cle.mon,p0023,NA,NA,10:45,58,0,Erica
V4,2009,2009-12-02,cle.mon,p0023,tac.sp10,i0191,10:35:00,70,2,Nachu
V4,2011,2011-11-08,cle.mon,p0023,bombil10,i0206,09:25,15,5,enzo
V4,2009,2009-11-30,cle.mon,p0023,sphecid1,i0121,12:56:00,10,2,belen
V4,2008,2008-11-11,cle.mon,p0023,hym.sp3,i0257,13:37:00,100,1,Nachu
V4,2009,2009-12-11,cle.mon,p0023,tac.sp1,i0038,13:43:00,50,2,Rocio
V1,2011,2011-11-11,cle.mon,p0023,NA,NA,11:54,31,1,nachu
V4,2009,2009-11-30,cle.mon,p0023,NA,NA,09:39:00,55,0,Nachu
V1,2011,2011-11-25,cle.mon,p0023,NA,NA,12:14,72,0,silvia
V1,2011,2011-12-02,cle.mon,p0023,hemip7,i0320,12:05,31,1,silvia
V4,2007,2007-11-08,cle.mon,p0023,bombil3,i0069,16:23,36,2,Nachu
V4,2011,2011-11-11,cle.mon,p0023,NA,NA,09:34,3,0,silvia
V4,2007,2007-12-04,cle.mon,p0023,cop.sp2,i0052,11:00,150,1,Nachu
V4,2011,2011-11-11,cle.mon,p0023,bombil10,i0206,10:10,13,1,enzo
V1,2011,2011-12-02,cle.mon,p0023,coleop4,i0322,12:05,31,1,silvia
V4,2008,2008-11-11,cle.mon,p0023,cos.chi,i0077,13:37:00,100,1,Nachu
V1,2011,2011-12-02,cle.mon,p0023,coleop4,i0322,12:05,31,1,silvia
V1,2011,2011-11-18,cle.mon,p0023,dia.pat,i0164,09:11,73,1,silvia
V1,2011,2011-11-18,cle.mon,p0023,amm.sp1,i0126,09:11,73,1,silvia
V4,2006,2006-11-13,cle.mon,p0023,NA,NA,10:17,30,0,Beni
V4,2006,2006-11-13,cle.mon,p0023,amm.sp1,i0126,10:53,15,7,Beni
V4,2009,2009-11-30,cle.mon,p0023,aug.sp,i0228,11:17:00,150,1,Nachu
V4,2007,2007-12-04,cle.mon,p0023,vill.sp1,i0114,11:00,150,1,Nachu
V4,2009,2009-11-30,cle.mon,p0023,vill.sp1,i0114,11:17:00,150,3,Nachu
V1,2011,2011-11-29,cle.mon,p0023,dih.sp1,i0031,09:58,25,1,silvia
V4,2007,2007-11-27,cle.mon,p0023,vill.sp1,i0114,10:19,23,1,Nachu
V1,2008,2008-11-11,cle.mon,p0023,tac.sp10,i0191,09:21:00,51,1,Nachu
V4,2008,2008-11-11,cle.mon,p0023,amm.sp1,i0126,13:37:00,100,4,Nachu
V4,2007,2007-12-04,cle.mon,p0023,cop.sp2,i0052,11:00,150,1,Nachu
V4,2006,2006-11-13,cle.mon,p0023,cam.mus,i0072,12:36,27,1,Beni
V1,2011,2011-11-18,cle.mon,p0023,tac.sp8,i0188,09:11,73,1,silvia
V4,2007,2007-12-04,cle.mon,p0023,com.ful,i0059,11:00,150,1,Nachu
V4,2008,2008-11-11,cle.mon,p0023,exo.sp1,i0068,13:37:00,100,1,Nachu
V4,2009,2009-12-02,cle.mon,p0023,cop.ari,i0044,10:35:00,70,1,Nachu
V1,2008,2008-11-21,cle.mon,p0023,bombil11,i0207,09:10:00,30,2,Nachu
V1,2011,2011-12-02,cle.mon,p0023,coleop4,i0322,12:05,31,1,silvia
V4,2007,2007-12-04,cle.mon,p0023,com.ful,i0059,11:00,150,1,Nachu
V4,2010,2010-11-19,cle.mon,p0023,NA,NA,13:14,25,1,silvia
V4,2007,2007-12-04,cle.mon,p0023,NA,NA,10:45,25,0,Nachu
V4,2007,2007-12-04,cle.mon,p0023,cop.sp2,i0052,11:00,150,1,Nachu
V4,2008,2008-11-11,cle.mon,p0023,exo.sp1,i0068,13:37:00,100,1,Nachu
V1,2011,2011-11-11,cle.mon,p0023,sph.sp5,i0259,12:30,32,1,silvia
V4,2011,2011-11-11,cle.mon,p0023,NA,NA,10:10,13,1,enzo
V1,2011,2011-12-02,cle.mon,p0023,amm.sp1,i0126,12:05,31,1,silvia
V4,2007,2007-12-04,cle.mon,p0023,cop.ari,i0044,11:00,150,1,Nachu
V4,2009,2009-11-09,cle.mon,p0023,NA,NA,11:19:00,6,0,nachu
V1,2008,2008-11-21,cle.mon,p0023,bombil11,i0207,09:10:00,30,5,Nachu
V4,2007,2007-12-04,cle.mon,p0023,tac.sp1,i0038,11:08,NA,2,Erica
V4,2008,2008-11-11,cle.mon,p0023,amm.sp1,i0126,13:37:00,100,1,Nachu
V4,2007,2007-12-04,cle.mon,p0023,tac.sp1,i0038,11:08,NA,1,Erica
V4,2009,2009-11-30,cle.mon,p0023,tac.sp10,i0191,11:17:00,150,2,Nachu
V1,2011,2011-11-18,cle.mon,p0023,eum.sp,i0264,09:11,73,1,silvia
V4,2008,2008-11-11,cle.mon,p0023,exo.sp1,i0068,13:37:00,100,1,Nachu
V1,2011,2011-12-02,cle.mon,p0023,coleop4,i0322,12:05,31,1,silvia
V4,2009,2009-12-02,cle.mon,p0023,NA,NA,09:50:00,20,0,Belen
V1,2011,2011-11-08,cle.mon,p0023,NA,NA,11:40,10,0,nachu
V4,2009,2009-11-30,cle.mon,p0023,sph.sp3,i0256,12:56:00,10,2,belen
V1,2011,2011-11-18,cle.mon,p0023,dia.pat,i0164,09:11,73,1,silvia
V4,2011,2011-11-08,cle.mon,p0023,exo.sp1,i0068,09:25,15,1,enzo
V2,2006,2006-10-30,cle.mon,p0023,cop.ari,i0044,10:07,24,1,Diego
V1,2011,2011-11-18,cle.mon,p0023,dia.pat,i0164,09:11,73,1,silvia
V1,2011,2011-12-02,cle.mon,p0023,coleop4,i0322,12:05,31,1,silvia
V4,2009,2009-12-11,cle.mon,p0023,NA,NA,12:10:00,30,0,Rocio
V4,2011,2011-10-28,cle.mon,p0023,amm.sp1,i0126,13:53,3,1,nachu
V4,2011,2011-11-08,cle.mon,p0023,bombil11,i0207,09:10,110,2,nachu
V4,2009,2009-11-18,cle.mon,p0023,NA,NA,14:02:00,80,0,Rocio
V4,2011,2011-11-04,cle.mon,p0023,NA,NA,12:31,4,0,enzo
V1,2008,2008-11-21,cle.mon,p0023,bombil11,i0207,09:10:00,30,1,Nachu
V1,2011,2011-11-11,cle.mon,p0023,amm.sp1,i0126,12:30,32,2,silvia
V2,2006,2006-11-20,cle.mon,p0023,NA,NA,13:23,10,0,Jimena
V4,2011,2011-11-08,cle.mon,p0023,amm.sp1,i0126,09:10,110,1,nachu
V4,2011,2011-11-22,cle.mon,p0023,cos.chi,i0077,10:30,600,1,silvia
V1,2008,2008-11-21,cle.mon,p0023,bombil11,i0207,09:10:00,30,2,Nachu
V1,2010,2010-10-22,thy.pen,p0025,NA,NA,10:26:00,5,0,Nachu
V1,2007,2007-11-08,thy.pen,p0025,ise.vip,i0105,15:05,80,1,Nachu
V1,2009,2009-10-19,thy.pen,p0025,NA,NA,10:03:00,70,0,nachu
V4,2011,2011-10-28,thy.pen,p0025,syr.sp1,i0045,12:04,45,2,nachu
V1,2009,2009-10-07,thy.pen,p0025,NA,NA,10:47:00,6,0,Belen-rocio
V4,2008,2008-12-02,thy.pen,p0025,cos.chi,i0077,09:16:00,15,2,Nachu
V4,2008,2008-12-02,thy.pen,p0025,dih.sp1,i0031,09:16:00,15,1,Nachu
V4,2008,2008-10-28,thy.pen,p0025,bombil3,i0069,12:42:00,20,4,Nachu
V4,2010,2010-11-05,thy.pen,p0025,NA,NA,12:32,14,0,silvia
V1,2011,2011-10-14,thy.pen,p0025,NA,NA,10:33:00,5,0,silvia
V4,2011,2011-11-04,thy.pen,p0025,sph.sp3,i0256,13:28,3,3,silvia
V1,2007,2007-10-25,thy.pen,p0025,dih.sp1,i0031,11:56,60,1,Nachu
V4,2009,2009-10-21,thy.pen,p0025,NA,NA,10:12:00,3,0,belen
V1,2007,2007-10-23,thy.pen,p0025,NA,NA,10:11,51,0,Nachu
V4,2009,2009-10-26,thy.pen,p0025,NA,NA,12:06:00,16,0,nachu
V4,2011,2011-10-28,thy.pen,p0025,NA,NA,11:53,34,0,nachu
V4,2010,2010-10-14,thy.pen,p0025,NA,NA,10:00,3,0,silvia
V1,2009,2009-10-21,thy.pen,p0025,NA,NA,11:48:00,11,0,nachu
V4,2009,2009-10-26,thy.pen,p0025,bombil3,i0069,13:55:00,30,3,Rocio
V1,2007,2007-10-19,thy.pen,p0025,NA,NA,13:09,23,0,Nachu
V1,2008,2008-11-11,thy.pen,p0025,NA,NA,11:13:00,10,0,Nachu
V4,2009,2009-10-19,thy.pen,p0025,NA,NA,14:06:00,13,0,nachu
V4,2008,2008-10-10,thy.pen,p0025,bombil3,i0069,13:49:00,10,1,Nachu
V1,2011,2011-10-25,thy.pen,p0025,NA,NA,11:32,49,0,nachu
V4,2008,2008-10-24,thy.pen,p0025,NA,NA,09:44:00,4,0,Nachu
V1,2011,2011-09-20,thy.pen,p0025,NA,NA,12:57,2,0,silvia
V4,2008,2008-11-07,thy.pen,p0025,NA,NA,11:30:00,40,0,Nachu
V4,2009,2009-10-26,thy.pen,p0025,col.bre,i0019,13:29:00,30,2,Belen
V4,2008,2008-11-18,thy.pen,p0025,NA,NA,12:17:00,8,0,Nachu
V1,2009,2009-10-19,thy.pen,p0025,NA,NA,10:54:00,62,0,nachu
V4,2006,2006-10-30,thy.pen,p0025,NA,NA,12:37,38,0,Erica
V1,2008,2008-11-04,thy.pen,p0025,amm.sp1,i0126,12:00:00,8,3,Nachu
V4,2008,2008-12-02,thy.pen,p0025,NA,NA,09:06:00,37,0,Nachu
V4,2009,2009-10-12,thy.pen,p0025,NA,NA,10:20:00,3,0,Belen-rocio
V4,2009,2009-10-28,thy.pen,p0025,NA,NA,10:10:00,18,0,rocio
V4,2008,2008-12-12,thy.pen,p0025,bombil10,i0206,12:02:00,9,1,Nachu
V4,2009,2009-10-21,thy.pen,p0025,NA,NA,09:43:00,25,0,rocio
V4,2008,2008-10-07,thy.pen,p0025,NA,NA,11:34:00,28,0,Nachu
V4,2008,2008-10-31,thy.pen,p0025,bombil3,i0069,10:37:00,15,4,Nachu
V4,2011,2011-12-13,thy.pen,p0025,NA,NA,09:20,19,0,silvia
V4,2009,2009-10-21,thy.pen,p0025,NA,NA,10:19:00,10,0,belen
V1,2008,2008-10-07,thy.pen,p0025,NA,NA,14:28:00,9,0,Nachu
V1,2011,2011-10-18,thy.pen,p0025,NA,NA,12:22,13,0,nachu
V4,2011,2011-10-28,thy.pen,p0025,NA,NA,11:46,24,0,nachu
V4,2011,2011-10-21,thy.pen,p0025,NA,NA,13:30,30,2,nachu
V1,2011,2011-12-13,thy.pen,p0025,aug.sp,i0228,12:43,26,1,nachu
V1,2008,2008-10-21,thy.pen,p0025,NA,NA,10:25:00,42,0,Nachu
V1,2011,2011-10-28,thy.pen,p0025,amm.sp1,i0126,10:35,38,1,nachu
V4,2011,2011-10-28,thy.pen,p0025,bombil11,i0207,12:04,45,4,nachu
V4,2009,2009-10-19,thy.pen,p0025,dip.sp2,i0253,12:15:00,12,1,rocio
V1,2008,2008-09-24,thy.pen,p0025,NA,NA,10:49:00,3,0,Nachu
V1,2009,2009-11-05,thy.pen,p0025,NA,NA,12:49:00,25,0,Rocio
V4,2008,2008-10-28,thy.pen,p0025,cop.ari,i0044,13:22:00,150,6,Diego
V4,2011,2011-10-25,thy.pen,p0025,NA,NA,08:45,7,0,silvia
V4,2011,2011-10-14,thy.pen,p0025,NA,NA,12:47:00,6,0,silvia
V4,2008,2008-10-24,thy.pen,p0025,exo.sp1,i0068,09:03:00,29,8,Nachu
V1,2008,2008-11-04,thy.pen,p0025,NA,NA,09:48:00,29,0,Nachu
V4,2009,2009-11-04,thy.pen,p0025,NA,NA,10:20:00,25,0,Nachu
V4,2008,2008-11-07,thy.pen,p0025,NA,NA,11:51:00,13,0,Nachu
V4,2010,2010-10-28,thy.pen,p0025,NA,NA,8:37:00,9,0,Nachu
V1,2010,2010-10-28,thy.pen,p0025,NA,NA,12:51:00,19,0,Nachu
V4,2009,2009-11-09,thy.pen,p0025,NA,NA,10:43:00,23,0,nachu
V1,2011,2011-10-14,thy.pen,p0025,NA,NA,10:40,5,0,nachu
V4,2008,2008-12-02,thy.pen,p0025,NA,NA,10:54:00,15,0,Nachu
V4,2009,2009-10-12,thy.pen,p0025,NA,NA,10:34:00,2,0,Belen-rocio
V4,2009,2009-10-21,thy.pen,p0025,NA,NA,10:23:00,10,0,nachu
V1,2011,2011-10-28,thy.pen,p0025,NA,NA,08:54,11,0,silvia
V4,2009,2009-10-28,thy.pen,p0025,NA,NA,09:22:00,8,0,nachu
V4,2011,2011-12-13,thy.pen,p0025,NA,NA,09:30,13,0,nachu
V1,2009,2009-10-26,thy.pen,p0025,NA,NA,10:23:00,35,0,nachu
V1,2008,2008-11-04,thy.pen,p0025,sph.sp3,i0256,12:29:00,90,8,Nachu
V4,2009,2009-10-21,thy.pen,p0025,NA,NA,09:20:00,40,0,rocio
V4,2009,2009-10-26,thy.pen,p0025,vill.sp1,i0114,13:58:00,15,1,nachu
V4,2008,2008-12-12,thy.pen,p0025,tat.aut,i0076,12:09:00,4,1,Nachu
V1,2009,2009-10-21,thy.pen,p0025,dih.sp1,i0031,12:48:00,104,1,nachu
V2,2006,2006-10-24,thy.pen,p0025,NA,NA,15:07,25,0,Erica
V4,2011,2011-10-14,thy.pen,p0025,dih.sp1,i0031,13:05:00,36,7,silvia
V4,2011,2011-12-06,thy.pen,p0025,dih.sp1,i0031,12:13:00,75,2,silvia
V1,2009,2009-10-07,thy.pen,p0025,NA,NA,10:47:00,2,0,Belen-rocio
V4,2008,2008-10-07,thy.pen,p0025,NA,NA,11:27:00,40,0,Nachu
V4,2008,2008-11-18,thy.pen,p0025,NA,NA,09:48:00,26,0,Nachu
V4,2008,2008-10-21,thy.pen,p0025,NA,NA,14:21:00,28,0,Nachu
V4,2008,2008-12-17,thy.pen,p0025,NA,NA,11:15:00,8,0,Nachu
V1,2009,2009-10-21,thy.pen,p0025,orthop1,i0080,13:11:00,35,1,belen
V1,2011,2011-11-29,thy.pen,p0025,NA,NA,12:31,7,0,silvia
V1,2008,2008-10-24,thy.pen,p0025,ana.ine,i0013,13:14:00,50,2,Nachu
V4,2011,2011-12-13,thy.pen,p0025,NA,NA,09:00,14,0,silvia
V4,2009,2009-10-26,thy.pen,p0025,NA,NA,13:35:00,30,0,Belen
V4,2008,2008-10-28,thy.pen,p0025,cop.ari,i0044,12:30:00,46,1,Nachu
V4,2009,2009-10-26,thy.pen,p0025,aud.sp,i0178,13:04:00,40,2,nachu
V4,2009,2009-10-26,thy.pen,p0025,NA,NA,11:53:00,11,0,nachu
V4,2011,2011-10-14,thy.pen,p0025,cam.mus,i0072,13:05:00,36,1,silvia
V1,2008,2008-10-24,thy.pen,p0025,exo.sp1,i0068,13:14:00,50,1,Nachu
V1,2011,2011-12-06,thy.pen,p0025,NA,NA,10:07:00,11,1,silvia
V1,2010,2010-10-22,thy.pen,p0025,NA,NA,10:36,67,0,silvia
V1,2008,2008-11-04,thy.pen,p0025,dih.sp1,i0031,12:29:00,90,10,Nachu
V4,2011,2011-12-02,thy.pen,p0025,NA,NA,09:35,21,0,silvia
V4,2009,2009-10-21,thy.pen,p0025,NA,NA,09:52:00,4,0,belen
V1,2011,2011-10-11,thy.pen,p0025,NA,NA,12:54,15,0,silvia
V1,2007,2007-11-02,thy.pen,p0025,pir.com,i0132,12:28,100,1,Nachu
V1,2009,2009-10-28,thy.pen,p0025,NA,NA,12:33:00,40,0,rocio
V1,2011,2011-10-14,thy.pen,p0025,NA,NA,11:50:00,15,0,silvia
