"esp","ID","especie","Familia.planta","Genero.planta","Especie.planta.nuevo","interaccionn","interaccion","Aceptado","Bases.de.datos","sp.armonizado"
"Chrysomya megacephala","M_060","Chrysomya.megacephala","Oleaceae","Olea","Olea lancea",1,1,NA,NA,"Chrysomya megacephala"
"Chrysomya megacephala","M_060","Chrysomya.megacephala","Pittosporaceae","Pittosporum","Pittosporum senacia",1,1,NA,NA,"Chrysomya megacephala"
"Chrysomya megacephala","M_060","Chrysomya.megacephala","Primulaceae","Badula","Badula insularis",1,1,NA,NA,"Chrysomya megacephala"
"Chrysomya megacephala","M_060","Chrysomya.megacephala","Rubiaceae","Coffea","Coffea macrocarpa",1,1,NA,NA,"Chrysomya megacephala"
"Chrysomya megacephala","M_060","Chrysomya.megacephala","Rubiaceae","Gaertnera","Gaertnera.sp1.M.PL.069",1,1,NA,NA,"Chrysomya megacephala"
"Chrysomya megacephala","M_060","Chrysomya.megacephala","Rubiaceae","Gaertnera","Gaertnera.sp1.M.PL.070",1,1,NA,NA,"Chrysomya megacephala"
"Chrysomya megacephala","M_060","Chrysomya.megacephala","Rubiaceae","Gaertnera","Gaertnera.sp1.M.PL.080",1,1,NA,NA,"Chrysomya megacephala"
"Chrysomya megacephala","M_060","Chrysomya.megacephala","Rubiaceae","Gaertnera","Gaertnera.sp1.M.PL.081",1,1,NA,NA,"Chrysomya megacephala"
"Chrysomya megacephala","M_060","Chrysomya.megacephala","Sapindaceae","Molinaea","Molinaea alternifolia",1,1,NA,NA,"Chrysomya megacephala"
"Chrysomya megacephala","M_060","Chrysomya.megacephala","Sapotaceae","Mimusops","Mimusops erythroxylon",1,1,NA,NA,"Chrysomya megacephala"
"Chrysomya megacephala","M_060","Chrysomya.megacephala","Sapotaceae","Sideroxylon","Sideroxylon cinereum",1,1,NA,NA,"Chrysomya megacephala"
"Chrysomya megacephala","M_060","Chrysomya.megacephala","Sapotaceae","Sideroxylon","Sideroxylon puberulum",1,1,NA,NA,"Chrysomya megacephala"
"Chrysomya megacephala","M_060","Chrysomya.megacephala","Smilacaceae","Smilax","Smilax anceps",1,1,NA,NA,"Chrysomya megacephala"
"Chrysomya megacephala","M_060","Chrysomya.megacephala",NA,NA,"Bertiera zaluzania ",1,1,NA,NA,"Chrysomya megacephala"
"Chrysomya megacephala","M_060","Chrysomya.megacephala",NA,NA,"Croton grangeroides",1,1,NA,NA,"Chrysomya megacephala"
"Chrysomya megacephala","M_060","Chrysomya.megacephala",NA,NA,"Euodia chapelieri",1,1,NA,NA,"Chrysomya megacephala"
"Chrysomya megacephala","M_060","Chrysomya.megacephala",NA,NA,"Euodia obtusifolia",1,1,NA,NA,"Chrysomya megacephala"
"Chrysomya megacephala","M_060","Chrysomya.megacephala",NA,NA,"Toddalia asiatica",1,1,NA,NA,"Chrysomya megacephala"
"Chrysomya megacephala Fabricius","M_075","Chrysomya.megacephala.Fabricius","Chrysobalanaceae","Grangeria","Grangeria borbonica",1,1,NA,NA,"Chrysomya megacephala Fabricius"
"Chrysomya megacephala Fabricius","M_075","Chrysomya.megacephala.Fabricius","Euphorbiaceae","Croton","Croton fothergillifolius",1,1,NA,NA,"Chrysomya megacephala Fabricius"
"Chrysomya megacephala Fabricius","M_075","Chrysomya.megacephala.Fabricius","Smilacaceae","Smilax","Smilax anceps",1,1,NA,NA,"Chrysomya megacephala Fabricius"
"Chrysomya megacephala Fabricius","M_075","Chrysomya.megacephala.Fabricius",NA,NA,"Croton grangeroides",1,1,NA,NA,"Chrysomya megacephala Fabricius"
"Chrysomya megacephala Fabricius","M_075","Chrysomya.megacephala.Fabricius",NA,NA,"Toddalia asiatica",1,1,NA,NA,"Chrysomya megacephala Fabricius"
"Chrysomya megacephala Fabricius","M_075","Chrysomya.megacephala.Fabricius","Aphloiaceae","Aphloia","Aphloia theiformis",1,1,NA,NA,"Chrysomya megacephala Fabricius"
"Chrysomya megacephala Fabricius","M_075","Chrysomya.megacephala.Fabricius","Asparagaceae","Dracaena","Dracaena reflexa var. angustifolia",1,1,NA,NA,"Chrysomya megacephala Fabricius"
"Chrysomya megacephala Fabricius","M_075","Chrysomya.megacephala.Fabricius","Asteraceae","Helichrysum","Helichrysum proteoides",1,1,NA,NA,"Chrysomya megacephala Fabricius"
"Chrysomya megacephala Fabricius","M_075","Chrysomya.megacephala.Fabricius","Myrtaceae","Syzygium","Syzygium coriaceum",1,1,NA,NA,"Chrysomya megacephala Fabricius"
"Chrysomya megacephala Fabricius","M_075","Chrysomya.megacephala.Fabricius","Ochnaceae","Ochna","Ochna mauritiana",1,1,NA,NA,"Chrysomya megacephala Fabricius"
"Chrysomya megacephala Fabricius","M_075","Chrysomya.megacephala.Fabricius","Rubiaceae","Gaertnera","Gaertnera psychotrioides",1,1,NA,NA,"Chrysomya megacephala Fabricius"
"Chrysomya megacephala Fabricius","M_075","Chrysomya.megacephala.Fabricius","Sapindaceae","Molinaea","Molinaea alternifolia",1,1,NA,NA,"Chrysomya megacephala Fabricius"
"Chrysomya megacephala Fabricius","M_075","Chrysomya.megacephala.Fabricius","Sapotaceae","Sideroxylon","Sideroxylon cinereum",1,1,NA,NA,"Chrysomya megacephala Fabricius"
"Chrysomya megacephala Fabricius","M_075","Chrysomya.megacephala.Fabricius","Sapotaceae","Sideroxylon","Sideroxylon puberulum",1,1,NA,NA,"Chrysomya megacephala Fabricius"
"Chrysomya megacephala Fabricius","M_075","Chrysomya.megacephala.Fabricius","Asteraceae","Psiadia","Psiadia terebinthina",1,1,NA,NA,"Chrysomya megacephala Fabricius"
"Chrysomya megacephala Fabricius","M_075","Chrysomya.megacephala.Fabricius","Myrtaceae","Psidium","Psidium cattleianum",1,1,NA,NA,"Chrysomya megacephala Fabricius"
"Chrysomya megacephala Fabricius","M_075","Chrysomya.megacephala.Fabricius","Euphorbiaceae","Stillingia","Stillingia lineata subsp. lineata",1,1,NA,NA,"Chrysomya megacephala Fabricius"
"Chrysomya pinguis","M_044","Chrysomya.pinguis","Araliaceae","Heptapleurum","Heptapleurum heptaphyllum",1,1,NA,NA,"Chrysomya pinguis"
"Chrysomya pinguis","M_044","Chrysomya.pinguis","Elaeocarpaceae","Elaeocarpus","Elaeocarpus japonicus",1,1,NA,NA,"Chrysomya pinguis"
"Chrysomya pinguis","M_044","Chrysomya.pinguis","Rhamnaceae","Rhamnella","Rhamnella franguloides",1,1,NA,NA,"Chrysomya pinguis"
"Chrysomya pinguis","M_044","Chrysomya.pinguis",NA,NA,"Euscaphis japonica",1,1,NA,NA,"Chrysomya pinguis"
"Chrysomya pinguis","M_044","Chrysomya.pinguis",NA,NA,"Peucedanum joponicum",1,1,NA,NA,"Chrysomya pinguis"
"Chrysomya pinguis","M_055","Chrysomya.pinguis","Asteraceae","Eupatorium","Eupatorium lindleyanum",1,1,NA,NA,"Chrysomya pinguis"
"Chrysomya pinguis","M_055","Chrysomya.pinguis",NA,NA,"Persicaria sieboldi",1,1,NA,NA,"Chrysomya pinguis"
"Chrysomya rufifacies","M_044","Chrysomya.rufifacies",NA,NA,"Ampetopsis brevipedunculata",1,1,NA,NA,"Chrysomya rufifacies"
"Chrysopa furcifera","M_044","Chrysopa.furcifera",NA,NA,"Peucedanum joponicum",1,1,NA,NA,"Chrysopa furcifera"
"Chrysopa sp1 M PL 026","M_026","Chrysopa.sp1.M.PL.026","Boraginaceae","Cordia","Cordia lutea",1,1,NA,NA,"Chrysopa sp1 M PL 026"
"Chrysopa sp1 M PL 044","M_044","Chrysopa.sp1.M.PL.044","Elaeocarpaceae","Elaeocarpus","Elaeocarpus sylvestris",1,1,NA,NA,"Chrysopa sp1 M PL 044"
"Chrysopa sp1 M PL 053","M_053","Chrysopa.sp1.M.PL.053","Caprifoliaceae","Patrinia","Patrinia villosa",1,1,NA,NA,"Chrysopa sp1 M PL 053"
"Chrysopa sp1 M PL 072","M_072","Chrysopa.sp1.M.PL.072","Asteraceae","Baccharis","Baccharis dracunculifolia subsp. tandilensis",1,1,NA,NA,"Chrysopa sp1 M PL 072"
"Chrysopa sp1 M PL 072","M_072","Chrysopa.sp1.M.PL.072","Asteraceae","Solidago","Solidago chilensis",1,1,NA,NA,"Chrysopa sp1 M PL 072"
"Chrysopa sp2 M PL 044","M_044","Chrysopa.sp2.M.PL.044","Malvaceae","Heritiera","Heritiera littoralis",1,1,NA,NA,"Chrysopa sp2 M PL 044"
"Chrysophanus helloides","M_005","Chrysophanus.helloides","Asteraceae","Achillea","Achillea millefolium",1,1,NA,NA,"Chrysophanus helloides"
"Chrysophanus helloides","M_005","Chrysophanus.helloides","Asteraceae","Oreochrysum","Oreochrysum parryi",1,1,NA,NA,"Chrysophanus helloides"
"Chrysophanus helloides","M_005","Chrysophanus.helloides",NA,NA,"Erigeron macranthus",1,1,NA,NA,"Chrysophanus helloides"
"Chrysophanus rubidus","M_005","Chrysophanus.rubidus","Asteraceae","Cirsium","Cirsium hookerianum",1,1,NA,NA,"Chrysophanus rubidus"
"Chrysophanus rubidus","M_005","Chrysophanus.rubidus","Campanulaceae","Campanula","Campanula rotundifolia",1,1,NA,NA,"Chrysophanus rubidus"
"Chrysophanus rubidus","M_005","Chrysophanus.rubidus","Hydrophyllaceae","Phacelia","Phacelia heterophylla",1,1,NA,NA,"Chrysophanus rubidus"
"Chrysophanus sirius","M_005","Chrysophanus.sirius","Lamiaceae","Monarda","Monarda fistulosa",1,1,NA,NA,"Chrysophanus sirius"
"Chrysophanus thoe","M_062","Chrysophanus.thoe","Convolvulaceae","Ipomoea","Ipomoea pandurata",1,1,NA,NA,"Chrysophanus thoe"
"Chrysophanus thoe","M_062","Chrysophanus.thoe","Convolvulaceae","Ipomoea","Ipomoea purpurea",1,1,NA,NA,"Chrysophanus thoe"
"Chrysophanus thoe","M_062","Chrysophanus.thoe","Iridaceae","Iris","Iris hexagona",1,1,NA,NA,"Chrysophanus thoe"
"Chrysops indus","M_062","Chrysops.indus","Polemoniaceae","Phlox","Phlox divaricata",1,1,NA,NA,"Chrysops indus"
"Chrysops pictus","M_049","Chrysops.pictus","Rubiaceae","Galium","Galium palustre",1,1,NA,NA,"Chrysops pictus"
"Chrysotoxum arcuatum","M_047","Chrysotoxum.arcuatum","Rosaceae","Potentilla","Potentilla erecta",1,1,NA,NA,"Chrysotoxum arcuatum"
"Chrysotoxum bicinctum","M_017","Chrysotoxum.bicinctum","Apiaceae","Daucus","Daucus carota",1,1,NA,NA,"Chrysotoxum bicinctum"
"Chrysotoxum bicinctum","M_047","Chrysotoxum.bicinctum","Rosaceae","Potentilla","Potentilla erecta",1,1,NA,NA,"Chrysotoxum bicinctum"
"Chrysotoxum bicinetum","M_049","Chrysotoxum.bicinetum","Caryophyllaceae","Stellaria","Stellaria graminea",1,1,NA,NA,"Chrysotoxum bicinetum"
"Chrysotoxum bicinetum","M_049","Chrysotoxum.bicinetum","Haloragaceae","Stellaria","Stellaria graminea",1,1,NA,NA,"Chrysotoxum bicinetum"
"Chrysotoxum fasciatum","M_047","Chrysotoxum.fasciatum","Asteraceae","Hypochaeris","Hypochaeris radicata",1,1,NA,NA,"Chrysotoxum fasciatum"
"Chrysotoxum fasciatum","M_047","Chrysotoxum.fasciatum","Ericaceae","Calluna","Calluna vulgaris",1,1,NA,NA,"Chrysotoxum fasciatum"
"Chrysotoxum fasciatum","M_047","Chrysotoxum.fasciatum","Ericaceae","Vaccinium","Vaccinium uliginosum",1,1,NA,NA,"Chrysotoxum fasciatum"
"Chrysotoxum fasciatum","M_047","Chrysotoxum.fasciatum","Rosaceae","Potentilla","Potentilla erecta",1,1,NA,NA,"Chrysotoxum fasciatum"
"Chrysotoxum grande","M_057","Chrysotoxum.grande","Polygonaceae","Persicaria","Persicaria thunbergii",1,1,NA,NA,"Chrysotoxum grande"
"Chrysotoxum integrum","M_005","Chrysotoxum.integrum","Rosaceae","Holodiscus","Holodiscus australis",1,1,NA,NA,"Chrysotoxum integrum"
"Chrysotoxum integrum","M_005","Chrysotoxum.integrum","Rosaceae","Rosa","Rosa acicularis",1,1,NA,NA,"Chrysotoxum integrum"
"Chrysotoxum intermedium","M_015","Chrysotoxum.intermedium","Asteraceae","Calendula","Calendula arvensis",1,1,NA,NA,"Chrysotoxum intermedium"
"Chrysotoxum intermedium","M_015","Chrysotoxum.intermedium","Asteraceae","Senecio","Senecio vulgaris",1,1,NA,NA,"Chrysotoxum intermedium"
"Chrysotoxum intermedium","M_015","Chrysotoxum.intermedium","Brassicaceae","Biscutella","Biscutella didyma",1,1,NA,NA,"Chrysotoxum intermedium"
"Chrysotoxum intermedium","M_015","Chrysotoxum.intermedium","Brassicaceae","Hirschfeldia","Hirschfeldia incana",1,1,NA,NA,"Chrysotoxum intermedium"
"Chrysotoxum intermedium","M_015","Chrysotoxum.intermedium",NA,NA,"Gagea granatelli",1,1,NA,NA,"Chrysotoxum intermedium"
"Chrysotoxum intermedium","M_016","Chrysotoxum.intermedium","Smilacaceae","Smilax","Smilax aspera",1,1,NA,NA,"Chrysotoxum intermedium"
"Chrysotoxum testaceum","M_044","Chrysotoxum.testaceum","Amaranthaceae","Salsola","Salsola komarovii",1,1,NA,NA,"Chrysotoxum testaceum"
"Chrysotoxum testaceum","M_044","Chrysotoxum.testaceum","Asteraceae","Crepidiastrum","Crepidiastrum lanceolatum",1,1,NA,NA,"Chrysotoxum testaceum"
"Chrysotoxum testaceum","M_044","Chrysotoxum.testaceum",NA,NA,"Lysimachia mauiriana",1,1,NA,NA,"Chrysotoxum testaceum"
"Chrysotoxum triarcuatum","M_012","Chrysotoxum.triarcuatum","Brassicaceae","Raphanus","Raphanus raphanistrum",1,1,NA,NA,"Chrysotoxum triarcuatum"
"Chrysotoxum upsilon","M_005","Chrysotoxum.upsilon",NA,NA,"Polygonum bistorta",1,1,NA,NA,"Chrysotoxum upsilon"
"Chrysotoxum ventricosum","M_005","Chrysotoxum.ventricosum","Rosaceae","Potentilla","Potentilla pulcherrima",1,1,NA,NA,"Chrysotoxum ventricosum"
"Chrystogaster brevicornis","M_021","Chrystogaster.brevicornis","Rosaceae","Prunus","Prunus grayana",1,1,NA,NA,"Chrystogaster brevicornis"
"Chrystogaster ontario","M_062","Chrystogaster.ontario","Apiaceae","Chaerophyllum","Chaerophyllum procumbens",1,1,NA,NA,"Chrystogaster ontario"
"Chrystogaster ontario","M_062","Chrystogaster.ontario","Caprifoliaceae","Lonicera","Lonicera sempervirens",1,1,NA,NA,"Chrystogaster ontario"
"Chrystogaster ontario","M_062","Chrystogaster.ontario","Commelinaceae","Tradescantia","Tradescantia virginiana",1,1,NA,NA,"Chrystogaster ontario"
"Chrystogaster ontario","M_062","Chrystogaster.ontario","Fabaceae","Amorpha","Amorpha canescens",1,1,NA,NA,"Chrystogaster ontario"
"Chrystogaster ontario","M_062","Chrystogaster.ontario","Fabaceae","Desmodium","Desmodium glabellum",1,1,NA,NA,"Chrystogaster ontario"
"Chrystogaster ontario","M_062","Chrystogaster.ontario","Hypericaceae","Hypericum","Hypericum ascyron",1,1,NA,NA,"Chrystogaster ontario"
"Chrystogaster ontario","M_062","Chrystogaster.ontario","Lythraceae","Ammannia","Ammannia coccinea",1,1,NA,NA,"Chrystogaster ontario"
"Chrystogaster ontario","M_062","Chrystogaster.ontario","Ranunculaceae","Myosurus","Myosurus minimus",1,1,NA,NA,"Chrystogaster ontario"
"Chrystogaster ontario","M_062","Chrystogaster.ontario","Rhamnaceae","Ceanothus","Ceanothus americanus",1,1,NA,NA,"Chrystogaster ontario"
"Chrystogaster ontario","M_062","Chrystogaster.ontario","Rosaceae","Geum","Geum canadense",1,1,NA,NA,"Chrystogaster ontario"
"Chrystogaster ontario","M_062","Chrystogaster.ontario",NA,NA,"Dentaria laciniata",1,1,NA,NA,"Chrystogaster ontario"
"Chrystogaster ontario","M_062","Chrystogaster.ontario",NA,NA,"Eulophus americanus",1,1,NA,NA,"Chrystogaster ontario"
"Chrystogaster ontario","M_062","Chrystogaster.ontario",NA,NA,"Gerardia tenuifolia",1,1,NA,NA,"Chrystogaster ontario"
"Chrystogaster ontario","M_062","Chrystogaster.ontario",NA,NA,"Ludvigia alternifolia",1,1,NA,NA,"Chrystogaster ontario"
"Chrystogaster ontario","M_062","Chrystogaster.ontario",NA,NA,"Polygonum pennsylvanicum",1,1,NA,NA,"Chrystogaster ontario"
"Chyliza apicalis","M_062","Chyliza.apicalis","Asteraceae","Symphyotrichum","Symphyotrichum lateriflorum",1,1,NA,NA,"Chyliza apicalis"
"Chyliza apicalis","M_062","Chyliza.apicalis","Cucurbitaceae","Cucurbita","Cucurbita melopepo",1,1,NA,NA,"Chyliza apicalis"
"Cicadellidae sp1 M PL 060","M_060","Cicadellidae.sp1.M.PL.060","Asteraceae","Psiadia","Psiadia terebinthina",1,1,NA,NA,"Cicadellidae sp1 M PL 060"
"Cidaria sp1 M PL 009","M_009","Cidaria.sp1.M.PL.009","Caryophyllaceae","Silene","Silene acaulis",1,1,NA,NA,"Cidaria sp1 M PL 009"
"Cidaria sp1 M PL 009","M_009","Cidaria.sp1.M.PL.009","Crassulaceae","Rhodiola","Rhodiola rosea",1,1,NA,NA,"Cidaria sp1 M PL 009"
"Cistogaster occidua","M_062","Cistogaster.occidua","Asteraceae","Eupatorium","Eupatorium perfoliatum",1,1,NA,NA,"Cistogaster occidua"
"Cixiidae sp1","M_075","Cixiidae.sp1","Euphorbiaceae","Homalanthus","Homalanthus populifolius",1,1,NA,NA,"Cixiidae sp1"
"Cixiidae sp1 M PL 073","M_060","Cixiidae.sp1.M.PL.073","Sapindaceae","Dodonaea","Dodonaea viscosa",1,1,NA,NA,"Cixiidae sp1 M PL 073"
"Cixiidae sp1 M PL 077","M_060","Cixiidae.sp1.M.PL.077","Euphorbiaceae","Homalanthus","Homalanthus populifolius",1,1,NA,NA,"Cixiidae sp1 M PL 077"
"Cixiidae sp2","M_075","Cixiidae.sp2","Sapindaceae","Dodonaea","Dodonaea viscosa",1,1,NA,NA,"Cixiidae sp2"
"Clairvillia pninae","M_015","Clairvillia.pninae","Apiaceae","Thapsia","Thapsia garganica",1,1,NA,NA,"Clairvillia pninae"
"Clamirius apicarius","M_034","Clamirius.apicarius","Myrtaceae","Amomyrtus","Amomyrtus luma",1,1,NA,NA,"Clamirius apicarius"
"Cleora fortunata","M_012","Cleora.fortunata","Lamiaceae","Cedronella","Cedronella canariensis",1,1,NA,NA,"Cleora fortunata"
"Cleridae","M_072","Cleridae","Apiaceae","Eryngium","Eryngium stenophyllum",1,1,NA,NA,"Cleridae"
"Cletus rusticus","M_054","Cletus.rusticus","Rosaceae","Spiraea","Spiraea blumei",1,1,NA,NA,"Cletus rusticus"
"Cletus trigonus","M_054","Cletus.trigonus","Rosaceae","Pyracantha","Pyracantha angustifolia",1,1,NA,NA,"Cletus trigonus"
"Clisodon sp1 M PL 005","M_005","Clisodon.sp1.M.PL.005","Boraginaceae","Mertensia","Mertensia sibirica",1,1,NA,NA,"Clisodon sp1 M PL 005"
"Clisodon terminalis","M_005","Clisodon.terminalis","Asteraceae","Cirsium","Cirsium hookerianum",1,1,NA,NA,"Clisodon terminalis"
"Clisodon terminalis","M_005","Clisodon.terminalis","Boraginaceae","Mertensia","Mertensia pratensis",1,1,NA,NA,"Clisodon terminalis"
"Clisodon terminalis","M_005","Clisodon.terminalis","Gentianaceae","Frasera","Frasera speciosa",1,1,NA,NA,"Clisodon terminalis"
"Clisodon terminalis","M_005","Clisodon.terminalis","Geraniaceae","Geranium","Geranium caespitosum",1,1,NA,NA,"Clisodon terminalis"
"Clisodon terminalis","M_005","Clisodon.terminalis","Lamiaceae","Monarda","Monarda fistulosa",1,1,NA,NA,"Clisodon terminalis"
"Clisodon terminalis","M_005","Clisodon.terminalis","Plantaginaceae","Penstemon","Penstemon secundiflorus",1,1,NA,NA,"Clisodon terminalis"
"Clisodon terminalis","M_005","Clisodon.terminalis","Ranunculaceae","Aquilegia","Aquilegia coerulea",1,1,NA,NA,"Clisodon terminalis"
"Clisodon terminalis","M_005","Clisodon.terminalis","Rosaceae","Holodiscus","Holodiscus australis",1,1,NA,NA,"Clisodon terminalis"
"Clisodon terminalis","M_005","Clisodon.terminalis","Rosaceae","Rosa","Rosa acicularis",1,1,NA,NA,"Clisodon terminalis"
"Clisodon terminalis","M_005","Clisodon.terminalis","Rosaceae","Rubus","Rubus idaeus subsp. strigosus",1,1,NA,NA,"Clisodon terminalis"
"Clisodon terminalis","M_005","Clisodon.terminalis",NA,NA,"Chamaenerium angustifolium",1,1,NA,NA,"Clisodon terminalis"
"Clisodon terminalis","M_005","Clisodon.terminalis",NA,NA,"Pentstemon glaber",1,1,NA,NA,"Clisodon terminalis"
"Clisodon terminalis","M_005","Clisodon.terminalis",NA,NA,"Pentstemon glaucus",1,1,NA,NA,"Clisodon terminalis"
"Clisodon terminalis","M_005","Clisodon.terminalis",NA,NA,"Pentstemon gracilis",1,1,NA,NA,"Clisodon terminalis"
"Clisodon terminalis","M_005","Clisodon.terminalis",NA,NA,"Petalostemon purpureus",1,1,NA,NA,"Clisodon terminalis"
"Clisodon terminalis","M_062","Clisodon.terminalis","Anacardiaceae","Rhus","Rhus glabra",1,1,NA,NA,"Clisodon terminalis"
"Clisodon terminalis","M_062","Clisodon.terminalis","Apocynaceae","Asclepias","Asclepias sullivantii",1,1,NA,NA,"Clisodon terminalis"
"Clisodon terminalis","M_062","Clisodon.terminalis","Asteraceae","Taraxacum","Taraxacum officinale",1,1,NA,NA,"Clisodon terminalis"
"Clisodon terminalis","M_062","Clisodon.terminalis","Comandraceae","Comandra","Comandra umbellata",1,1,NA,NA,"Clisodon terminalis"
"Clisodon terminalis","M_062","Clisodon.terminalis","Fabaceae","Amorpha","Amorpha fruticosa",1,1,NA,NA,"Clisodon terminalis"
"Clisodon terminalis","M_062","Clisodon.terminalis","Lamiaceae","Marrubium","Marrubium vulgare",1,1,NA,NA,"Clisodon terminalis"
"Clisodon terminalis","M_062","Clisodon.terminalis","Lythraceae","Ammannia","Ammannia coccinea",1,1,NA,NA,"Clisodon terminalis"
"Clisodon terminalis","M_062","Clisodon.terminalis","Orchidaceae","Galearis","Galearis spectabilis",1,1,NA,NA,"Clisodon terminalis"
"Clisodon terminalis","M_062","Clisodon.terminalis","Solanaceae","Solanum","Solanum nigrum",1,1,NA,NA,"Clisodon terminalis"
"Clossiana chariclea","M_010","Clossiana.chariclea","Asteraceae","Arnica","Arnica angustifolia",1,1,NA,NA,"Clossiana chariclea"
"Clossiana chariclea","M_010","Clossiana.chariclea","Brassicaceae","Cochlearia","Cochlearia groenlandica",1,1,NA,NA,"Clossiana chariclea"
"Clossiana chariclea","M_010","Clossiana.chariclea","Caryophyllaceae","Cerastium","Cerastium arcticum",1,1,NA,NA,"Clossiana chariclea"
"Clossiana chariclea","M_010","Clossiana.chariclea","Caryophyllaceae","Silene","Silene acaulis",1,1,NA,NA,"Clossiana chariclea"
"Clossiana chariclea","M_010","Clossiana.chariclea","Ericaceae","Cassiope","Cassiope tetragona",1,1,NA,NA,"Clossiana chariclea"
"Clossiana chariclea","M_010","Clossiana.chariclea","Ericaceae","Vaccinium","Vaccinium uliginosum",1,1,NA,NA,"Clossiana chariclea"
"Clossiana chariclea","M_010","Clossiana.chariclea","Papaveraceae","Oremecom","Oreomecon radicata subsp. radicata",1,1,NA,NA,"Clossiana chariclea"
"Clossiana chariclea","M_010","Clossiana.chariclea","Plumbaginaceae","Armeria","Armeria scabra",1,1,NA,NA,"Clossiana chariclea"
"Clossiana chariclea","M_010","Clossiana.chariclea","Rosaceae","Dryas","Dryas octopetala",1,1,NA,NA,"Clossiana chariclea"
"Clossiana chariclea","M_010","Clossiana.chariclea","Rosaceae","Potentilla","Potentilla rubricaulis",1,1,NA,NA,"Clossiana chariclea"
"Clossiana chariclea","M_010","Clossiana.chariclea","Salicaceae","Salix","Salix arctica",1,1,NA,NA,"Clossiana chariclea"
"Clossiana chariclea","M_010","Clossiana.chariclea","Saxifragaceae","Saxifraga","Saxifraga cernua",1,1,NA,NA,"Clossiana chariclea"
"Clossiana chariclea","M_010","Clossiana.chariclea","Saxifragaceae","Saxifraga","Saxifraga hirculus",1,1,NA,NA,"Clossiana chariclea"
"Clossiana chariclea","M_010","Clossiana.chariclea","Saxifragaceae","Saxifraga","Saxifraga oppositifolia",1,1,NA,NA,"Clossiana chariclea"
"Clossiana chariclea","M_010","Clossiana.chariclea",NA,NA,"Polygonum viviparum",1,1,NA,NA,"Clossiana chariclea"
"Clusia lateralis","M_062","Clusia.lateralis","Asteraceae","Verbesina","Verbesina helianthoides",1,1,NA,NA,"Clusia lateralis"
"Clusia lateralis","M_062","Clusia.lateralis","Asteraceae","Vernonia","Vernonia fasciculata",1,1,NA,NA,"Clusia lateralis"
"Clusia lateralis","M_062","Clusia.lateralis","Commelinaceae","Tradescantia","Tradescantia virginiana",1,1,NA,NA,"Clusia lateralis"
"Clusia lateralis","M_062","Clusia.lateralis","Fabaceae","Trifolium","Trifolium hybridum",1,1,NA,NA,"Clusia lateralis"
"Clusia lateralis","M_062","Clusia.lateralis","Fabaceae","Trifolium","Trifolium pratense",1,1,NA,NA,"Clusia lateralis"
"Clusia lateralis","M_062","Clusia.lateralis","Fabaceae","Trifolium","Trifolium repens",1,1,NA,NA,"Clusia lateralis"
"Clusia lateralis","M_062","Clusia.lateralis","Melanthiaceae","Trillium","Trillium sessile",1,1,NA,NA,"Clusia lateralis"
"Clusia lateralis","M_062","Clusia.lateralis","Plantaginaceae","Veronica","Veronica arvensis",1,1,NA,NA,"Clusia lateralis"
"Clusia lateralis","M_062","Clusia.lateralis","Ulmaceae","Ulmus","Ulmus americana",1,1,NA,NA,"Clusia lateralis"
"Clusia lateralis","M_062","Clusia.lateralis","Violaceae","Viola","Viola cucullata",1,1,NA,NA,"Clusia lateralis"
"Clusia lateralis","M_062","Clusia.lateralis","Violaceae","Viola","Viola sagittata",1,1,NA,NA,"Clusia lateralis"
"Clypeocampulum lubricum","M_015","Clypeocampulum.lubricum","Apiaceae","Tordylium","Tordylium apulum",1,1,NA,NA,"Clypeocampulum lubricum"
"Clypeocampulum lubricum","M_015","Clypeocampulum.lubricum","Resedaceae","Reseda","Reseda alba",1,1,NA,NA,"Clypeocampulum lubricum"
"Clytiomyia flava","M_062","Clytiomyia.flava","Apiaceae","Anethum","Anethum graveolens",1,1,NA,NA,"Clytiomyia flava"
"Clytiomyia flava","M_062","Clytiomyia.flava","Apiaceae","Cryptotaenia","Cryptotaenia canadensis",1,1,NA,NA,"Clytiomyia flava"
"Clytiomyia flava","M_062","Clytiomyia.flava","Apocynaceae","Apocynum","Apocynum cannabinum",1,1,NA,NA,"Clytiomyia flava"
"Clytiomyia flava","M_062","Clytiomyia.flava","Asteraceae","Adenostyles","Adenostyles alpina",1,1,NA,NA,"Clytiomyia flava"
"Clytiomyia flava","M_062","Clytiomyia.flava","Asteraceae","Anacias","Anacis palmata",1,1,NA,NA,"Clytiomyia flava"
"Clytiomyia flava","M_062","Clytiomyia.flava","Asteraceae","Conoclinium","Conoclinium coelestinum",1,1,NA,NA,"Clytiomyia flava"
"Clytiomyia flava","M_062","Clytiomyia.flava","Asteraceae","Helianthus","Helianthus tuberosus",1,1,NA,NA,"Clytiomyia flava"
"Clytiomyia flava","M_062","Clytiomyia.flava","Asteraceae","Silphium","Silphium perfoliatum",1,1,NA,NA,"Clytiomyia flava"
"Clytiomyia flava","M_062","Clytiomyia.flava","Asteraceae","Silphium","Silphium terebinthinaceum",1,1,NA,NA,"Clytiomyia flava"
"Clytiomyia flava","M_062","Clytiomyia.flava","Campanulaceae","Lobelia","Lobelia cardinalis",1,1,NA,NA,"Clytiomyia flava"
