"genero","especie","orden","familia"
"Eristalis","Eristalis pratorum","Diptera","Syrphidae"
"Eristalis","Eristalis cerealis ","Diptera","Syrphidae"
"Eristalis","Eristalis arbustorum","Diptera","Syrphidae"
"Eristalis","Eristalis dimidiatus","Diptera","Syrphidae"
"Eristalis","Eristalis cereaiis","Diptera","Syrphidae"
"Eristalis","Eristalis lineata","Diptera","Syrphidae"
"Eristalis","Eristalis interrupta","Diptera","Syrphidae"
"Eristalis","Eristalis pertinax","Diptera","Syrphidae"
"Eristalix","Eristalix tenax",NA,NA
"Eristalodes","Eristalodes taeniops","Diptera","Syrphidae"
"Eristalodes","Eristalodes seychellarum","Diptera","Syrphidae"
"Eristalomya","Eristalomya tenax",NA,NA
"Eristatinus","Eristatinus viridis",NA,NA
"Eristatis","Eristatis cerealis",NA,NA
"Erizoa","Erizoa olivalis",NA,NA
"Ernestia","Ernestia rudis",NA,NA
"Eroessa","Eroessa chilensis","Lepidoptera","Pieridae"
"Erylaeus","Erylaeus macroupinensis",NA,NA
"Erynnis","Erynnis montanus","Lepidoptera","Hesperiidae"
"Erynnis","Erynnis leonardus snowi","Lepidoptera","Hesperiidae"
"Erythronychia","Erythronychia aliena","Diptera","Tachinidae"
"Estheria","Estheria simonyi","Diptera","Tachinidae"
"Etcheverrius","Etcheverrius chilensis","Lepidoptera","Nymphalidae"
"Euapis","Euapis basalis",NA,NA
"Euaresta","Euaresta bella","Diptera","Tephritidae"
"Eucera","Eucera furfurea","Hymenoptera","Apidae"
"Eucera","Eucera albofasciata","Hymenoptera","Apidae"
"Eucera","Eucera parnassia","Hymenoptera","Apidae"
"Eucera","Eucera bidentata","Hymenoptera","Apidae"
"Eucera","Eucera sp2 M PL 015","Hymenoptera","Apidae"
"Eucera","Eucera seminuda","Hymenoptera","Apidae"
"Eucera","Eucera gracilipes","Hymenoptera","Apidae"
"Eucera","Eucera sp1 M PL 058","Hymenoptera","Apidae"
"Eucera","Eucera clypeata","Hymenoptera","Apidae"
"Eucera","Eucera sp1 M PL 015","Hymenoptera","Apidae"
"Eucera","Eucera hispaliensis","Hymenoptera","Apidae"
"Eucera","Eucera nigrilabris","Hymenoptera","Apidae"
"Eucera","Eucera nigrescens","Hymenoptera","Apidae"
"Eucera","Eucera punctulata","Hymenoptera","Apidae"
"Eucerceris","Eucerceris zonatus","Hymenoptera","Crabronidae"
"Eucetonia","Eucetonia pilifera","Coleoptera","Scarabaeidae"
"Eucetonia","Eucetonia roelofsi","Coleoptera","Scarabaeidae"
"Euchistus","Euchistus ictericus",NA,NA
"Euchlo","Euchlo creusa lotta",NA,NA
"Euchloe","Euchloe ausonia","Lepidoptera","Pieridae"
"Euchrombius","Euchrombius ocellus",NA,NA
"Eucoila","Eucoila mellipes","Hymenoptera","Figitidae"
"Euctenurapteryx","Euctenurapteryx maculicaudaria",NA,NA
"Eucymatoge","Eucymatoge gobiata",NA,NA
"Eudasyphora","Eudasyphora cyanicolor","Diptera","Muscidae"
"Euderces","Euderces picipes","Coleoptera","Cerambycidae"
"Eudesmia","Eudesmia australis","Lepidoptera","Erebidae"
"Eudonia","Eudonia sabulosella","Lepidoptera","Crambidae"
"Eudorilas","Eudorilas cruciator",NA,NA
"Euglossa","Euglossa sp1 M PL 031","Hymenoptera","Apidae"
"Euglossa","Euglossa sp","Hymenoptera","Apidae"
"Euglossa","Euglossa chalybeata","Hymenoptera","Apidae"
"Euglossa","Euglossa jamaicensis","Hymenoptera","Apidae"
"Euglossa","Euglossa cordata","Hymenoptera","Apidae"
"Eugnamptus","Eugnamptus angustatus","Coleoptera","Attelabidae"
"Eugnoriste","Eugnoriste occidentalis","Diptera","Sciaridae"
"Euhibus","Euhibus sp1 M PL 030",NA,NA
"Eukiefferiella","Eukiefferiella sp1 M PL 010","Diptera","Chironomidae"
"Eulaema","Eulaema nigrita","Hymenoptera","Apidae"
"Eulaema","Eulaema meriana","Hymenoptera","Apidae"
"Eulalia","Eulalia sp1 M PL 029",NA,NA
"Eulalia","Eulalia sp1 M PL 027",NA,NA
"Eulalia","Eulalia sp1 M PL 028",NA,NA
"Eulampis","Eulampis jugularis",NA,NA
"Eulampis","Eulampis holosericeus",NA,NA
"Eulype","Eulype hastata",NA,NA
"Eumea","Eumea sp2 M PL 053","Diptera","Tachinidae"
"Eumea","Eumea sp1 M PL 053","Diptera","Tachinidae"
"Eumenes","Eumenes rubronotatus","Hymenoptera","Vespidae"
"Eumenes","Eumenes lunulatus","Hymenoptera","Vespidae"
"Eumenes","Eumenes fraternus","Hymenoptera","Vespidae"
"Eumenes","Eumenes dubius","Hymenoptera","Vespidae"
"Eumenes","Eumenes samurai","Hymenoptera","Vespidae"
"Eumenes","Eumenes decorata","Hymenoptera","Vespidae"
"Eumenes","Eumenes micado","Hymenoptera","Vespidae"
"Eumenes","Eumenes sp1 M PL 030","Hymenoptera","Vespidae"
"Eumerus","Eumerus okinawaensis","Diptera","Syrphidae"
"Eumerus","Eumerus sp1 M PL 015","Diptera","Syrphidae"
"Eumerus","Eumerus tricolor","Diptera","Syrphidae"
"Eumerus","Eumerus iidai","Diptera","Syrphidae"
"Eumerus","Eumerus amoenus","Diptera","Syrphidae"
"Eumerus","Eumerus japonica","Diptera","Syrphidae"
"Eumerus","Eumerus pusillus","Diptera","Syrphidae"
"Eumerus","Eumerus pulchellus","Diptera","Syrphidae"
"Eumerus","Eumerus sp1 M PL 053","Diptera","Syrphidae"
"Eumerus","Eumerus basalis","Diptera","Syrphidae"
"Eumerus","Eumerus sp2 M PL 015","Diptera","Syrphidae"
"Eumerus","Eumerus tuberculatus","Diptera","Syrphidae"
"Eumicromus","Eumicromus confusus","Neuroptera","Hemerobiidae"
"Eumolpinae","Eumolpinae sp2",NA,NA
"Eumolpinae","Eumolpinae sp1 M PL 064",NA,NA
"Eumolpinae","Eumolpinae sp1 M PL 077",NA,NA
"Eumolpinae","Eumolpinae sp2 M PL 075",NA,NA
"Eumolpinae","Eumolpinae sp3",NA,NA
"Eumolpinae","Eumolpinae sp1 M PL 075",NA,NA
"Eumyotheria","Eumyotheria illinoensis",NA,NA
"Euneornis","Euneornis campestris",NA,NA
"Euodynerus","Euodynerus velutinus","Hymenoptera","Eumenidae"
"Euodynerus","Euodynerus reflexus","Hymenoptera","Eumenidae"
"Euodynerus","Euodynerus cylindricus","Hymenoptera","Eumenidae"
"Eupavlovskia","Eupavlovskia funeraria",NA,NA
"Eupeodes","Eupeodes nigroventris","Diptera","Syrphidae"
"Eupeodes","Eupeodes curtus","Diptera","Syrphidae"
"Eupeodes","Eupeodes corollae","Diptera","Syrphidae"
"Eupeodes","Eupeodes nielseni","Diptera","Syrphidae"
"Euphoria","Euphoria fulgida","Coleoptera","Scarabaeidae"
"Euphorus","Euphorus mellipes","Hymenoptera","Braconidae"
"Euphyes","Euphyes verna","Lepidoptera","Hesperiidae"
"Eupoasca","Eupoasca polyphemus",NA,NA
"Eupogonomyia","Eupogonomyia probilofensis","Diptera","Muscidae"
"Eupogonomyia","Eupogonomyia groenlandica","Diptera","Muscidae"
"Eupsyche","Eupsyche m album",NA,NA
"Euptoieta","Euptoieta claudia hortensia","Lepidoptera","Nymphalidae"
"Euptoieta","Euptoieta claudia","Lepidoptera","Nymphalidae"
"Eupyses","Eupyses vestris",NA,NA
"Eurema","Eurema sp1 M PL 035","Lepidoptera","Pieridae"
"Eurema","Eurema nise","Lepidoptera","Pieridae"
"Eurema","Eurema hecabe","Lepidoptera","Pieridae"
"Eurema","Eurema lisa","Lepidoptera","Pieridae"
"Euricania","Euricania ocellus","Hemiptera","Ricaniidae"
"Euricania","Euricania fascialis","Hemiptera","Ricaniidae"
"Euryceromyia","Euryceromyia robertsonii",NA,NA
"Eurychaeta","Eurychaeta sp1 M PL 053","Diptera","Calliphoridae"
"Eurydema","Eurydema rugosum","Hemiptera","Pentatomidae"
"Eurydema","Eurydema ornatum","Hemiptera","Pentatomidae"
"Euryglossa","Euryglossa sp1 M PL 019","Hymenoptera","Colletidae"
"Euryglossa","Euryglossa sp2 M PL 019","Hymenoptera","Colletidae"
"Euryglossa","Euryglossa sp3 M PL 019","Hymenoptera","Colletidae"
"Eurygostomyia","Eurygostomyia philippii",NA,NA
"Eurymetopun","Eurymetopun prasinum",NA,NA
"Eurymetopun","Eurymetopun proteus",NA,NA
"Eurymetopun","Eurymetopun obscurum",NA,NA
"Eurystylus","Eurystylus coelestialium","Hemiptera","Miridae"
"Eurystylus","Eurystylus sauteri","Hemiptera","Miridae"
"Eurytides","Eurytides marcellinus","Lepidoptera","Papilionidae"
"Eurytoma","Eurytoma diastrophi","Hymenoptera","Eurytomidae"
"Eurytonidae","Eurytonidae sp1",NA,NA
"Euscartopsis","Euscartopsis zonalis",NA,NA
"Euschistus","Euschistus variolarius","Hemiptera","Pentatomidae"
"Euschistus","Euschistus fissilis","Hemiptera","Pentatomidae"
"Euseboides","Euseboides matsudai","Coleoptera","Cerambycidae"
"Eusphalerum","Eusphalerum parallelym","Coleoptera","Staphylinidae"
"Eusphalerum","Eusphalerum phothos","Coleoptera","Staphylinidae"
"Eusphalerum","Eusphalerum parallelum","Coleoptera","Staphylinidae"
"Eusphalerum","Eusphalerum lewisisp","Coleoptera","Staphylinidae"
"Eusphalerum","Eusphalerum sp1 M PL 004","Coleoptera","Staphylinidae"
"Eusphalerum","Eusphalerum convexum","Coleoptera","Staphylinidae"
"Eutachina","Eutachina sp1 M PL 055","Diptera","Tachinidae"
"Eutelus","Eutelus flavipes",NA,NA
"Euthera","Euthera tentatrix","Diptera","Tachinidae"
"Euthyneura","Euthyneura sp1 M PL 053","Diptera","Hybotidae"
"Eutrichosiphum","Eutrichosiphum pasaniae","Hemiptera","Aphididae"
"Eutrichosoma","Eutrichosoma mirabilis","Hymenoptera","Pteromalidae"
"Euvanessa","Euvanessa antiopa",NA,NA
"Euxesta","Euxesta notata","Diptera","Ulidiidae"
"Everes","Everes argiades hellotia","Lepidoptera","Lycaenidae"
"Everes","Everes argiades","Lepidoptera","Lycaenidae"
"Evergestis","Evergestis politalis","Lepidoptera","Crambidae"
"Evibrissa","Evibrissa huttoni",NA,NA
"Evodinus","Evodinus monticola","Coleoptera","Cerambycidae"
"Evylaeus","Evylaeus pectinatus","Hymenoptera","Halictidae"
"Evylaeus","Evylaeus sp1 M PL 051","Hymenoptera","Halictidae"
"Evylaeus","Evylaeus quebecensis","Hymenoptera","Halictidae"
"Evylaeus","Evylaeus macoupinensis","Hymenoptera","Halictidae"
"Evylaeus","Evylaeus truncatus","Hymenoptera","Halictidae"
"Evylaeus","Evylaeus pectoralis","Hymenoptera","Halictidae"
"Evylaeus","Evylaeus arcuatus","Hymenoptera","Halictidae"
"Evylaeus","Evylaeus divergens","Hymenoptera","Halictidae"
"Evylaeus","Evylaeus nelumbonis","Hymenoptera","Halictidae"
"Evylaeus","Evylaeus 4 maculatus","Hymenoptera","Halictidae"
"Exetastes","Exetastes obscurus","Hymenoptera","Ichneumonidae"
"Exetastes","Exetastes suaveolens","Hymenoptera","Ichneumonidae"
"Exhyalanthrax","Exhyalanthrax sp1 M PL 015","Diptera","Bombyliidae"
"Exochomus","Exochomus nigromaculatus","Coleoptera","Coccinellidae"
"Exomalopsis","Exomalopsis sp1 M PL 035","Hymenoptera","Apidae"
"Exomalopsis","Exomalopsis sp1 M PL 031","Hymenoptera","Apidae"
"Exomalopsis","Exomalopsis sp1 M PL 030","Hymenoptera","Apidae"
"Exonera","Exonera sp1 M PL 019",NA,NA
"Exoprosopa","Exoprosopa decora","Diptera","Bombyliidae"
"Exoprosopa","Exoprosopa fasciata","Diptera","Bombyliidae"
"Exoprosopa","Exoprosopa fascipennis","Diptera","Bombyliidae"
"Exoprosopa","Exoprosopa emarginata","Diptera","Bombyliidae"
"Exoprosopa","Exoprosopa divisa","Diptera","Bombyliidae"
"Exoprosopa","Exoprosopa italica","Diptera","Bombyliidae"
"Exoprosopa","Exoprosopa caliptera","Diptera","Bombyliidae"
"Exoprosopa","Exoprosopa onusta","Diptera","Bombyliidae"
"Exoprosopa","Exoprosopa volucris","Diptera","Bombyliidae"
"Exoprosopa","Exoprosopa megerlei M PL 015","Diptera","Bombyliidae"
"Exoprosopa","Exoprosopa jacchus","Diptera","Bombyliidae"
"Exorista","Exorista nigripalpis","Diptera","Tachinidae"
"Exorista","Exorista confinis","Diptera","Tachinidae"
"Exosoma","Exosoma flaviventre","Coleoptera","Chrysomelidae"
"Exosoma","Exosoma amamiense","Coleoptera","Chrysomelidae"
"Exptochiomera","Exptochiomera japonica",NA,NA
"Extemnius","Extemnius sp1 M PL 030",NA,NA
"Eyzarcoris","Eyzarcoris guttiger",NA,NA
"Fabriciana","Fabriciana adippe","Lepidoptera","Nymphalidae"
"Fabriciana","Fabriciana nerippe","Lepidoptera","Nymphalidae"
"Fannia","Fannia rondanii","Diptera","Fanniidae"
"Fannia","Fannia pusio","Diptera","Fanniidae"
"Fannia","Fannia sp2 M PL 034","Diptera","Fanniidae"
"Fannia","Fannia ungulata","Diptera","Fanniidae"
"Fannia","Fannia sp5 M PL 034","Diptera","Fanniidae"
"Fannia","Fannia pusio Wiedemann","Diptera","Fanniidae"
"Fannia","Fannia sp6 M PL 034","Diptera","Fanniidae"
"Fannia","Fannia sp1 M PL 049","Diptera","Fanniidae"
"Fannia","Fannia fuscula","Diptera","Fanniidae"
"Fannia","Fannia polycheta","Diptera","Fanniidae"
"Fannia","Fannia pallitibia","Diptera","Fanniidae"
"Fannia","Fannia mollissima","Diptera","Fanniidae"
"Fannia","Fannia sp1 M PL 034","Diptera","Fanniidae"
"Fannia","Fannia sp3 M PL 034","Diptera","Fanniidae"
"Fannia","Fannia sp7 M PL 034","Diptera","Fanniidae"
"Fannia","Fannia sp4 M PL 034","Diptera","Fanniidae"
"Faunula","Faunula leucoglene","Lepidoptera","Nymphalidae"
"Fazia","Fazia macquarti","Diptera","Syrphidae"
"Fazia","Fazia bullaephora","Diptera","Syrphidae"
"Feltia","Feltia subgothica","Lepidoptera","Noctuidae"
"Ferdinandea","Ferdinandea cuprea","Diptera","Syrphidae"
"Ferusa","Ferusa sp1 M PL 021",NA,NA
"Figites","Figites impatiens","Hymenoptera","Figitidae"
"Fischeria","Fischeria sp1 M PL 053","Diptera","Tachinidae"
"Florilegus","Florilegus condignus","Hymenoptera","Apidae"
"Foenus","Foenus tarsatorius",NA,NA
"Foenus","Foenus perplexus",NA,NA
"Forcipomyia","Forcipomyia sp1 M PL 105","Diptera","Ceratopogonidae"
"Forcipomyia","Forcipomyia litoraurea","Diptera","Ceratopogonidae"
"Forcipomyia","Forcipomyia sp1 M PL 130","Diptera","Ceratopogonidae"
"Forcipomyia","Forcipomyia sp1 M PL 020","Diptera","Ceratopogonidae"
"Forcipomyia","Forcipomyia sp1 M PL 010","Diptera","Ceratopogonidae"
"Forcipomyia","Forcipomyia sp1 M PL 099","Diptera","Ceratopogonidae"
"Forcipomyia","Forcipomyia sp1 M PL 098","Diptera","Ceratopogonidae"
"Forcipomyia","Forcipomyia sp1 M PL 106","Diptera","Ceratopogonidae"
"Forcipomyia","Forcipomyia sp1 M PL 096","Diptera","Ceratopogonidae"
"Forcipomyia","Forcipomyia sp1 M PL 128","Diptera","Ceratopogonidae"
"Forcipomyia","Forcipomyia sp1 M PL 121","Diptera","Ceratopogonidae"
"Forcipomyia","Forcipomyia sp1 M PL 103","Diptera","Ceratopogonidae"
"Forficula","Forficula mikado","Dermaptera","Forficulidae"
"Formica","Formica japonica","Hymenoptera","Formicidae"
"Formica","Formica sp1 M PL 021","Hymenoptera","Formicidae"
"Formica","Formica rufibarbis","Hymenoptera","Formicidae"
"Formica","Formica rufa","Hymenoptera","Formicidae"
"Formica","Formica fusca","Hymenoptera","Formicidae"
"Formica","Formica schaufussi","Hymenoptera","Formicidae"
"Formica","Formica sp1 M PL 057","Hymenoptera","Formicidae"
"Formica","Formica sanguinea","Hymenoptera","Formicidae"
"Formicidae","Formicidae sp1 M PL 057","Hymenoptera","Formicidae"
"Formicidae","Formicidae sp1 M PL 072","Hymenoptera","Formicidae"
"Formosopyrrhona","Formosopyrrhona satoi","Coleoptera","Cerambycidae"
"Foudia","Foudia madagascariensis",NA,NA
"Foudia","Foudia madagascariense",NA,NA
"Frankliniella","Frankliniella sp1 M PL 026","Thysanoptera","Thripidae"
"Freyeria","Freyeria trochylus","Lepidoptera","Lycaenidae"
"Frieseomelitta","Frieseomelitta silvestrii","Hymenoptera","Apidae"
"Frontina","Frontina frenchii","Diptera","Tachinidae"
"Frontina","Frontina aletiae","Diptera","Tachinidae"
"Frontina","Frontina archippivora","Diptera","Tachinidae"
"Fucellia","Fucellia pictipennis","Diptera","Anthomyiidae"
"Gaesischia","Gaesischia sp1 M PL 072","Hymenoptera","Apidae"
"Galerucella","Galerucella vittaticollis","Coleoptera","Chrysomelidae"
"Gallotia","Gallotia galloti",NA,NA
"Gambrinus","Gambrinus sp1 M PL 053","Coleoptera","Elateridae"
"Gambrus","Gambrus apicatus","Hymenoptera","Ichneumonidae"
"Gambrus","Gambrus albonotatus","Hymenoptera","Ichneumonidae"
"Gamepenthes","Gamepenthes similis","Coleoptera","Elateridae"
"Gamepenthes","Gamepenthes versipellis","Coleoptera","Elateridae"
"Ganoxanthus","Ganoxanthus pallidus",NA,NA
"Gargara","Gargara genistae","Hemiptera","Membracidae"
"Gasteruption","Gasteruption terrestre","Hymenoptera","Gasteruptiidae"
"Gasteruption","Gasteruption granulithorax","Hymenoptera","Gasteruptiidae"
"Gasteruption","Gasteruption rubricans","Hymenoptera","Gasteruptiidae"
"Gasteruption","Gasteruption sp1 M PL 008","Hymenoptera","Gasteruptiidae"
"Gastroidea","Gastroidea viridula",NA,NA
"Gayella","Gayella reedi","Hymenoptera","Masaridae"
"Gegenes","Gegenes sp1 M PL 016","Lepidoptera","Hesperiidae"
"Geisha","Geisha distinctissima","Hemiptera","Flatidae"
"Gelechia","Gelechia lithodes","Lepidoptera","Gelechiidae"
"GELECHIIDAE","GELECHIIDAE sp1 M PL 057",NA,NA
"Gelechioidea","Gelechioidea sp2 M PL 076",NA,NA
"Gelechioidea","Gelechioidea sp2 M PL 074",NA,NA
"Gelechioidea","Gelechioidea sp3",NA,NA
"Gelechioidea","Gelechioidea sp2",NA,NA
"Gelechioidea","Gelechioidea sp1",NA,NA
"Gelechioidea","Gelechioidea sp1 M PL 076",NA,NA
"Gelechioidea","Gelechioidea sp1 M PL 074",NA,NA
"Gelechioidea","Gelechioidea sp1 M PL 073",NA,NA
"Gelechioidea","Gelechioidea sp1 M PL 075",NA,NA
"Gelechioidea","Gelechioidea sp1 M PL 065",NA,NA
"Gelophaula","Gelophaula aenea","Lepidoptera","Tortricidae"
"Geocoris","Geocoris bullatus","Hemiptera","Geocoridae"
"Geocoris","Geocoris varius","Hemiptera","Geocoridae"
"Geometridae","Geometridae sp1 M PL 072",NA,NA
"Geranomyia","Geranomyia canadensis","Diptera","Limoniidae"
"Geron","Geron sp1 M PL 022","Diptera","Bombyliidae"
"Geron","Geron seychellarum","Diptera","Bombyliidae"
"Geron","Geron hesperidon","Diptera","Bombyliidae"
"Geron","Geron sp1 M PL 015","Diptera","Bombyliidae"
"Geron","Geron sp3 M PL 015","Diptera","Bombyliidae"
"Geron","Geron sp4 M PL 015","Diptera","Bombyliidae"
"Geron","Geron gibbosus","Diptera","Bombyliidae"
"Geron","Geron rufipes","Diptera","Bombyliidae"
"Geron","Geron sp2 M PL 015","Diptera","Bombyliidae"
"Gimnomera","Gimnomera dorsala","Diptera","Scathophagidae"
"Glaucias","Glaucias subpunctatus","Hemiptera","Pentatomidae"
"Glaucis","Glaucis hirsuta",NA,NA
"Glaucopsyche","Glaucopsyche alexis","Lepidoptera","Lycaenidae"
"Glenea","Glenea Chlorospila","Coleoptera","Cerambycidae"
"Globicornis","Globicornis nigripes","Coleoptera","Dermestidae"
"Globicornis","Globicornis sp1 M PL 015","Coleoptera","Dermestidae"
"Glyphipterix","Glyphipterix nigromarginata","Lepidoptera","Glyphipterigidae"
"Glypta","Glypta simplicipes","Hymenoptera","Ichneumonidae"
"Glypta","Glypta sp1 M PL 005","Hymenoptera","Ichneumonidae"
"Glypta","Glypta rufiscutellaris","Hymenoptera","Ichneumonidae"
"Glyptina","Glyptina spuria","Coleoptera","Chrysomelidae"
"Gnathias","Gnathias ovatus",NA,NA
"Gnathosmia","Gnathosmia georgica","Hymenoptera","Megachilidae"
"Gnophaela","Gnophaela vermiculata","Lepidoptera","Erebidae"
"Gnorimus","Gnorimus subopacus","Coleoptera","Scarabaeidae"
"Gonarcticus","Gonarcticus arcticus","Diptera","Scathophagidae"
"Gonepteryx","Gonepteryx aspasia","Lepidoptera","Pieridae"
"Gonepteryx","Gonepteryx rhamni","Lepidoptera","Pieridae"
"Gonepteryx","Gonepteryx cleopatra","Lepidoptera","Pieridae"
"Gonia","Gonia exul","Diptera","Tachinidae"
"Gonia","Gonia picea","Diptera","Tachinidae"
"Gonia","Gonia sp1 M PL 025","Diptera","Tachinidae"
"Goniozus","Goniozus cellularis","Hymenoptera","Bethylidae"
"Goniozus","Goniozus sp1 M PL 026","Hymenoptera","Bethylidae"
"Goniurellia","Goniurellia or Dectodes sp","Diptera","Tephritidae"
"Gonochrysis","Gonochrysis perpulchra",NA,NA
"Gonochrysis","Gonochrysis densa",NA,NA
"Gormnosoma","Gormnosoma rotundatum",NA,NA
"Gorpis","Gorpis sp1 M PL 057","Hemiptera","Nabidae"
"Gorytes","Gorytes Campestris","Hymenoptera","Crabronidae"
"Gorytes","Gorytes sp1 M PL 016","Hymenoptera","Crabronidae"
"Gracilicera","Gracilicera setosa","Diptera","Tachinidae"
"Grammographus","Grammographus notabilis","Coleoptera","Cerambycidae"
"Grammoptera","Grammoptera ruficornis","Coleoptera","Cerambycidae"
"Grammoptra","Grammoptra ruficornis",NA,NA
"Graphania","Graphania sequens","Lepidoptera","Noctuidae"
"Graphania","Graphania disjungens","Lepidoptera","Noctuidae"
"Graphania","Graphania omoplaca","Lepidoptera","Noctuidae"
"Graphium","Graphium sarpedon nipponum","Lepidoptera","Papilionidae"
"Graphomya","Graphomya maculata Scopoli","Diptera","Muscidae"
"Graphomya","Graphomya picta","Diptera","Muscidae"
"Graphomya","Graphomya maculata","Diptera","Muscidae"
"Graphomyia","Graphomyia maculata",NA,NA
"Graphomyia","Graphomyia americana",NA,NA
"Graphomyia","Graphomyia rufitibia",NA,NA
"Graphosoma","Graphosoma rubrolineatum","Hemiptera","Pentatomidae"
"Graphosoma","Graphosoma lineatum","Hemiptera","Pentatomidae"
"Grapta","Grapta hylas",NA,NA
"Graptomyza","Graptomyza ishikawai","Diptera","Syrphidae"
"Gymnetron","Gymnetron veronicae","Coleoptera","Curculionidae"
"Gymnochaeta","Gymnochaeta alcedo","Diptera","Tachinidae"
"Gymnosoma","Gymnosoma fuliginosa","Diptera","Tachinidae"
"Gymnosoma","Gymnosoma rotundaturm","Diptera","Tachinidae"
"Gymnosoma","Gymnosoma rotundatum","Diptera","Tachinidae"
"Gymnosoma","Gymnosoma sp1 M PL 015","Diptera","Tachinidae"
"Gymnosoma","Gymnosoma nudifrons","Diptera","Tachinidae"
"Gymnosoma","Gymnosoma sp1 M PL 055","Diptera","Tachinidae"
"Gynometriocnemus","Gynometriocnemus sp1 M PL 014",NA,NA
"Habrobracon","Habrobracon gelechiae","Hymenoptera","Braconidae"
"Habroloma","Habroloma liukiuense","Coleoptera","Buprestidae"
"Habroloma","Habroloma nixillum insulicola","Coleoptera","Buprestidae"
"Habromyia","Habromyia lipoflava","Diptera","Syrphidae"
"Habropoda","Habropoda tarsata","Hymenoptera","Apidae"
"Hadrodemus","Hadrodemus m flavum","Hemiptera","Miridae"
"Haematopota","Haematopota pluvialis","Diptera","Tabanidae"
"Halictid","Halictid sp1 M PL 025",NA,NA
"Halictillus","Halictillus sp1 M PL 072","Hymenoptera","Halictidae"
"Halictoides","Halictoides marginatus","Hymenoptera","Halictidae"
"Halictus","Halictus lerouxii","Hymenoptera","Halictidae"
"Halictus","Halictus scabiosae","Hymenoptera","Halictidae"
"Halictus","Halictus tectus","Hymenoptera","Halictidae"
"Halictus","Halictus sp1 M PL 015","Hymenoptera","Halictidae"
"Halictus","Halictus sp3 M PL 005","Hymenoptera","Halictidae"
"Halictus","Halictus sp","Hymenoptera","Halictidae"
"Halictus","Halictus medionitens","Hymenoptera","Halictidae"
"Halictus","Halictus resurgens","Hymenoptera","Halictidae"
"Halictus","Halictus quadricinctus","Hymenoptera","Halictidae"
"Halictus","Halictus fulvipes","Hymenoptera","Halictidae"
"Halictus","Halictus aerarius","Hymenoptera","Halictidae"
"Halictus","Halictus lerouxi","Hymenoptera","Halictidae"
"Halictus","Halictus sp1 M PL 005","Hymenoptera","Halictidae"
"Halictus","Halictus sp2 M PL 015","Hymenoptera","Halictidae"
"Halictus","Halictus pulzenus","Hymenoptera","Halictidae"
"Halictus","Halictus graecus","Hymenoptera","Halictidae"
"Halictus","Halictus chloralictus","Hymenoptera","Halictidae"
"Halictus","Halictus fendleri","Hymenoptera","Halictidae"
"Halictus","Halictus manitonellus","Hymenoptera","Halictidae"
"Halictus","Halictus pollinus","Hymenoptera","Halictidae"
"Halictus","Halictus sp1 M PL 012","Hymenoptera","Halictidae"
"Halictus","Halictus sp1 M PL 058","Hymenoptera","Halictidae"
"Halictus","Halictus rubicundus","Hymenoptera","Halictidae"
"Halictus","Halictus tetrazonius","Hymenoptera","Halictidae"
"Halictus","Halictus brunnescens","Hymenoptera","Halictidae"
"Halictus","Halictus asperulus","Hymenoptera","Halictidae"
"Halictus","Halictus subaurata","Hymenoptera","Halictidae"
"Halictus","Halictus sp2 M PL 005","Hymenoptera","Halictidae"
"Halicyoides","Halicyoides mamus",NA,NA
"Hallictoides","Hallictoides marginatus",NA,NA
"Halmenus","Halmenus cuspidatus","Orthoptera","Acrididae"
"Haltica","Haltica carinata","Coleoptera","Chrysomelidae"
"Haltichella","Haltichella xanticles","Hymenoptera","Chalcididae"
"Haltichella","Haltichella ornata","Hymenoptera","Chalcididae"
"Halticiellus","Halticiellus insulatis",NA,NA
"Halyctus","Halyctus sp1 M PL 058",NA,NA
"Hammerschmidtia","Hammerschmidtia ferruginea","Diptera","Syrphidae"
"Hammomyia","Hammomyia paludis",NA,NA
"Haplothrips","Haplothrips sp1 M PL 055","Thysanoptera","Phlaeothripidae"
"Haptoncurina","Haptoncurina motschulskii",NA,NA
"Haptoncus","Haptoncus concolorsp","Coleoptera","Nitidulidae"
"Haptoncus","Haptoncus luteolussp","Coleoptera","Nitidulidae"
"Harima","Harima callipteris",NA,NA
"Harmonia","Harmonia axyrides","Coleoptera","Coccinellidae"
"Harmonia","Harmonia axyridis","Coleoptera","Coccinellidae"
"Harmonia","Harmonia yedoensis","Coleoptera","Coccinellidae"
"Harmostes","Harmostes reflexulus","Hemiptera","Rhopalidae"
"Harpalus","Harpalus sp1 M PL 057","Coleoptera","Carabidae"
"Harrisina","Harrisina americana","Lepidoptera","Zygaenidae"
"Hayekpenthes","Hayekpenthes pallidus","Coleoptera","Elateridae"
"Hebecnema","Hebecnema fumosa","Diptera","Muscidae"
"Hedriodiscus","Hedriodiscus pulcher","Diptera","Stratiomyidae"
"Hedychrum","Hedychrum violaceum","Hymenoptera","Chrysididae"
"Hedychrum","Hedychrum parvum","Hymenoptera","Chrysididae"
"Hedychrum","Hedychrum nobile","Hymenoptera","Chrysididae"
"Helastia","Helastia semisignata","Lepidoptera","Geometridae"
"Helastia","Helastia cineraria","Lepidoptera","Geometridae"
"Helicobia","Helicobia 4 setosa","Diptera","Sarcophagidae"
"Helicobia","Helicobia morionella","Diptera","Sarcophagidae"
